chr	start	end	num_contexts	mean_coverage	mean_mod_group1	mean_mod_group2	mod_fold_change	mod_difference	test_statistic	dmr_pvalue	dmr_qvalue	annotation	gene	significant	direction	neg_log10_q
chr17	69969072	70821412	6410	19.1111544461778	0.264754105029747	0.218583808568133	0.825610649336575	-0.0461702964616139	1424.07680790678	1.23174038933684e-311	2.58406816278975e-307	Gene	Dlgap1	TRUE	Hypomethylated	300
chr4	98395784	98719602	2787	19.4790096878364	0.195129919000718	0.125572273157134	0.643531621394626	-0.069557645843584	1948.67696583739	2.2250738585072e-308	2.91748902985141e-305	Gene	Patj	TRUE	Hypomethylated	300
chr5	48389501	49524906	5053	22.61324955472	0.169275039558635	0.12739021938678	0.752563518631782	-0.0418848201718545	1583.77723614339	2.2250738585072e-308	2.91748902985141e-305	Gene	Kcnip4	TRUE	Hypomethylated	300
chr6	45059356	47304212	8171	22.7256455758169	0.125294314970701	0.0875979707760239	0.699137632832804	-0.0376963441946774	2774.67954608446	2.2250738585072e-308	2.91748902985141e-305	Gene	Cntnap2	TRUE	Hypomethylated	300
chr7	96171245	96911092	6099	18.7669699950812	0.0991471895618291	0.137092476692831	1.38271671944205	0.037945287131002	1518.69743033938	2.2250738585072e-308	2.91748902985141e-305	Gene	Tenm4	TRUE	Hypermethylated	300
chr8	15892536	17535585	8174	21.8357291411793	0.0965628796868311	0.126817495285963	1.31331517553383	0.0302546155991314	1608.86027747652	2.2250738585072e-308	2.91748902985141e-305	Gene	Csmd1	TRUE	Hypermethylated	300
chr9	15910188	16501284	3515	21.626173541963	0.125147091987727	0.178993804279785	1.43026738725449	0.0538467122920572	1653.3520612746	2.2250738585072e-308	2.91748902985141e-305	Gene	Fat3	TRUE	Hypermethylated	300
chr10	59446983	59616691	1897	19.6482604111755	0.304400696583649	0.206030168085815	0.676838687946952	-0.0983705284978336	1876.84095326285	2.2250738585072e-308	2.91748902985141e-305	Gene	Mcu	TRUE	Hypomethylated	300
chr10	105187662	105574450	2999	21.5330110036679	0.265425988562688	0.184791289996522	0.696206467939284	-0.0806346985661661	2393.03175562149	2.2250738585072e-308	2.91748902985141e-305	Gene	Tmtc2	TRUE	Hypomethylated	300
chr10	108497649	109010981	3901	22.4374519354012	0.270608422358017	0.117331923168614	0.433585629546235	-0.153276499189403	12856.0640380837	2.2250738585072e-308	2.91748902985141e-305	Gene	Syt1	TRUE	Hypomethylated	300
chr13	108449947	109953460	10478	21.0679280397022	0.194380905483022	0.152111878142033	0.782545372777466	-0.0422690273409891	2742.75188854697	2.2250738585072e-308	2.91748902985141e-305	Gene	Pde4d	TRUE	Hypomethylated	300
chr16	24393506	24992577	4450	20.2533707865169	0.238174671562917	0.178129663984883	0.747895075559398	-0.0600450075780343	1972.54006016718	2.2250738585072e-308	2.91748902985141e-305	Gene	Lpp	TRUE	Hypomethylated	300
chr16	42875880	43642601	4736	21.8581081081081	0.219021858702129	0.159051087784087	0.726188192934646	-0.0599707709180426	2413.70249709858	2.2250738585072e-308	2.91748902985141e-305	Gene	Zbtb20	TRUE	Hypomethylated	300
chr16	63543533	63864174	1735	23.2064841498559	0.21291776723082	0.135069886447704	0.63437583534904	-0.0778478807831161	1690.01105808879	2.2250738585072e-308	2.91748902985141e-305	Gene	Epha3	TRUE	Hypomethylated	300
chr18	38993144	39376283	3280	18.9102896341463	0.259819920630066	0.190350371996579	0.732624240416119	-0.0694695486334877	1713.17592342809	2.2250738585072e-308	2.91748902985141e-305	Gene	Arhgap26	TRUE	Hypomethylated	300
chr19	22139045	22995409	5737	20.7336587066411	0.239661992361275	0.185565453766662	0.774279859473646	-0.054096538594613	2070.30087459436	2.2250738585072e-308	2.91748902985141e-305	Gene	Trpm3	TRUE	Hypomethylated	300
chrX	86740869	88115644	4103	18.8640628808189	0.10864015458723	0.0686650555354	0.632041217138248	-0.0399750990518296	1395.53223912113	1.96464502315994e-305	2.42448752593366e-302	Gene	Il1rapl1	TRUE	Hypomethylated	300
chr10	114398820	114802306	2214	22.292908762421	0.214368873374989	0.149682108721722	0.69824553520831	-0.0646867646532674	1386.03748996427	2.27259998460792e-303	2.64871523877977e-300	Gene	Trhde	TRUE	Hypomethylated	299.57696472984
chr18	30973488	31317289	1559	22.6353431686979	0.177753472310945	0.108454155737498	0.610138043029499	-0.0692993165734467	1379.41654512596	6.2413879522898e-302	6.89147778138729e-299	Gene	Rit2	TRUE	Hypomethylated	298.161687639706
chr5	130369454	130847411	3167	17.2878118092832	0.320208184256657	0.248520149301874	0.776120541324694	-0.0716880349547829	1374.4762437063	7.39319162388231e-301	7.75508848069476e-298	Gene	Caln1	TRUE	Hypomethylated	297.110413242794
