human_gene	mouse_gene	field_direction	prom_mc_diff	prom_mc_q	prom_mc_sig	prom_mc_dir	prom_hmc_diff	prom_hmc_q	prom_concordance
CSGALNACT1	Csgalnact1	Hypermethylated	-0.0072753506700727	0.808346197327714	FALSE	Hypomethylated	0.000331115242331002	0.993021304541163	Non-significant
DLC1	Dlc1	Hypermethylated	0.00249353827518484	0.930099803406488	FALSE	Hypermethylated	-0.00225328968409411	0.985319691841449	Non-significant
DPYSL2	Dpysl2	Hypermethylated	0.052975714926455	0.197378299344428	FALSE	Hypermethylated	-0.0489008293587387	0.585313224621608	Non-significant
ENPP2	Enpp2	Hypermethylated	-0.0307842822147333	0.503172242963289	FALSE	Hypomethylated	0.0273440901622563	0.653401190840835	Non-significant
EPHX2	Ephx2	Hypermethylated	-0.00341653828976329	0.970782747908099	FALSE	Hypomethylated	-0.00291972290084158	0.991770360929198	Non-significant
FDFT1	Fdft1	Hypermethylated	-0.00390301358587075	0.973965240943537	FALSE	Hypomethylated	-0.0354122858398973	0.651478358127922	Non-significant
FZD6	Fzd6	Hypermethylated	NA	NA	NA	NA	NA	NA	Not in data
GATA4	Gata4	Hypermethylated	0.0712700775079552	0.192957093095352	FALSE	Hypermethylated	0.0096147350508673	0.928755218275013	Non-significant
HAS2	Has2	Hypermethylated	-0.00359191631742899	0.486016370275145	FALSE	Hypomethylated	-0.00076455077913938	0.928129138044704	Non-significant
MATN2	Matn2	Hypermethylated	-0.0651200636933378	0.183516168116022	FALSE	Hypomethylated	0.0267561252871338	0.572930140917868	Non-significant
MSC	Msc	Hypermethylated	-0.0798919720719792	0.00128081026029622	TRUE	Hypomethylated	-0.00421422750277564	0.991770360929198	Discordant
MTUS1	Mtus1	Hypermethylated	-0.0110165574891812	0.909912688630354	FALSE	Hypomethylated	-0.0071602261224107	0.970759358539181	Non-significant
PPP1R3B	Ppp1r3b	Hypermethylated	-0.0695251683865146	0.413292021981464	FALSE	Hypomethylated	-0.0753884508149314	0.213954199770275	Non-significant
RAB11FIP1	Rab11fip1	Hypermethylated	-0.000393548665817204	0.945379247080218	FALSE	Hypomethylated	-0.00128905592534695	0.966725600208991	Non-significant
RNF122	Rnf122	Hypermethylated	0.0186739314966183	0.867100501881868	FALSE	Hypermethylated	0.0570093689234115	0.275463067121867	Non-significant
SFRP1	Sfrp1	Hypermethylated	0.000101735025374763	0.999239461919276	FALSE	Hypermethylated	0.000516320474777448	0.999671387809564	Non-significant
SLC7A2	Slc7a2	Hypermethylated	-0.0906569503362497	0.0124773421332706	TRUE	Hypomethylated	-0.014725155297094	0.902178973348332	Discordant
TG	Tg	Hypermethylated	-0.0111995934368818	0.939153512198075	FALSE	Hypomethylated	-0.00169495440785392	0.993931660477818	Non-significant
ZDHHC2	Zdhhc2	Hypermethylated	0.0268965158979773	0.412461191484705	FALSE	Hypermethylated	0.0123238121028505	0.921349629308121	Non-significant
ZHX1	Zhx1	Hypermethylated	NA	NA	NA	NA	NA	NA	Not in data
ADAM28	Adam28	Hypomethylated	0.000833296216693924	0.958709287703658	FALSE	Hypermethylated	0.0111900388525886	0.90110946761788	Non-significant
ADAMDEC1	Adamdec1	Hypomethylated	-0.00649653074813838	0.961460616708112	FALSE	Hypomethylated	-0.00169999544830127	0.991722823072323	Non-significant
ANK1	Ank1	Hypomethylated	0.0150414466485895	0.668654434449029	FALSE	Hypermethylated	-0.00522108869618268	0.903069919130323	Non-significant
ARFGEF1	Arfgef1	Hypomethylated	0.0155430332042436	0.364668837021637	FALSE	Hypermethylated	-0.0105127035996602	0.742058159310779	Non-significant
ASAP1	Asap1	Hypomethylated	0.00919633865893088	0.986916202132092	FALSE	Hypermethylated	0.0145679882209186	0.906410127775129	Non-significant
BAALC	Baalc	Hypomethylated	NA	NA	NA	NA	NA	NA	Not in data
BAI1	Adgrb1	Hypomethylated	-0.0814195742376431	0.175353800407088	FALSE	Hypomethylated	-0.0690231611307505	0.289120682293193	Non-significant
BHLHE22	Bhlhe22	Hypomethylated	0.00886544756536162	0.789724683169192	FALSE	Hypermethylated	-0.0115139419292582	0.809324499373296	Non-significant
CA13	Car13	Hypomethylated	-0.0229646475443769	0.811077294516272	FALSE	Hypomethylated	0.0137783748658881	0.958498501380709	Non-significant
CCNE2	Ccne2	Hypomethylated	NA	NA	NA	NA	NA	NA	Not in data
CNGB3	Cngb3	Hypomethylated	-0.0438740851057775	0.436569809415028	FALSE	Hypomethylated	-0.00537158361793789	0.949817864864662	Non-significant
DENND3	Dennd3	Hypomethylated	-0.00916963810902899	0.938287748953143	FALSE	Hypomethylated	0.0287228601393626	0.807654276842017	Non-significant
DOK2	Dok2	Hypomethylated	0.0173379485204728	0.455444365049381	FALSE	Hypermethylated	0.0138784765585973	0.891727715706095	Non-significant
DPYS	Dpys	Hypomethylated	-0.0156226515474837	0.768325266127481	FALSE	Hypomethylated	-0.014801464140077	0.806340576344185	Non-significant
EBF2	Ebf2	Hypomethylated	-0.078872567494992	0.000236204913928397	TRUE	Hypomethylated	-0.0203607935827622	0.595527836232016	Concordant
EFR3A	Efr3a	Hypomethylated	0.0511644133300219	0.335117092576741	FALSE	Hypermethylated	-0.00171565797922751	0.996025425093596	Non-significant
FAM49B	Cyrib	Hypomethylated	NA	NA	NA	NA	NA	NA	Not in data
