gene	me3_fold	me3_fdr	me3_conc	me3_n_peaks	mc_diff	mc_q	mc_sig	hmc_diff	hmc_q	hmc_sig	chromatin_state	dmr_status
0610010K14Rik	0.034185227	0.947670678	3.399517817	1	-0.026362362547755	0.241127280659297	FALSE	-0.0150195766661825	0.421356294186243	FALSE	Other	Not DMR
0610030E20Rik	0.443325838	0.181806141	4.311288531	2	NA	NA	NA	NA	NA	NA	NA	NA
0610038B21Rik	0.320270107	0.393752072	3.182368595	8	NA	NA	NA	NA	NA	NA	NA	NA
0610039K10Rik	0.246745223	0.517530889	4.464531336	2	NA	NA	NA	NA	NA	NA	NA	NA
0610040F04Rik	0.061478818	0.900600501	3.168036023	2	NA	NA	NA	NA	NA	NA	NA	NA
0610040J01Rik	0.453800644	0.188181041	4.456768992	1	-0.0147585280320162	2.49760416016166e-10	TRUE	0.00513643863186417	0.000392395675907463	TRUE	Repressed_Promoter	Both mC+hmC DMR
1110002J07Rik	-0.283915858	0.446708624	3.619079956	1	NA	NA	NA	NA	NA	NA	NA	NA
1110002L01Rik	0.200764114	0.619697457	3.565128572	1	NA	NA	NA	NA	NA	NA	NA	NA
1110004F10Rik	0.071525011	0.883570939	3.040552438	3	0.00876479388734297	0.0250937122566586	TRUE	-0.00288357532489843	0.277599300597241	FALSE	Other	mC DMR only
1110020A21Rik	0.047116661	0.921390054	4.511992752	1	NA	NA	NA	NA	NA	NA	NA	NA
1110032F04Rik	-0.029760565	0.955050565	3.319038769	1	-0.0286657822688701	0.272868220398181	FALSE	0.0193618785540773	0.287316565719092	FALSE	Repressed_Promoter	Not DMR
1110038F14Rik	0.400415968	0.260319199	3.698229749	1	0.0338685892985557	0.177409496792173	FALSE	-0.00691498938477153	0.687030979507011	FALSE	Other	Not DMR
1110059E24Rik	-0.203638399	0.618801747	3.293923203	1	0.0405534839634105	1.31571178356616e-51	TRUE	-0.0379783402117584	8.97216116849096e-71	TRUE	Active_Promoter	Both mC+hmC DMR
1110065P20Rik	0.471699103	0.180400284	3.097075565	2	0.0574611125011826	0.0997155301402032	FALSE	-0.0170088642412003	0.523837821605948	FALSE	Active_Promoter	Not DMR
1190005I06Rik	-0.236545011	0.552030015	3.268577919	1	-0.0131913284317379	0.00308241514124849	TRUE	0.00672942292290674	0.0729293374176578	FALSE	Repressed_Promoter	mC DMR only
1300002E11Rik	-0.03811567	0.939620852	3.520465487	1	NA	NA	NA	NA	NA	NA	NA	NA
