gene	chr	start	end	num_contexts	mean_coverage	chg_mc_group1	chg_mc_group2	chg_mc_difference	chg_mc_qvalue	chg_mc_direction	cg_mc_difference	cg_mc_qvalue	cg_mc_significant	cg_mc_direction	cg_hmc_difference	cg_hmc_qvalue	cg_hmc_significant	cg_hmc_direction	concordant_with_cg_mc
Rbpms	chr8	33782642	33929862	47715	9.28468772922561	0.000335139412526087	0.0018023981312785	0.00146725871875241	1.05448098900296e-305	Hypermethylated	-0.0289149590708313	2.0305410522234e-74	TRUE	Hypomethylated	-0.00149397860602965	0.19902643103111	FALSE	Hypomethylated	FALSE
Nrg1	chr8	31814550	32884796	325903	11.395364571667	0.000207083060545717	0.000606106944963652	0.000399023884417935	1.20560064338566e-304	Hypermethylated	-0.0187076727457125	1.184041927011e-129	TRUE	Hypomethylated	0.0037871015230911	1.94605716339832e-14	TRUE	Hypermethylated	FALSE
Dlc1	chr8	36567750	36953142	119214	10.9945979499052	0.000200734422314727	0.00146118881603386	0.00126045439371913	1.20560064338566e-304	Hypermethylated	-0.0237830186261044	9.79021225368597e-94	TRUE	Hypomethylated	-0.00308007287410508	0.00020248074849533	TRUE	Hypomethylated	FALSE
Sgcz	chr8	37522297	38661507	325874	11.7498810890099	0.000166933981956415	0.00116184440860163	0.000994910426645211	1.20560064338566e-304	Hypermethylated	-0.0517187694221879	4.8151057076211e-306	TRUE	Hypomethylated	0.00366384474517919	3.3220727700469e-16	TRUE	Hypermethylated	FALSE
Mtus1	chr8	40990913	41133725	44951	10.2448749749727	0.000197889299374711	0.00143501653958024	0.00123712724020553	8.4180797375695e-268	Hypermethylated	0.000664879461496293	0.861579283524334	FALSE	Hypermethylated	-0.0156570520779806	4.795088560601e-23	TRUE	Hypomethylated	NA
Tusc3	chr8	39005844	39165113	41249	11.3771000509103	0.000175007777333525	0.0011691146593893	0.00099410688205577	2.90754776811295e-222	Hypermethylated	-0.0219523868007596	5.7903314940317e-23	TRUE	Hypomethylated	-0.0150732062181821	2.38143238143176e-16	TRUE	Hypomethylated	FALSE
Wrn	chr8	33234383	33385526	44838	11.0205378250591	0.000254408670989219	0.00121202992199449	0.000957621251005275	8.43751296660803e-218	Hypermethylated	-0.0225641321481153	1.42632632738437e-48	TRUE	Hypomethylated	-0.0112022268573897	7.74210571966578e-26	TRUE	Hypomethylated	FALSE
Tenm4	chr7	96171245	96911092	246503	9.56275126469049	0.000920120806124251	0.000503598881499441	-0.00041652192462481	3.83791081992617e-207	Hypomethylated	-0.00212151651208969	0.00357480444271742	TRUE	Hypomethylated	0.0364947249643622	7.07674626726131e-306	TRUE	Hypermethylated	TRUE
Mtmr7	chr8	40551094	40634796	25735	10.2779143190208	0.00018995121551236	0.00145510242521965	0.00126515120970729	5.48649717322418e-158	Hypermethylated	0.0243025547010605	9.05284957979556e-20	TRUE	Hypermethylated	-0.0469046115429296	6.39601604803855e-107	TRUE	Hypomethylated	TRUE
Tenm3	chr8	48227681	48843950	188756	11.2176354658925	6.76891530647647e-06	0.000227110782866632	0.000220341867560156	1.90887277892414e-144	Hypermethylated	-0.0118343410491526	5.4072210851362e-69	TRUE	Hypomethylated	0.00281108861505598	1.21824819057926e-11	TRUE	Hypermethylated	FALSE
Mfhas1	chr8	35587797	35679448	29982	9.17276615969582	0.000143712319273987	0.00122246765492855	0.00107875533565456	2.20834165063169e-139	Hypermethylated	0.0181024948876027	3.96639969466565e-10	TRUE	Hypermethylated	-0.0280140154048494	2.67090217705311e-30	TRUE	Hypomethylated	TRUE
Zdhhc2	chr8	40423814	40510267	25565	11.0698513592803	0.000144454848623851	0.00112734071859006	0.000982885869966205	8.06531366759432e-130	Hypermethylated	0.010709580057672	0.000414187330320391	TRUE	Hypermethylated	-0.038030195924688	2.55978358721706e-76	TRUE	Hypomethylated	TRUE
Pdgfrl	chr8	40926211	40990784	20991	8.67633747796675	0.000178557351766658	0.0016258582429609	0.00144730089119424	1.24809371626649e-125	Hypermethylated	-0.0393178877427525	2.07167343097411e-29	TRUE	Hypomethylated	0.00263252022727645	0.401230564683949	FALSE	Hypermethylated	FALSE
Slc7a2	chr8	40862395	40922307	18424	10.5992184107686	0.000161474861967332	0.00153540106342262	0.00137392620145529	6.51378558582981e-123	Hypermethylated	-0.0246932230407085	1.0381033502696e-20	TRUE	Hypomethylated	-0.0104106737232557	5.74372596967858e-08	TRUE	Hypomethylated	FALSE
Marchf1	chr8	65617899	66471636	253800	11.564950748621	2.16889487737975e-06	0.000216265150597848	0.000214096255720469	1.21563969953393e-118	Hypermethylated	-0.0170930229891684	2.36127907427359e-71	TRUE	Hypomethylated	0.00171696903655698	0.0025947286452733	TRUE	Hypermethylated	FALSE
Tnks	chr8	34826459	34965689	41599	11.0567261232241	8.28366633923452e-05	0.000635203629618809	0.000552366966226464	1.75721399285358e-118	Hypermethylated	0.00955746534139024	3.95625342262726e-05	TRUE	Hypermethylated	-0.030714375450253	2.13050806752677e-64	TRUE	Hypomethylated	TRUE
Galntl6	chr8	57774051	58912639	334332	11.2795230489454	1.53685767736541e-06	0.000137474857930468	0.000135938000253103	1.65612791540934e-101	Hypermethylated	0.0138976893019667	4.80917474650947e-62	TRUE	Hypermethylated	-0.0163326424482437	3.64749247351953e-163	TRUE	Hypomethylated	TRUE
Msr1	chr8	39581684	39642672	17431	12.4331435373759	0.00016600506827263	0.00109889504655615	0.000932889978283515	8.4070392803921e-95	Hypermethylated	-0.0357787494116938	1.87678912819438e-25	TRUE	Hypomethylated	0.000158322253222758	0.953831895501936	FALSE	Hypermethylated	FALSE
Gm19410	chr8	35765789	35818046	16892	10.2410830570684	0.000166107244172986	0.00124329696245533	0.00107718971828234	4.09833324118259e-88	Hypermethylated	-0.0291485597380693	1.07213600015091e-19	TRUE	Hypomethylated	-0.00491359709603854	0.013346516979439	TRUE	Hypomethylated	FALSE
Spock3	chr8	62951008	63357102	115757	11.3762753008457	5.77804145229238e-06	0.000224575108371851	0.000218797066919558	9.80008658165208e-84	Hypermethylated	-0.015465338567892	2.1419602901386e-24	TRUE	Hypomethylated	0.00485801698164151	1.28991972295614e-09	TRUE	Hypermethylated	FALSE
Gsr	chr8	33652522	33698162	14382	9.35571373939647	0.000357123531564363	0.00170373538764868	0.00134661185608432	3.23240853543721e-83	Hypermethylated	0.0293190212437034	7.44520161230222e-22	TRUE	Hypermethylated	-0.039680108885128	2.24142491088375e-59	TRUE	Hypomethylated	TRUE
Prag1	chr8	36094827	36147786	17370	9.03699625791595	9.32773838885906e-05	0.0011970825554815	0.00110380517159291	4.96540780151547e-75	Hypermethylated	0.123800456695648	4.8151057076211e-306	TRUE	Hypermethylated	-0.0448224389389501	1.63979538637621e-54	TRUE	Hypomethylated	TRUE
Lonrf1	chr8	36216063	36249515	10374	9.31939223057644	0.000207793475345472	0.00172987292276757	0.0015220794474221	1.91583749075571e-68	Hypermethylated	0.0245646494356598	2.02458216873372e-11	TRUE	Hypermethylated	-0.039509437119035	5.76790395162514e-45	TRUE	Hypomethylated	TRUE
Tex15	chr8	33516737	33585581	19946	12.427585731475	0.000181118233806273	0.000786459087868632	0.000605340854062359	2.51224344840153e-66	Hypermethylated	-0.0231121734310366	2.77929626936707e-14	TRUE	Hypomethylated	-0.00867507873845276	2.69019484054503e-07	TRUE	Hypomethylated	FALSE
Trmt9b	chr8	36457547	36516569	18761	10.0783673578167	0.000102934181477166	0.000849415577703204	0.000746481396226038	1.82214383569182e-65	Hypermethylated	0.0548994548702689	2.10053220393198e-62	TRUE	Hypermethylated	-0.0309024214801911	3.72403096739009e-24	TRUE	Hypomethylated	TRUE
Uvrag	chr7	98885020	99141140	81259	9.70619715969923	0.000862346911584871	0.000477317218003976	-0.000385029693580896	7.36712675183244e-60	Hypomethylated	0.0284355780310139	5.58345714562695e-78	TRUE	Hypermethylated	-0.022591331152832	1.36186588063303e-75	TRUE	Hypomethylated	FALSE
Pcm1	chr8	41239751	41332343	26129	11.9414156684144	6.38082795296658e-05	0.000468692206198956	0.00040488392666929	4.35360896874402e-59	Hypermethylated	0.0125277396392323	0.000154274464868235	TRUE	Hypermethylated	-0.0335692714310016	4.53285814844107e-39	TRUE	Hypomethylated	TRUE
Dlg2	chr7	90476671	92449246	588655	11.5534213588605	0.000185959878393675	0.000123826962961874	-6.21329154318005e-05	2.40671659282552e-57	Hypomethylated	0.0248353485735461	3.15621619151563e-288	TRUE	Hypermethylated	-0.0205333041277255	7.07674626726131e-306	TRUE	Hypomethylated	FALSE
Csgalnact1	chr8	68356780	68735145	118371	10.5225878804775	8.12688857663616e-07	0.000473499122104909	0.000472686433247245	2.07798111771268e-54	Hypermethylated	-0.0274672742906076	7.97039890910453e-82	TRUE	Hypomethylated	0.0039248743302185	3.04067300170731e-06	TRUE	Hypermethylated	FALSE
Eri1	chr8	35465252	35496195	9267	9.26394734002374	0.000188620466442402	0.00148261490636499	0.00129399443992259	2.56143795586836e-52	Hypermethylated	-0.0254918345463402	3.70943358026694e-08	TRUE	Hypomethylated	-0.0158844565266733	1.39919778377932e-07	TRUE	Hypomethylated	FALSE
Frg1	chr8	41397458	41417073	5792	11.0230274516575	0.000279260438912427	0.00199118105626156	0.00171192061734913	1.52546583800027e-51	Hypermethylated	-0.00313311577618391	0.715856718910409	FALSE	Hypomethylated	-0.0248356110737506	5.26336224370245e-10	TRUE	Hypomethylated	NA
Stox2	chr8	47180047	47446361	85682	9.74892772110828	2.65115548336605e-06	0.000308316645513063	0.000305665490029697	2.50019013838483e-51	Hypermethylated	-0.0114756411319625	2.77077314618662e-17	TRUE	Hypomethylated	-0.00188953604686401	0.145381611441011	FALSE	Hypomethylated	FALSE
Psd3	chr8	67689081	68212026	157581	11.2479518469866	1.23891856393141e-06	0.000156572240117799	0.000155333321553868	6.90355757059671e-51	Hypermethylated	0.026772310604354	3.00939690379342e-102	TRUE	Hypermethylated	-0.015243978808279	1.29145886298413e-52	TRUE	Hypomethylated	TRUE
Tafa2	chr10	123263995	123741203	144720	11.6677877971255	0.000116705416910181	0.000234208041900631	0.00011750262499045	4.99594238264652e-50	Hypermethylated	-0.00979705441478096	8.60347905220244e-21	TRUE	Hypomethylated	0.00624164102264589	3.13479250763989e-26	TRUE	Hypermethylated	FALSE
Csmd1	chr8	15892536	17535585	507623	10.9641018038978	2.3431967743396e-05	1.15202954720858e-06	-2.22799381961874e-05	1.00151782738112e-48	Hypomethylated	-0.0217603486714035	5.0953553083479e-218	TRUE	Hypomethylated	0.0301479880004867	7.07674626726131e-306	TRUE	Hypermethylated	TRUE
Vps37a	chr8	40511782	40550756	11449	11.4694405624945	0.000110191442521968	0.000888771377923629	0.000778579935401662	2.40301137045451e-47	Hypermethylated	0.0127643427440242	0.0244776043395746	TRUE	Hypermethylated	-0.0461282161574955	9.43397946570937e-35	TRUE	Hypomethylated	TRUE
Purg	chr8	33386324	33417466	8961	12.4524606628724	0.000277778804112813	0.00123385008425734	0.000956071280144526	5.12440091488882e-47	Hypermethylated	0.00829040657139679	0.142490863684966	FALSE	Hypermethylated	-0.0243696434647324	9.02932825654616e-10	TRUE	Hypomethylated	NA
