gene	chromatin_state	mc_diff	hmc_diff	delta_ratio	atac_fold	k27ac_fold	k27me3_fold	k119ub_fold	n_concordant	dmr_group
1110002E22Rik	Other	-0.0115823910944359	0.00118158409637498	0.00418610363507668	-1.14861033705641	-1.00198708027161	1.53533180479641	0.347185061358813	4	Non-DMR
4930583I09Rik	Other	-0.00976607114897365	0.0150332897256906	0.0163615665366781	-0.52249228137818	-0.798082438279794	0.745723152631556	0.884349174594555	4	Non-DMR
Angpt1	Active_Promoter	0.05093380525349	-0.0689229276602719	-0.0765707791777402	-0.46559806349796	-2.09412517493322	4.44396786922438	1.10447693038356	4	mC Hyper
Cfc1	Repressed_Promoter	-0.0596379212157022	0.0159318980625676	0.0321132916085249	-0.354686886900169	-1.31562031840623	0.968021001957164	0.509098027134868	4	mC Hypo
Col19a1	Other	0.016539735255739	-0.0167025510989136	-0.0190235180770663	-0.747589191331871	-1.32858889519925	1.44990130054778	0.669172148554599	4	mC Hyper
Csrnp3	Other	0.00605028913680428	-0.0307288566105894	-0.0321019593028494	-0.909536920756425	-1.04526695469828	1.92937805748699	0.531202388228161	4	mC Hyper
Dnah11	Other	0.0191208331486024	-0.0141463626341209	-0.0169703497929046	-0.452137685130465	-1.09918018554741	2.40744752304626	0.668905389572875	4	mC Hyper
Dsc2	Other	0.0137378380088358	0.0028412970392892	0.000809512656985006	-0.670511566464254	-1.2193909034258	1.64835251538023	0.747715505482679	4	mC Hyper
Eomes	Bivalent_Promoter	0.0717417150234643	-0.0641562575085227	-0.0764738963018454	-1.19160838054118	-1.3236164567206	1.97679728716615	0.340684444724367	4	mC Hyper
Fgf1	Other	0.094244219786531	-0.0335424374916495	-0.055039403559918	-0.66987302973428	-1.479496496172	2.91998889048125	0.925650972639696	4	mC Hyper
Gprin3	Active_Promoter	0.103938977086807	-0.0528729723410623	-0.072936463042298	-0.557449685725666	-1.20019354670989	2.67703053297392	0.738838445136368	4	mC Hyper
Grxcr1	Other	0.0170979841408577	0.00360821184372545	0.000751553993503795	-1.44868915689767	-1.47646597736856	2.35057927005568	0.571876883153529	4	mC Hyper
Itgb5	Active_Promoter	0.112936191470343	-0.0750441802058035	-0.0990052343891466	-1.13369907455267	-1.66067152165031	3.09955281555478	0.816629342840635	4	mC Hyper
Nfib	Bivalent_Promoter	0.0700950392548942	-0.0237294096850187	-0.0545941814159205	-1.88598913176902	-2.99562570958817	1.90829510222777	0.701133325213681	4	mC Hyper
