human_gene	field_direction	mouse_gene	gb_mc_diff	gb_mc_q	gb_mc_dir	prom_mc_diff	prom_mc_q	prom_mc_dir	gb_hmc_diff	gb_hmc_q	log2FoldChange	padj	gb_concordance
RNF122	Hypermethylated	Rnf122	+0.1274	4.1e-122	Hypermethylated	+0.0187	8.6e-01	Hypermethylated	-0.0147	3.6e-03	-0.771	1.3e-06	Concordant
DLC1	Hypermethylated	Dlc1	-0.0238	4.1e-94	Hypomethylated	+0.0025	9.3e-01	Hypermethylated	-0.0031	2.0e-04	+0.046	8.4e-01	Discordant
CSGALNACT1	Hypermethylated	Csgalnact1	-0.0275	1.0e-81	Hypomethylated	-0.0073	8.1e-01	Hypomethylated	+0.0039	3.0e-06	-0.088	8.3e-01	Discordant
SLC7A2	Hypermethylated	Slc7a2	-0.0247	1.1e-20	Hypomethylated	-0.0907	9.8e-03	Hypomethylated	-0.0104	5.8e-08	+0.164	6.6e-01	Discordant
DPYSL2	Hypermethylated	Dpysl2	-0.0253	2.5e-16	Hypomethylated	+0.0530	2.0e-01	Hypermethylated	-0.0145	2.5e-07	+0.177	2.9e-04	Discordant
TG	Hypermethylated	Tg	-0.0158	3.1e-12	Hypomethylated	-0.0112	9.4e-01	Hypomethylated	+0.0154	1.1e-22	+0.154	8.8e-01	Discordant
SFRP1	Hypermethylated	Sfrp1	-0.0233	8.5e-10	Hypomethylated	+0.0001	1.0e+00	Hypermethylated	+0.0034	2.2e-01	+0.837	7.3e-02	Discordant
PPP1R3B	Hypermethylated	Ppp1r3b	-0.0244	1.7e-05	Hypomethylated	-0.0695	4.1e-01	Hypomethylated	-0.0004	9.1e-01	+0.640	4.6e-01	Discordant
MATN2	Hypermethylated	Matn2	-0.0110	2.6e-05	Hypomethylated	-0.0651	1.9e-01	Hypomethylated	+0.0046	3.2e-03	+0.224	1.8e-01	Discordant
ENPP2	Hypermethylated	Enpp2	-0.0088	6.1e-05	Hypomethylated	-0.0308	5.1e-01	Hypomethylated	-0.0013	3.9e-01	+0.284	5.9e-01	Discordant
ZDHHC2	Hypermethylated	Zdhhc2	+0.0107	5.7e-04	Hypermethylated	+0.0269	4.2e-01	Hypermethylated	-0.0380	4.0e-76	-0.580	4.0e-04	Concordant
RAB11FIP1	Hypermethylated	Rab11fip1	-0.0097	2.5e-03	Hypomethylated	-0.0004	9.5e-01	Hypomethylated	-0.0005	9.0e-01	+0.428	3.9e-01	Discordant
