chr	total_genes	sig_count	sig_rate	expected	obs_exp_ratio	fisher_p	enrichment
chr1	1194	698	0.5846	612.9	1.139	3.88e-07	Enriched
chr2	1780	884	0.4966	913.7	0.967	0.144	Not significant
chr3	981	538	0.5484	503.6	1.068	0.0261	Enriched
chr4	1244	687	0.5523	638.6	1.076	0.00498	Enriched
chr5	1232	700	0.5682	632.4	1.107	7.24e-05	Enriched
chr6	1098	575	0.5237	563.6	1.02	0.495	Not significant
chr7	1938	769	0.3968	994.8	0.773	4.41e-27	Depleted
chr8	1010	534	0.5287	518.4	1.03	0.317	Not significant
chr9	1185	635	0.5359	608.3	1.044	0.113	Not significant
chr10	959	530	0.5527	492.3	1.077	0.0131	Enriched
chr11	1594	876	0.5496	818.2	1.071	0.00271	Enriched
chr12	626	398	0.6358	321.3	1.239	4.38e-10	Enriched
chr13	819	395	0.4823	420.4	0.94	0.0746	Not significant
chr14	851	397	0.4665	436.8	0.909	0.00566	Depleted
chr15	759	434	0.5718	389.6	1.114	0.00112	Enriched
chr16	644	325	0.5047	330.6	0.983	0.66	Not significant
chr17	1021	497	0.4868	524.1	0.948	0.0831	Not significant
chr18	501	316	0.6307	257.2	1.229	1.06e-07	Enriched
chr19	673	335	0.4978	345.5	0.97	0.433	Not significant
chrX	869	252	0.29	446.1	0.565	3.79e-42	Depleted
chrY	13	0	0	6.7	0	8.56e-05	Depleted
