gene	chr	start	end	mc_ctrl	mc_mut	mc_diff	mc_q	mc_sig	hmc_ctrl	hmc_mut	hmc_diff	hmc_q	hmc_sig	total_ctrl	total_mut	ratio_ctrl	ratio_mut	delta_ratio	dmr_status	chromatin_state
Fndc10	chr4	155694341	155696480	0	0.030608755129959	0.030608755129959	0.492185800879662	FALSE	0.00833333333333333	0.0257751937984496	0.0174418604651163	0.693280451624792	FALSE	0.00833333333333333	0.0563839489284086	1	0.457137080469066	-0.542862919530934	Not DMR	Active_Promoter
H2ac4	chr13	23751125	23751597	0	0.00217391304347826	0.00217391304347826	0.858300705530729	FALSE	0.0205479452054795	0.00217391304347826	-0.0183740321620012	0.0962388354664051	FALSE	0.0205479452054795	0.00434782608695652	1	0.5	-0.5	Not DMR	Other
Fam89b	chr19	5728086	5729652	0.00185185185185185	0.0113658803676576	0.00951402851580577	0.285039632606418	FALSE	0.0143005751824602	0.0107226234744007	-0.00357795170805952	0.57035158522045	FALSE	0.0161524270343121	0.0220885038420583	0.885351480126298	0.485439102216781	-0.399912377909517	Not DMR	Active_Promoter
H1f0	chr15	79028449	79030503	0.00155763239875389	0.00958713882073018	0.00802950642197629	0.0497101942727209	TRUE	0.00992598565303989	0.00965172277442891	-0.00027426287861098	0.946156670292276	FALSE	0.0114836180517938	0.0192388615951591	0.864360483627319	0.501678476488312	-0.362682007139007	mC DMR only	Active_Promoter
Naa38	chr11	69395486	69396679	0.00561560693954895	0.0107035544472168	0.00508794750766789	0.142510707194927	FALSE	0.0160149878333588	0.00675700390879063	-0.00925798392456816	0.00579724021652602	TRUE	0.0216305947729077	0.0174605583560075	0.740385921029666	0.386986702888904	-0.353399218140763	hmC DMR only	Active_Promoter
Ier3	chr17	35821683	35822922	0.0108671840446705	0.0124190511490939	0.0015518671044234	0.960394733249886	FALSE	0.0261768852277753	0.00756795717498425	-0.0186089280527911	0.00647948761460374	TRUE	0.0370440692724458	0.0199870083240782	0.70664173083291	0.37864381963894	-0.327997911193969	hmC DMR only	Active_Promoter
Rraga	chr4	86575667	86577284	0.00315196960082116	0.00450512038349884	0.00135315078267768	0.66096253070917	FALSE	0.00993883379534087	0.00372560370773715	-0.00621323008760372	0.0182862977532814	TRUE	0.013090803396162	0.00823072409123598	0.759222600368037	0.45264592354689	-0.306576676821148	hmC DMR only	Active_Promoter
Cox6b2	chr7	4751791	4753093	0.0283368676624255	0.0171098819888686	-0.0112269856735569	0.440580293314682	FALSE	0.03288232220788	0.00526546731022378	-0.0276168548976562	0.0656492951609412	FALSE	0.0612191898703055	0.0223753492990924	0.537124425813901	0.235324474261386	-0.301799951552515	Not DMR	Repressed_Promoter
Spry2	chr14	105891946	105896818	0.038602717066449	0.208222369587767	0.169619652521318	1.1406414787255e-129	TRUE	0.047415634505049	0.0866210070983157	0.0392053725932666	2.07805961151372e-15	TRUE	0.086018351571498	0.294843376686083	0.551226960744969	0.293786511577434	-0.257440449167534	Both mC+hmC DMR	Active_Promoter
Tlx2	chr6	83068323	83070292	0.167176976249557	0.0587857744107744	-0.108391201838782	0.0322770286391436	TRUE	0.0545506912442396	0	-0.0545506912442396	0.121756933522525	FALSE	0.221727667493797	0.0587857744107744	0.246025639744602	0	-0.246025639744602	mC DMR only	Repressed_Promoter
1700056E22Rik	chr1	184033029	184034300	0.0276622119299465	0.0492848299805264	0.0216226180505799	0.169242853879516	FALSE	0.0588665482115139	0.038483758051583	-0.0203827901599309	0.112592988408574	FALSE	0.0865287601414604	0.0877685880321094	0.680311934613147	0.438468464794079	-0.241843469819068	Not DMR	Active_Promoter
Cited4	chr4	120666571	120667819	0.0870879120879121	0.410786581839213	0.323698669751301	0.00382181714079637	TRUE	0.204945054945055	0.375072296124928	0.170127241179873	0.135951502235035	FALSE	0.292032967032967	0.785858877964141	0.701787394167451	0.477276908923643	-0.224510485243807	mC DMR only	Other
Alyref2	chr1	171503477	171504749	0.0189831102673219	0.0163048381936339	-0.00267827207368808	0.654171565931098	FALSE	0.0239628302984711	0.00832549619935765	-0.0156373340991135	0.0125575459970645	TRUE	0.0429459405657931	0.0246303343929915	0.557976609262059	0.338017993037344	-0.219958616224715	hmC DMR only	Active_Promoter
Fam181b	chr7	93079864	93081866	0.150139147453719	0.213209040610649	0.06306989315693	0.0130233501266348	TRUE	0.122337368904811	0.0657785536276861	-0.0565588152771245	0.0113821278638725	TRUE	0.272476516358529	0.278987594238335	0.448983165741289	0.235775908987166	-0.213207256754123	Both mC+hmC DMR	Active_Enhancer
Gm12184	chr11	48825345	48826654	0.568889443889444	0.630833333333333	0.0619438894438895	0.572786280314146	FALSE	0.275308025308025	0.08625	-0.189058025308025	0.0140090967196906	TRUE	0.844197469197469	0.717083333333333	0.326118041516691	0.120278907611854	-0.205839133904837	hmC DMR only	Other
Cldn3	chr5	134986213	134987471	0.141865079365079	0.16060915681409	0.018744077449011	0.989796513068938	FALSE	0.147652116402116	0.0704702476524108	-0.0771818687497056	0.311365647539159	FALSE	0.289517195767196	0.231079404466501	0.509994288977727	0.304961179102513	-0.205033109875214	Not DMR	Repressed_Promoter
Frat1	chr19	41829969	41832582	0.124011898601026	0.227338539667901	0.103326641066874	6.95647481774737e-15	TRUE	0.116670706449422	0.0971287411720951	-0.0195419652773269	0.0769616548573049	FALSE	0.240682605050448	0.324467280839996	0.484749225748854	0.299348337745007	-0.185400888003847	mC DMR only	Active_Promoter
