chr	Start	End	island_id	Annotation	mc_num_contexts	mc_mean_coverage	mc_mean_mod_control	mc_mean_mod_mutant	mc_mod_fold_change	mc_mod_difference	mc_qvalue	mc_sig	mc_hyper	mc_hypo	hmc_mean_mod_control	hmc_mean_mod_mutant	hmc_mod_difference	hmc_qvalue	hmc_sig	hmc_hyper	hmc_hypo	k119ub_ctrl	k119ub_mut	k119ub_gained	k119ub_lost	n_k119ub_mut	k119ub_diffbind_fold	de_novo_005	de_novo_01	de_novo_02	H3K27me3	H3K27ac	H3K4me3	H3K4me1	Bivalent	sig_status	dmr_category
chr1	3531624	3531843	chr1:3531624-3531843	CpG_island	27	14.412037037037	0.905880677359963	0.907176104408793	1.00143001951715	0.00129542704883012	0.999999455489177	FALSE	FALSE	FALSE	0.0450520021749077	0.0563086070499202	0.0112566048750125	0.99993054153301	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Neither	Non-sig
chr1	4491701	4493673	chr1:4491701-4493673	CpG_island	18	12.0555555555556	0.00456630410898704	0.00777852178780971	1.70346118045459	0.00321221767882268	0.999999455489177	FALSE	FALSE	FALSE	0.00317017598994343	0.00784347231715653	0.0046732963272131	0.99993054153301	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	1	-0.742417137474991	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	Neither	Non-sig
chr1	4496947	4497608	chr1:4496947-4497608	CpG_island	12	10.875	0.00746036963985682	0.010408439599854	1.39516406053759	0.00294806995999716	0.999999455489177	FALSE	FALSE	FALSE	0.00154320987654321	0.00380974370815054	0.00226653383160733	0.99993054153301	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	1	-0.553526654242799	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	Neither	Non-sig
chr1	4689184	4689397	chr1:4689184-4689397	CpG_island	11	11.8068181818182	0.23345698367884	0.236300543022847	1.0121802282339	0.0028435593440071	0.999999455489177	FALSE	FALSE	FALSE	0.022788513121931	0.0254712250768744	0.00268271195494341	0.99993054153301	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Neither	Non-sig
chr1	4785376	4785814	chr1:4785376-4785814	CpG_island	6	17.1875	0	0	NA	0	0.999999455489177	FALSE	FALSE	FALSE	0	0	0	0.99993054153301	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	NA	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	Neither	Non-sig
chr1	4857465	4858372	chr1:4857465-4858372	CpG_island	6	10.8333333333333	0	0	NA	0	0.999999455489177	FALSE	FALSE	FALSE	0	0	0	0.99993054153301	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0.750707065056077	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	Neither	Non-sig
chr1	5018557	5019711	chr1:5018557-5019711	CpG_island	13	11.4807692307692	0	0	NA	0	0.999999455489177	FALSE	FALSE	FALSE	0	0	0	0.99993054153301	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	1	NA	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	Neither	Non-sig
chr1	5083039	5083536	chr1:5083039-5083536	CpG_island	3	11.7083333333333	0	0	NA	0	0.999999455489177	FALSE	FALSE	FALSE	0	0	0	0.99993054153301	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	NA	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	Neither	Non-sig
chr1	5916428	5917474	chr1:5916428-5917474	CpG_island	17	13	0.024640697176056	0.0221202289974561	0.897711166182053	-0.00252046817859994	0.999999455489177	FALSE	FALSE	FALSE	0.0201900090480499	0.029974261526954	0.00978425247890404	0.99993054153301	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	NA	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	Neither	Non-sig
chr1	6214430	6215332	chr1:6214430-6215332	CpG_island	4	14.09375	0	0	NA	0	0.999999455489177	FALSE	FALSE	FALSE	0	0.00337837837837838	0.00337837837837838	0.99993054153301	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	NA	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	Neither	Non-sig
