gene	chr	start	end	hyper_dmr	baseline_mc	baseline_hmc	k119ub	atac_count	cpg_density	log_gene_length	log_expression	chromatin_state	pred_prob_full	mod_difference	dmr_qvalue	significant
Igip	chr18	36298678	36301516	TRUE	0.429210242489608	0.4735	0.626466	1	0.00704721634954193	3.45301239112146	2.29143892738327	Other	0.997516780146011	0.0838850137351688	0.00103833987637366	TRUE
Pan3	chr5	147430160	147548501	TRUE	0.40149442410244	0.37	0.46572	6	0.0077656940536247	5.07313523481295	3.70183363045876	Other	0.99511536777408	0.0872377652818889	1.16508471442331e-119	TRUE
Ywhah	chr5	33018815	33027965	FALSE	0.251686165761251	0.407	0.836952	7	0.00819672131147541	3.96142109406645	3.17508100798842	Active_Promoter	0.994326415336658	-0.0227093809411084	0.0909595707453756	FALSE
Nrxn1	chr17	90033630	91093070	FALSE	0.521953433973251	0.318	0.727366	5	0.00506493996828513	6.02507636604278	4.86803601910861	Active_Promoter	0.993682386591238	-0.0159971913841708	1.98581350148646e-25	TRUE
Kcnd2	chr6	21215502	21729804	TRUE	0.476575117905298	0.3335	0.739126	15	0.0050553954680324	5.71121821319388	4.8759364670313	Active_Promoter	0.993633926862698	0.053850913090099	1.1539380768874e-144	TRUE
Ywhae	chr11	75732868	75765844	TRUE	0.291847123630141	0.37	0.335989	3	0.00621664240659874	4.51819797443514	3.24409203376377	Active_Promoter	0.993388090411357	0.0236051709264503	0.00365819167432395	TRUE
Camk4	chr18	32934930	33191227	FALSE	0.396365728399048	0.347	0.709595	12	0.00630908672360582	5.40874352272318	4.29738235623298	Active_Promoter	0.992947870456283	-0.00503387515157527	0.128824143215181	FALSE
Gabrb2	chr11	42419756	42629027	TRUE	0.428228693164567	0.367	0.655577	14	0.00484539186031509	5.32070904958767	3.93337082144449	Active_Promoter	0.99287967760021	0.059588118868205	4.33186126465398e-71	TRUE
Kansl1	chr11	104333228	104468860	TRUE	0.415721188279498	0.349	0.296395	3	0.00535271912233101	5.13236216581323	3.54623490585665	Other	0.992792359022944	0.0294996896292093	6.15150517365325e-12	TRUE
Pafah1b1	chr11	74673948	74724669	TRUE	0.412071271310178	0.3535	0.231641	3	0.005579542990083	4.70518780737763	3.35358774318363	Active_Promoter	0.992778289745974	0.0463107741179132	4.187915103534e-12	TRUE
Ywhag	chr5	135908408	135934615	FALSE	0.373125647431422	0.347	0.56861	5	0.0147288892280688	4.41841730869877	3.27694256692549	Active_Promoter	0.99225687762073	-0.0032276936973008	0.682429207533864	FALSE
Olfm3	chr3	114904077	115125721	TRUE	0.4382057838113	0.357	0.723667	12	0.00446662215083648	5.34565597925295	4.06974767913939	Active_Promoter	0.992252310275026	0.0387673657216824	1.35225906046876e-29	TRUE
Ppp3ca	chr3	136670123	136937726	TRUE	0.34922224938211	0.395	1.424352	24	0.00864713773761879	5.42749097784071	4.1355415115684	Active_Promoter	0.99200356478131	0.0409216911391924	5.48337953306875e-74	TRUE
Caln1	chr5	130369454	130847411	TRUE	0.512003214898285	0.3205	0.492032	3	0.00662611908602657	5.6793888265227	3.96867384346576	Active_Promoter	0.990971781175595	0.103425623814467	1.7288823880601e-305	TRUE
Fut8	chr12	77238124	77476337	TRUE	0.444063834982558	0.376	0.384675	26	0.00383690226813818	5.37696545854981	3.52897045215205	Active_Promoter	0.990384468030321	0.0733004449832116	8.72835076867699e-89	TRUE
Fgf14	chr14	123977906	124677126	TRUE	0.535043211779135	0.308	0.408149	13	0.00309773747890507	5.84461384205972	4.59557125953179	Active_Promoter	0.990364551619465	0.0365422146352774	4.17941748466933e-52	TRUE
Nck1	chr9	100492292	100546133	TRUE	0.410444705793912	0.3665	0.41683	2	0.00577626715699931	4.73111311753183	2.86732609002382	Active_Promoter	0.990291998060987	0.0484293978613017	8.09279421526985e-15	TRUE
Gpm6a	chr8	54954842	55060870	FALSE	0.33234493558973	0.3675	0.704044	20	0.00396121779152677	5.02542056941294	3.88657291674859	Active_Promoter	0.990275131784104	-0.0211911520528876	5.3901556389884e-05	TRUE
Rbm39	chr2	156147238	156180237	TRUE	0.350733428590709	0.334	0.31505	1	0.00642443710415467	4.51850077923964	3.39247725311473	Active_Promoter	0.990137164839731	0.0660154701478307	1.47911338917728e-19	TRUE
Foxn2	chr17	88440710	88490532	TRUE	0.35337951239525	0.3935	0.543847	19	0.00820922484043194	4.69742115739418	2.79952583422131	Active_Promoter	0.989883349390986	0.118193602664511	1.27681219645653e-94	TRUE
Nr1d2	chr14	18204053	18239126	TRUE	0.381195384880712	0.3505	0.573594	4	0.00863912411256522	4.54497291523202	3.21810911251593	Active_Promoter	0.989848515717801	0.0561158535059181	1.86252996285172e-17	TRUE
Jmjd1c	chr10	67096124	67256325	TRUE	0.218696959477279	0.347	0.88853	6	0.00666038289398943	5.20466522269158	3.92523856105769	Active_Promoter	0.989831374922258	0.0328268171404368	3.20277793336401e-28	TRUE
Abhd17b	chr19	21653184	21685636	TRUE	0.34544218264297	0.364	0.624303	1	0.00825835079502034	4.51124146730582	2.92746759164147	Active_Promoter	0.989821686702707	0.0558408507946243	1.09195653837358e-17	TRUE
Fbxw11	chr11	32642723	32746815	TRUE	0.370614291441015	0.3685	0.786163	17	0.00757022633823925	5.01741735305172	3.53609325241078	Active_Promoter	0.989657535129755	0.0223706746627053	1.01416002533176e-07	TRUE
Nptn	chr9	58582239	58657954	TRUE	0.474953520560675	0.3355	0.480773	5	0.00521693191573664	4.87918192668496	3.59443571184249	Active_Promoter	0.989476983255205	0.0548107334723462	1.62069706877338e-21	TRUE
Chn2	chr6	54039553	54301809	TRUE	0.299151150872212	0.3495	1.131393	18	0.00877005673845403	5.41872543294599	4.2844163812151	Active_Promoter	0.989368479069775	0.0452973006296484	1.04422350796122e-84	TRUE
Cnot2	chr10	116485160	116581510	TRUE	0.476862075517855	0.3485	0.784079	6	0.00788790866632071	4.98385171899147	3.49125622605882	Active_Promoter	0.989359011042154	0.0498165453526904	7.34085594082106e-35	TRUE
Rab6a	chr7	100607409	100641267	TRUE	0.396968202011182	0.3495	0.353282	4	0.00487329434697856	4.52966130065368	3.13066330790229	Active_Promoter	0.988990544421586	0.0706652422131303	3.00045370005448e-15	TRUE
Gatad2b	chr3	90293177	90363406	TRUE	0.476266404339994	0.3285	0.286419	2	0.00521152230560025	4.84651648448387	3.33215981662385	Active_Promoter	0.988473863697669	0.0250594488045205	4.93327094986743e-05	TRUE
Pacsin1	chr17	27655508	27711481	TRUE	0.333429892611493	0.353	0.773017	9	0.0090043413788791	4.7479785845292	3.38693902584893	Other	0.988435243913293	0.05085297453995	2.53394752634387e-19	TRUE
Glce	chr9	62057247	62122654	TRUE	0.467328400494023	0.3775	0.680386	3	0.00447964285168254	4.81562422995562	2.75803134276733	Active_Promoter	0.988276106326186	0.0281078411167155	3.47264551066817e-05	TRUE
Zfp521	chr18	13687012	13972786	TRUE	0.395147508040392	0.379	1.566429	26	0.00919957728834674	5.45602271371255	4.15114700948247	Active_Promoter	0.988163763134463	0.0471753097980059	2.14104795756572e-102	TRUE
Pten	chr19	32757496	32826159	TRUE	0.345422852569278	0.3555	0.761464	6	0.00656831190015001	4.83672277454826	3.32486065447432	Active_Promoter	0.987991657194213	0.0417048595641243	1.97650847715806e-16	TRUE
Ube2n	chr10	95515144	95545656	TRUE	0.430528683741785	0.37	0.752166	1	0.00603041426324069	4.48447067570193	2.79689036230155	Active_Promoter	0.987804016782373	0.0530826415469463	7.93747428016357e-10	TRUE
Kcnk10	chr12	98429436	98578309	TRUE	0.371919906126257	0.35	1.128256	6	0.00847702404062523	5.17281594010092	3.68338406657732	Active_Promoter	0.987778704519651	0.0319116649375182	1.09497245597794e-22	TRUE
Brinp1	chr4	68761513	68954396	TRUE	0.411037059448851	0.367	1.151549	14	0.00471270148224571	5.28529395220823	3.787625900986	Active_Promoter	0.987543680122687	0.0876218726609878	3.0080350216511e-130	TRUE
Lin7a	chr10	107271685	107421473	TRUE	0.408816695001922	0.334	0.889511	6	0.00602852030870297	5.17547702202477	3.87199642459695	Active_Promoter	0.987461505569182	0.0450750573759199	1.58870231407185e-35	TRUE
Aplp2	chr9	31149556	31211814	TRUE	0.385373012220688	0.314	0.610482	3	0.00876995727456712	4.79419516512717	3.73436081282647	Active_Promoter	0.987357024957825	0.0373847465678799	3.02113565716818e-14	TRUE
Ppm1d	chr11	85311243	85347065	TRUE	0.329501518849748	0.355	0.491022	5	0.00683937245268271	4.55414982955087	2.93000692084318	Active_Promoter	0.98724354242412	0.075942862835227	3.17094024078803e-27	TRUE
Fbxo11	chr17	87990858	88065290	TRUE	0.474268565109784	0.3255	0.427238	2	0.00772517196904557	4.87175968871234	3.26751503274871	Active_Promoter	0.987241749363072	0.03553243587811	1.90783970090837e-13	TRUE
Dyrk1a	chr16	94570009	94695516	TRUE	0.394218922267176	0.3475	0.703532	15	0.00792784466205072	5.09866794873812	3.51496523814239	Active_Promoter	0.986927835465191	0.0229428294936985	2.46384099397741e-10	TRUE
Cul3	chr1	80264922	80340479	TRUE	0.507252880518914	0.338	0.583103	2	0.00514843098587821	4.87827470587617	3.26956235881627	Active_Promoter	0.986899676411636	0.0150624984204729	0.00876709238021395	TRUE
Hnrnpc	chr14	52073376	52104027	TRUE	0.286704944717701	0.3335	0.38261	1	0.00583993996933216	4.48644464810068	3.19350143855404	Active_Promoter	0.986828498501738	0.0589285566441333	2.2158973468416e-14	TRUE
Usp3	chr9	66514636	66593141	TRUE	0.412444179784911	0.324	0.464837	6	0.00477676581109484	4.89489731793324	3.63729197381093	Active_Promoter	0.986735773215479	0.0514103048470377	1.42497575681082e-18	TRUE
Rbm33	chr5	28317120	28419238	TRUE	0.449239721299156	0.333	0.673405	4	0.00519007422785405	5.0091023004774	3.5309481233595	Active_Promoter	0.986460623766678	0.0733342750300358	2.52200377626117e-50	TRUE
Mgat3	chr15	80173720	80215518	TRUE	0.358108285594677	0.358	0.904403	6	0.0084932293411168	4.62115550163762	3.128347692206	Active_Promoter	0.986316415094514	0.0349138680978231	1.79443338617559e-07	TRUE
Ywhaq	chr12	21390070	21417636	TRUE	0.508953826442616	0.36	0.424014	14	0.00562286875136037	4.44037375181636	2.90803950271984	Active_Promoter	0.986209325147524	0.0710325210388539	5.58142703007122e-15	TRUE
Epc1	chr18	6435950	6516107	TRUE	0.365567357847631	0.3295	0.782224	2	0.00857068004042067	4.90394145468302	3.43514161374255	Active_Promoter	0.985780922080427	0.0292262066057775	8.53802881046481e-12	TRUE
Cpeb4	chr11	31872210	31935633	TRUE	0.357690649741998	0.3275	0.576653	4	0.0042571306939123	4.80224678093659	3.59178826704601	Active_Promoter	0.985778281610794	0.0933485300185191	1.00169742940892e-46	TRUE
Sphkap	chr1	83254138	83408199	TRUE	0.357810092437355	0.3355	0.712537	20	0.00527063955186582	5.18769271251176	4.01870814063106	Active_Promoter	0.9857096155561	0.0385387353878746	9.3416868072346e-23	TRUE
Dgkd	chr1	87853286	87945179	TRUE	0.37432844066752	0.34	0.89899	1	0.00537581752690629	4.9632824300242	3.48685898504812	Other	0.985701980679329	0.0250253632988139	8.7593306715081e-06	TRUE
Susd6	chr12	80790509	80880834	TRUE	0.259996375049077	0.3685	1.138951	10	0.00458344865762524	4.95580797024006	3.52678341218847	Active_Promoter	0.985629265023831	0.0568687186672247	6.64902541116991e-27	TRUE
Mbnl2	chr14	120275668	120431696	TRUE	0.435682330146792	0.345	1.474466	9	0.0124593021765324	5.19320254165138	3.76406704980424	Active_Promoter	0.985577869183825	0.013980982434012	2.41575228934036e-07	TRUE
Rtn3	chr19	7425900	7483280	FALSE	0.494775891845313	0.3035	0.354578	1	0.00594283722551412	4.75876054390998	3.557418180146	Other	0.985400199623558	0.00622816865999148	0.435952489799413	FALSE
Brd4	chr17	32196273	32284721	TRUE	0.501720846069993	0.326	0.63454	4	0.00629748552821997	4.94668801702207	3.44086508843398	Other	0.985338193381242	0.0248074675748035	3.86447527668969e-06	TRUE
Crkl	chr16	17451986	17487433	TRUE	0.391175674642987	0.3475	0.369178	2	0.00668603831071741	4.54957948525737	2.66853528568193	Active_Promoter	0.985333529674065	0.0502495460341489	1.26428627822526e-11	TRUE
Ndrg3	chr2	156927344	156992055	TRUE	0.335275576209871	0.3255	0.743879	9	0.00802027476008716	4.81097811116707	3.71114811257498	Active_Promoter	0.985294118499954	0.0309333458539836	1.50936828835619e-09	TRUE
Mindy2	chr9	70599013	70657173	TRUE	0.438619401815476	0.322	0.285013	5	0.0046595598349381	4.76462439785098	3.32037410914629	Active_Promoter	0.985290713522335	0.0686469006315493	3.378602282621e-23	TRUE
Hivep2	chr10	13966074	14151373	TRUE	0.402937034646859	0.366	1.460668	18	0.00911499792227697	5.26787307557549	3.78084055711822	Active_Promoter	0.985167385345074	0.031447729022073	9.92837676177872e-31	TRUE
Ablim1	chr19	57032732	57314918	TRUE	0.353781629626065	0.3105	1.164798	5	0.0108368239388205	5.45053546344537	4.16869484892724	Active_Promoter	0.985125013708505	0.0365351360383872	1.84422920345757e-66	TRUE
Car10	chr11	93098027	93601748	TRUE	0.462882362661023	0.3415	0.787797	35	0.00564002691966386	5.7021900568613	4.33038726258923	Active_Promoter	0.985118914386415	0.0664824297979006	3.61378741035954e-216	TRUE
Srgap2	chr1	131285250	131527351	TRUE	0.408674717323205	0.346	1.024112	13	0.00432877187620043	5.38399658330206	3.87319084158866	Active_Promoter	0.985017610235838	0.0250109060829016	1.77689780553727e-12	TRUE
Ndst3	chr3	123526165	123690852	TRUE	0.413532744669109	0.3265	0.795569	11	0.00769945411598973	5.21665931834952	3.76963487340199	Active_Promoter	0.984993170010975	0.121821941384298	1.7288823880601e-305	TRUE
Syt11	chr3	88744699	88775163	FALSE	0.325448183425278	0.328	0.554693	6	0.00988051470588235	4.48378692670438	3.20767440175891	Active_Promoter	0.984841937156138	0.00630804154158171	0.529478444027138	FALSE
Elavl3	chr9	22015004	22052022	TRUE	0.366138851774791	0.3275	0.595265	5	0.00953590145334702	4.56841295108822	3.22639817557924	Active_Promoter	0.984814999666311	0.0330199766983086	4.59298136069686e-07	TRUE
Smg1	chr7	118131307	118243669	TRUE	0.543231911659275	0.282	0.325883	1	0.0057848738897492	5.0506194608716	3.92716005788841	Active_Promoter	0.984790353995354	0.057804558331396	2.25724723804526e-40	TRUE
Fnbp1	chr2	31026205	31142007	TRUE	0.35318636328189	0.3055	0.64664	12	0.0114333085784356	5.0637160600949	3.871548269046	Active_Promoter	0.984686259992964	0.072876194879543	1.71239140304721e-102	TRUE
Spen	chr4	141467889	141538596	FALSE	0.432677632536675	0.326	0.964133	9	0.0151328722757294	4.84946241112201	3.37613527701121	Active_Promoter	0.98452947760008	0.00272934489754939	0.48905994090719	FALSE
Pik3r3	chr4	116221617	116303055	FALSE	0.437962381312697	0.3195	0.408941	7	0.00703602740735283	4.91082709947661	3.36390535452847	Active_Enhancer	0.984512828704664	0.00706292968938343	0.203214076912935	FALSE
Klf7	chr1	64029446	64122281	TRUE	0.333728354533091	0.3865	1.784348	11	0.00906985511929768	4.9677117417485	3.42313427731381	Active_Promoter	0.984308201458619	0.0219393830644473	1.98658613592655e-08	TRUE
Rere	chr4	150281645	150621965	TRUE	0.494757241973018	0.316	0.777171	10	0.00859485190409027	5.53188747255865	3.7806111581352	Active_Promoter	0.984117654391986	0.0280497857473288	6.39430632480227e-36	TRUE
Foxn3	chr12	99190077	99563581	TRUE	0.445647477663143	0.338	1.25069	13	0.0116330748800548	5.5722952572053	3.73110496587226	Active_Promoter	0.983916972437761	0.0125577907069776	4.87150461919072e-11	TRUE
Crebbp	chr16	4081327	4213996	TRUE	0.537593509054155	0.298	0.401261	3	0.00547226556316849	5.12276945563201	3.67822622421639	Active_Promoter	0.983833056940431	0.0246330737813254	1.53574996261013e-08	TRUE
Ube3a	chr7	59228749	59311535	TRUE	0.57176032849892	0.2945	0.2547	2	0.00364795979996618	4.91795689914207	3.64295815625029	Active_Promoter	0.983713612712909	0.0417026774579903	1.85658637173019e-11	TRUE
Micos10	chr4	139101813	139131112	TRUE	0.438340184757506	0.3395	0.507347	2	0.0080548824191952	4.4668527977639	2.73808658505152	Other	0.983680980298226	0.0485190743139358	6.26058579314859e-09	TRUE
Ttc3	chr16	94370617	94469342	TRUE	0.514149565680459	0.285	0.52738	2	0.00790073436312991	4.99442714240858	3.89443229456607	Active_Promoter	0.98353604645772	0.0203983332949598	4.18479653637292e-07	TRUE
Grb2	chr11	115644044	115708596	TRUE	0.349072002724012	0.338	0.629864	8	0.00986801338455819	4.80990970245849	3.03237276457198	Active_Promoter	0.983527457193763	0.0418809598124938	3.86776975886735e-20	TRUE
Lnpep	chr17	17521409	17625049	TRUE	0.513037417021696	0.316	0.422239	4	0.00505596294866847	5.01552740431379	3.35585958181842	Active_Promoter	0.983456349229335	0.0832096560091315	3.61593150528855e-69	TRUE
