gene	chr	start	end	mc_ctrl	mc_mut	mc_diff	mc_q	mc_sig	hmc_ctrl	hmc_mut	hmc_diff	hmc_q	hmc_sig	total_ctrl	total_mut	ratio_ctrl	ratio_mut	delta_ratio	dmr_status	chromatin_state	atac_fold	atac_fdr	atac_n_peaks	k27ac_fold	k27ac_fdr	k27ac_n_peaks	k27me3_fold	k27me3_fdr	k27me3_n_peaks	k119ub_fold	k119ub_fdr	k119ub_n_peaks
Aym1	chr5	113357293	113357820	0.0584415584415584	0.0505747126436782	-0.00786684579788028	0.815020524305903	FALSE	0.0811688311688312	0	-0.0811688311688312	0.157786772320766	FALSE	0.13961038961039	0.0505747126436782	0.581395348837209	0	-0.581395348837209	Not DMR	Other	0.590058601294752	0.00957610082582632	4	-0.0728340335634024	0.622530789814819	1	NA	NA	NA	-0.275695028498088	0.0803240086829877	2
Ier3	chr17	35821683	35822922	0.00568245036796846	0.0154755424216502	0.00979309205368174	0.343604957695537	FALSE	0.0310826061386359	0.00598802395209581	-0.0250945821865401	0.0172626409082419	TRUE	0.0367650565066044	0.021463566373746	0.845438824038046	0.278985507246377	-0.566453316791669	hmC DMR only	Active_Promoter	-0.0440460211592452	0.846565353644422	3	NA	NA	NA	NA	NA	NA	0.227471548104636	0.141682701310013	1
H2ac4	chr13	23751125	23751597	0	0.00434782608695652	0.00434782608695652	0.983906739986994	FALSE	0.0410958904109589	0.00434782608695652	-0.0367480643240024	0.0688778921868143	FALSE	0.0410958904109589	0.00869565217391304	1	0.5	-0.5	Not DMR	Other	0.000877281233360944	0.997379441145547	1	NA	NA	NA	NA	NA	NA	1.3122210278361	7.05167561360527e-18	1
Fam89b	chr19	5728086	5729652	0.00276243093922652	0.0151846942891719	0.0124222633499454	0.320376315414491	FALSE	0.0132336351277082	0.00833861580130237	-0.00489501932640583	0.514742041840701	FALSE	0.0159960660669347	0.0235233100904743	0.827305605786618	0.354483096521313	-0.472822509265305	Not DMR	Active_Promoter	0.194561439852059	0.3115105438565	2	-0.0745157126447347	0.663155318829077	1	NA	NA	NA	NA	NA	NA
Gm3424	chr14	5821933	5830328	0.0625	0.186868686868687	0.124368686868687	0.493149522674233	FALSE	0.197916666666667	0.0782828282828283	-0.119633838383838	0.408952977506703	FALSE	0.260416666666667	0.265151515151515	0.76	0.295238095238095	-0.464761904761905	Not DMR	Other	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nkx2-9	chr12	56611388	56613283	0.0126068376068376	0.015625	0.00301816239316239	0.904532285407714	FALSE	0.00854700854700855	0	-0.00854700854700855	0.508921259401975	FALSE	0.0211538461538462	0.015625	0.404040404040404	0	-0.404040404040404	Not DMR	Repressed_Promoter	NA	NA	NA	NA	NA	NA	-0.169449123152689	0.376360148532278	7	-0.714155083459057	3.39771501894551e-06	2
Naa38	chr11	69395486	69396679	0.002344239518348	0.00965457121063528	0.00731033169228729	0.10860319248225	FALSE	0.0168333015501131	0.00902800479459518	-0.00780529675551787	0.126828480380028	FALSE	0.0191775410684611	0.0186825760052305	0.877761204631011	0.483231262758822	-0.394529941872189	Not DMR	Active_Promoter	0.0215821394717701	0.922811126030498	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rraga	chr4	86575667	86577284	0.00283179455566919	0.00618715596330275	0.00335536140763356	0.492214306665426	FALSE	0.00854266780615605	0.00385810397553517	-0.00468456383062088	0.299049269563647	FALSE	0.0113744623618252	0.0100452599388379	0.751039260969977	0.384072089624939	-0.366967171345038	Not DMR	Active_Promoter	0.038455969257987	0.832505057439975	1	0.0557322635298302	0.702870584602581	1	NA	NA	NA	0.469831747921983	0.00782474769044	1
Alyref2	chr1	171503477	171504749	0.0198821339950372	0.020142113802943	0.000259979807905764	0.989975766393866	FALSE	0.0235421836228288	0.00505231354557153	-0.0184898700772573	0.044897773188501	TRUE	0.043424317617866	0.0251944273485145	0.542142857142857	0.200532978014657	-0.3416098791282	hmC DMR only	Active_Promoter	0.0717477985714842	0.697804768152895	1	-0.0847789258249379	0.667650410622202	1	NA	NA	NA	NA	NA	NA
Hmx3	chr7	131542866	131544924	0.0220588235294118	0.015625	-0.00643382352941177	0.792691138824743	FALSE	0.0104166666666667	0	-0.0104166666666667	0.737010861866259	FALSE	0.0324754901960784	0.015625	0.320754716981132	0	-0.320754716981132	Not DMR	Repressed_Promoter	0.168632586915709	0.428205526778414	1	NA	NA	NA	-0.15012399682252	0.572666819127502	1	NA	NA	NA
