gene	feature_type	Name	Chromosome	Start	End	ctrl_mc	mut_mc	delta_mc	ctrl_hmc	mut_hmc	delta_hmc	delta_mc_pct	delta_hmc_pct
1700025G04Rik	3UTR	1700025G04Rik_3UTR_1	1	151884523	151893395	0.5255	0.56175	0.0362499999999999	0.26225	0.22875	-0.0335	3.62	-3.35
1700025G04Rik	SpliceSite_Donor	1700025G04Rik_SpliceSite_Donor_1	1	151893382	151893481	0.75025	0.76075	0.0105	0.2005	0.18475	-0.01575	1.05	-1.58
1700025G04Rik	Exon	1700025G04Rik_Exon_1	1	151893396	151893431	0.753	0.69875	-0.05425	0.1675	0.21775	0.05025	-5.43	5.03
1700025G04Rik	Intron	1700025G04Rik_Intron_1	1	151893482	151915430	0.632	0.677	0.045	0.26775	0.22175	-0.046	4.5	-4.6
1700025G04Rik	SpliceSite_Acceptor	1700025G04Rik_SpliceSite_Acceptor_1	1	151915431	151915530	0.69125	0.78525	0.0940000000000001	0.24725	0.1505	-0.09675	9.4	-9.68
1700025G04Rik	Exon	1700025G04Rik_Exon_2	1	151915481	151915541	0.69125	0.78525	0.0940000000000001	0.24725	0.1505	-0.09675	9.4	-9.68
1700025G04Rik	Intron	1700025G04Rik_Intron_2	1	151915592	151920995	0.65275	0.68925	0.0364999999999999	0.24725	0.198	-0.04925	3.65	-4.92
1700025G04Rik	Exon	1700025G04Rik_Exon_3	1	151921046	151921122	0.67275	0.67325	0.000500000000000056	0.2915	0.23875	-0.05275	0.05	-5.28
1700025G04Rik	SpliceSite_Donor	1700025G04Rik_SpliceSite_Donor_3	1	151921073	151921172	0.54625	0.57125	0.0250000000000001	0.39825	0.36325	-0.035	2.5	-3.5
1700025G04Rik	Intron	1700025G04Rik_Intron_3	1	151921173	151980374	0.49075	0.5525	0.06175	0.344	0.299	-0.045	6.17	-4.5
1700025G04Rik	SpliceSite_Acceptor	1700025G04Rik_SpliceSite_Acceptor_3	1	151980375	151980474	0.165	0.25875	0.09375	0.43875	0.4825	0.04375	9.38	4.38
1700025G04Rik	Exon	1700025G04Rik_Exon_4	1	151980425	151980519	0.012	0.06425	0.05225	0.02875	0.1325	0.10375	5.23	10.38
1700025G04Rik	SpliceSite_Donor	1700025G04Rik_SpliceSite_Donor_4	1	151980470	151980569	0.012	0.06425	0.05225	0.02875	0.1325	0.10375	5.23	10.38
1700025G04Rik	Intron	1700025G04Rik_Intron_4	1	151980570	152006493	0.4215	0.5075	0.086	0.3515	0.33175	-0.0197499999999999	8.6	-1.97
1700025G04Rik	SpliceSite_Acceptor	1700025G04Rik_SpliceSite_Acceptor_4	1	152006494	152006593	0.21975	0.206	-0.01375	0.2995	0.45175	0.15225	-1.37	15.22
1700025G04Rik	Exon	1700025G04Rik_Exon_5	1	152006544	152006637	0.1605	0.176	0.0155	0.19275	0.2875	0.09475	1.55	9.47
1700025G04Rik	5UTR	1700025G04Rik_5UTR_1	1	152006638	152006766	0.12675	0.12225	-0.00449999999999999	0.177	0.31375	0.13675	-0.45	13.67
1700025G04Rik	SpliceSite_Donor	1700025G04Rik_SpliceSite_Donor_5	1	152006717	152006816	0.23225	0.26875	0.0365	0.33925	0.4755	0.13625	3.65	13.62
1700025G04Rik	Intron	1700025G04Rik_Intron_5	1	152006817	152089880	0.4005	0.489	0.0885	0.37725	0.34375	-0.0335	8.85	-3.35
Add3	5UTR	Add3_5UTR_1	19	53140442	53140713	0	0	0	0	0	0	0	0
Add3	SpliceSite_Donor	Add3_SpliceSite_Donor_1	19	53140664	53140763	0	0	0	0	0	0	0	0
Add3	Intron	Add3_Intron_1	19	53140764	53216749	0.43925	0.56625	0.127	0.345	0.27525	-0.06975	12.7	-6.97
Add3	SpliceSite_Acceptor	Add3_SpliceSite_Acceptor_1	19	53216750	53216849	0.61375	0.74575	0.132	0.23225	0.092	-0.14025	13.2	-14.03
Add3	5UTR	Add3_5UTR_2	19	53216800	53216819	0.57225	0.689	0.11675	0.258	0.07125	-0.18675	11.68	-18.68
Add3	Exon	Add3_Exon_1	19	53216820	53217014	0.70025	0.763	0.0627499999999999	0.1795	0.15175	-0.02775	6.27	-2.77
Add3	SpliceSite_Donor	Add3_SpliceSite_Donor_2	19	53216965	53217064	0.74175	0.81425	0.0725000000000001	0.25825	0.1315	-0.12675	7.25	-12.68
Add3	Intron	Add3_Intron_2	19	53217065	53226539	0.6495	0.7435	0.0940000000000001	0.2565	0.17875	-0.07775	9.4	-7.78
Add3	SpliceSite_Acceptor	Add3_SpliceSite_Acceptor_2	19	53226540	53226639	0.4325	0.577	0.1445	0.38025	0.28525	-0.095	14.45	-9.5
Add3	Exon	Add3_Exon_2	19	53226590	53226728	0.555	0.65975	0.10475	0.30275	0.26175	-0.041	10.48	-4.1
Add3	SpliceSite_Donor	Add3_SpliceSite_Donor_3	19	53226679	53226778	0.47	0.615	0.145	0.32225	0.28075	-0.0415	14.5	-4.15
Add3	Intron	Add3_Intron_3	19	53226779	53231128	0.60725	0.65225	0.045	0.2255	0.1865	-0.039	4.5	-3.9
Add3	Exon	Add3_Exon_3	19	53231179	53231330	0.63025	0.69975	0.0695	0.26625	0.2015	-0.06475	6.95	-6.48
Add3	SpliceSite_Donor	Add3_SpliceSite_Donor_4	19	53231281	53231380	0.6875	0.74225	0.05475	0.27675	0.20525	-0.0715000000000001	5.47	-7.15
Add3	Intron	Add3_Intron_4	19	53231381	53232072	0.45675	0.573	0.11625	0.219	0.17075	-0.04825	11.62	-4.82
Add3	SpliceSite_Acceptor	Add3_SpliceSite_Acceptor_4	19	53232073	53232172	0.7395	0.80575	0.06625	0.17125	0.0865	-0.08475	6.63	-8.48
Add3	Exon	Add3_Exon_4	19	53232123	53232203	0.7975	0.78775	-0.00975000000000004	0.1605	0.13325	-0.02725	-0.98	-2.72
Add3	SpliceSite_Donor	Add3_SpliceSite_Donor_5	19	53232154	53232253	0.83775	0.77175	-0.0660000000000001	0.16225	0.16875	0.00650000000000001	-6.6	0.65
Add3	Intron	Add3_Intron_5	19	53232254	53232974	0.7745	0.836	0.0615	0.16425	0.1075	-0.05675	6.15	-5.68
Add3	SpliceSite_Acceptor	Add3_SpliceSite_Acceptor_5	19	53232975	53233074	0.84575	0.80125	-0.0445	0.13325	0.1225	-0.01075	-4.45	-1.07
Add3	Exon	Add3_Exon_5	19	53233025	53233174	0.81175	0.84775	0.036	0.1415	0.0795	-0.062	3.6	-6.2
Add3	SpliceSite_Donor	Add3_SpliceSite_Donor_6	19	53233125	53233224	0.71575	0.76475	0.049	0.142	0.0955	-0.0465	4.9	-4.65
Add3	Intron	Add3_Intron_6	19	53233225	53233521	0.75775	0.785	0.0272500000000001	0.162	0.1505	-0.0115	2.73	-1.15
Add3	Exon	Add3_Exon_6	19	53233572	53233715	0.88	0.89725	0.0172500000000001	0.0585	0.05375	-0.00475	1.73	-0.47
Add3	SpliceSite_Donor	Add3_SpliceSite_Donor_7	19	53233666	53233765	0.93475	0.85	-0.08475	0.0325	0.08125	0.04875	-8.47	4.88
Add3	SpliceSite_Acceptor	Add3_SpliceSite_Acceptor_7	19	53233774	53233873	0.801	0.86625	0.0652499999999999	0.118	0.07025	-0.04775	6.52	-4.77
Add3	Exon	Add3_Exon_7	19	53233824	53233922	0.79925	0.84425	0.045	0.11925	0.089	-0.03025	4.5	-3.03
Add3	Intron	Add3_Intron_8	19	53233973	53234727	0.86275	0.87925	0.0165000000000001	0.07725	0.0505	-0.02675	1.65	-2.68
Add3	SpliceSite_Acceptor	Add3_SpliceSite_Acceptor_8	19	53234728	53234827	0.81075	0.8425	0.0317499999999999	0.13925	0.1035	-0.03575	3.17	-3.58
Add3	Exon	Add3_Exon_8	19	53234778	53234960	0.8565	0.886	0.0295	0.10425	0.06725	-0.037	2.95	-3.7
