chr	start	end	mc_mod_difference	mc_qvalue	mc_significant	mc_direction	anchor_group	region_type	hmc_mod_difference	hmc_qvalue	hmc_significant	hmc_direction
chr1	3529624	3531624	-0.0232093556920724	0.475927269255353	FALSE	Hypomethylated	Background	Shore	0.0552151457855075	0.0428360406860612	TRUE	Hypermethylated
chr1	3531843	3533843	-0.0163861091744969	0.0837163183907723	FALSE	Hypomethylated	Background	Shore	0.0183840859147278	0.0220579846557707	TRUE	Hypermethylated
chr1	3668619	3670619	-0.0767452360867984	0.00198624049845679	TRUE	Hypomethylated	Background	Shore	-0.0296792906193377	0.340640538916458	FALSE	Hypomethylated
chr1	3672156	3673074	-0.0161183993977033	0.660767114354456	FALSE	Hypomethylated	Background	Shore	-0.0449415924018223	0.175100869074888	FALSE	Hypomethylated
chr1	3669654	3670619	-0.0779418921180637	0.0140465106649076	TRUE	Hypomethylated	Background	Shore	-0.0179667991232137	0.657865040068609	FALSE	Hypomethylated
chr1	3672156	3674156	1.39561448326275e-05	0.996358628894047	FALSE	Hypermethylated	Background	Shore	-0.016768529225398	0.686453103965448	FALSE	Hypomethylated
chr1	4489701	4491701	0.0130223327367321	0.588844285997473	FALSE	Hypermethylated	Background	Shore	0.0035278627116178	0.608802360114892	FALSE	Hypermethylated
chr1	4493673	4495673	-0.00311172168820737	0.714250734149389	FALSE	Hypomethylated	Background	Shore	0.00357148225487806	0.466480581508437	FALSE	Hypermethylated
chr1	4494947	4496947	0.00195198378736314	0.784680903012762	FALSE	Hypermethylated	Background	Shore	0.00169395593103436	0.781552661321462	FALSE	Hypermethylated
chr1	4497608	4499608	-0.00347252651078778	0.843879877552405	FALSE	Hypomethylated	Background	Shore	0.00194609578673562	0.855173884179368	FALSE	Hypermethylated
chr1	4569641	4571641	0.0358070738915913	0.155025205627802	FALSE	Hypermethylated	Background	Shore	-0.00628617816593588	0.880876863448514	FALSE	Hypomethylated
chr1	4572075	4574075	-0.0241491496327211	0.561454853070227	FALSE	Hypomethylated	Background	Shore	-0.00254195891680348	0.930758770645897	FALSE	Hypomethylated
chr1	4687184	4689184	-0.0188189321287018	0.245291816930918	FALSE	Hypomethylated	Background	Shore	0.00131087865970497	0.940468014037694	FALSE	Hypermethylated
chr1	4689397	4691397	-0.000282393495326771	0.992304648184689	FALSE	Hypomethylated	Background	Shore	0.000343120114015577	0.946205434483641	FALSE	Hypermethylated
chr1	4783376	4785376	0.0285891587254497	0.190931176325731	FALSE	Hypermethylated	Background	Shore	-0.0208394759010077	0.30604437157242	FALSE	Hypomethylated
chr1	4785814	4787814	-0.0152154668092832	0.454553428065202	FALSE	Hypomethylated	Background	Shore	-0.0286643516486911	0.0796303448665968	FALSE	Hypomethylated
chr1	4805559	4807559	0.00977404940566684	0.73727640949267	FALSE	Hypermethylated	Background	Shore	-0.0215174008117863	0.127590589038311	FALSE	Hypomethylated
chr1	4808103	4810103	0.0628539423061532	0.00077881875266334	TRUE	Hypermethylated	Background	Shore	-0.0156294659944344	0.406061083961129	FALSE	Hypomethylated
chr1	4855465	4857465	0.0348776706128268	0.126880027519231	FALSE	Hypermethylated	Background	Shore	-0.00615619501987687	0.827525875964249	FALSE	Hypomethylated
chr1	4858372	4860372	0.0285044385294777	0.0145166525214051	TRUE	Hypermethylated	Background	Shore	-0.0106337082191961	0.550508681818857	FALSE	Hypomethylated
