gene	chr	start	end	mc_ctrl	mc_mut	mc_diff	mc_q	mc_sig	hmc_ctrl	hmc_mut	hmc_diff	hmc_q	hmc_sig	ratio_ctrl	ratio_mut	delta_ratio	dmr_status	chromatin_state
Fndc10	chr4	155694341	155696480	0	0.030608755129959	0.030608755129959	0.415545286883785	FALSE	0.00833333333333333	0.0257751937984496	0.0174418604651163	0.697886048154283	FALSE	1	0.457137080469066	-0.542862919530934	Not DMR	Active_Promoter
H2ac4	chr13	23751125	23751597	0	0.00217391304347826	0.00217391304347826	0.88826203908612	FALSE	0.0205479452054795	0.00217391304347826	-0.0183740321620012	0.137825276573497	FALSE	1	0.5	-0.5	Not DMR	Other
Fam89b	chr19	5728086	5729652	0.00185185185185185	0.0113658803676576	0.00951402851580577	0.279399948353056	FALSE	0.0143005751824602	0.0107226234744007	-0.00357795170805952	0.54730942592602	FALSE	0.885351480126298	0.485439102216781	-0.399912377909517	Not DMR	Active_Promoter
H1f0	chr15	79028449	79030503	0.00155763239875389	0.00958713882073018	0.00802950642197629	0.0497029916691537	TRUE	0.00992598565303989	0.00965172277442891	-0.00027426287861098	0.945942482529246	FALSE	0.864360483627319	0.501678476488312	-0.362682007139007	mC DMR only	Active_Promoter
Naa38	chr11	69395486	69396679	0.00561560693954895	0.0107035544472168	0.00508794750766789	0.139850715376878	FALSE	0.0160149878333588	0.00675700390879063	-0.00925798392456816	0.00675764839733359	TRUE	0.740385921029666	0.386986702888904	-0.353399218140763	hmC DMR only	Active_Promoter
Ier3	chr17	35821683	35822922	0.0108671840446705	0.0124190511490939	0.0015518671044234	0.963260673169696	FALSE	0.0261768852277753	0.00756795717498425	-0.0186089280527911	0.00705973009252994	TRUE	0.70664173083291	0.37864381963894	-0.327997911193969	hmC DMR only	Active_Promoter
Rraga	chr4	86575667	86577284	0.00315196960082116	0.00450512038349884	0.00135315078267768	0.652856320716014	FALSE	0.00993883379534087	0.00372560370773715	-0.00621323008760372	0.0181710146457247	TRUE	0.759222600368037	0.45264592354689	-0.306576676821148	hmC DMR only	Active_Promoter
Cox6b2	chr7	4751791	4753093	0.0283368676624255	0.0171098819888686	-0.0112269856735569	0.417193957749265	FALSE	0.03288232220788	0.00526546731022378	-0.0276168548976562	0.0629194349911265	FALSE	0.537124425813901	0.235324474261386	-0.301799951552515	Not DMR	Repressed_Promoter
Spry2	chr14	105891946	105896818	0.038602717066449	0.208222369587767	0.169619652521318	5.86285019590042e-130	TRUE	0.047415634505049	0.0866210070983157	0.0392053725932666	2.02239858546094e-15	TRUE	0.551226960744969	0.293786511577434	-0.257440449167534	Both mC+hmC DMR	Active_Promoter
Tlx2	chr6	83068323	83070292	0.167176976249557	0.0587857744107744	-0.108391201838782	0.0337290486460793	TRUE	0.0545506912442396	0	-0.0545506912442396	0.124248176884884	FALSE	0.246025639744602	0	-0.246025639744602	mC DMR only	Repressed_Promoter
1700056E22Rik	chr1	184033029	184034300	0.0276622119299465	0.0492848299805264	0.0216226180505799	0.142834610120021	FALSE	0.0588665482115139	0.038483758051583	-0.0203827901599309	0.108250961799053	FALSE	0.680311934613147	0.438468464794079	-0.241843469819068	Not DMR	Active_Promoter
Cited4	chr4	120666571	120667819	0.0870879120879121	0.410786581839213	0.323698669751301	0.00398330682075422	TRUE	0.204945054945055	0.375072296124928	0.170127241179873	0.129208357161805	FALSE	0.701787394167451	0.477276908923643	-0.224510485243807	mC DMR only	Other
Alyref2	chr1	171503477	171504749	0.0189831102673219	0.0163048381936339	-0.00267827207368808	0.661635066364256	FALSE	0.0239628302984711	0.00832549619935765	-0.0156373340991135	0.012623688236285	TRUE	0.557976609262059	0.338017993037344	-0.219958616224715	hmC DMR only	Active_Promoter
Fam181b	chr7	93079864	93081866	0.150139147453719	0.213209040610649	0.06306989315693	0.015435228996648	TRUE	0.122337368904811	0.0657785536276861	-0.0565588152771245	0.0102148437058367	TRUE	0.448983165741289	0.235775908987166	-0.213207256754123	Both mC+hmC DMR	Active_Enhancer
Gm12184	chr11	48825345	48826654	0.568889443889444	0.630833333333333	0.0619438894438895	0.542098119367748	FALSE	0.275308025308025	0.08625	-0.189058025308025	0.0147509362840514	TRUE	0.326118041516691	0.120278907611854	-0.205839133904837	hmC DMR only	Other
Cldn3	chr5	134986213	134987471	0.141865079365079	0.16060915681409	0.018744077449011	0.963351459050765	FALSE	0.147652116402116	0.0704702476524108	-0.0771818687497056	0.318901328897042	FALSE	0.509994288977727	0.304961179102513	-0.205033109875214	Not DMR	Repressed_Promoter
Frat1	chr19	41829969	41832582	0.124011898601026	0.227338539667901	0.103326641066874	6.70399048520979e-15	TRUE	0.116670706449422	0.0971287411720951	-0.0195419652773269	0.0754465470564019	FALSE	0.484749225748854	0.299348337745007	-0.185400888003847	mC DMR only	Active_Promoter
Gpr22	chr12	31706866	31713946	0.168253910732023	0.333239096903998	0.164985186171975	3.73025937018494e-82	TRUE	0.196014320806027	0.183878941014384	-0.0121353797916432	0.109524801108413	FALSE	0.538104352329588	0.355584078549211	-0.182520273780377	mC DMR only	Active_Promoter
AL731706.2	chr2	136885499	136885678	0.231986215538847	0.380952380952381	0.148966165413534	0.113479822432386	FALSE	0.428414786967419	0.335119047619048	-0.093295739348371	0.37807532049079	FALSE	0.648719165085389	0.467996674979219	-0.18072249010617	Not DMR	Other
Zcchc3	chr2	152411954	152415026	0.128905677254118	0.32040481048756	0.191499133233443	1.75287291987183e-60	TRUE	0.115461964634451	0.13220800245291	0.0167460378184597	0.0907060884150735	FALSE	0.472492854381683	0.292099557663868	-0.180393296717816	mC DMR only	Active_Promoter
Prxl2b	chr4	154895503	154899134	0.274363024955668	0.489866318527646	0.215503293571978	7.67686689604922e-38	TRUE	0.320606285210587	0.275415924463353	-0.0451903607472336	0.00584355406901895	TRUE	0.538861887045902	0.359888037368969	-0.178973849676933	Both mC+hmC DMR	Active_Promoter
Syt1	chr10	108497649	109010981	0.588435147394397	0.76157342693294	0.173138279538543	4.8151057076211e-306	TRUE	0.266369660814793	0.116716357371678	-0.149653303443115	7.07674626726131e-306	TRUE	0.311614602838788	0.132890487237179	-0.178724115601608	Both mC+hmC DMR	Active_Promoter
Tmem238	chr7	4784556	4789655	0.494912418403518	0.697860437971464	0.202948019567946	8.63123542695535e-79	TRUE	0.310438022850832	0.185902361618229	-0.124535661232602	5.43895200827759e-38	TRUE	0.385469488744947	0.210353232456196	-0.175116256288751	Both mC+hmC DMR	Other
Ripply2	chr9	87015536	87019916	0.263555162825055	0.449845720797339	0.186290557972284	5.28390973011565e-40	TRUE	0.35627099683435	0.302171339932701	-0.0540996569016488	0.000129878558629887	TRUE	0.574791804576498	0.4018144743144	-0.172977330262098	Both mC+hmC DMR	Active_Promoter
Higd2a	chr13	54590206	54591157	0	0.00201612903225806	0.00201612903225806	0.859178624754627	FALSE	0.023680472143876	0.00987012987012987	-0.0138103422737461	0.278418865520874	FALSE	1	0.830381531412459	-0.169618468587541	Not DMR	Active_Promoter
Sap30	chr8	57482706	57487859	0.317516998001395	0.529470322710511	0.211953324709116	4.33556400243661e-51	TRUE	0.159813199937269	0.105364314723295	-0.0544488852139743	3.01956032218353e-08	TRUE	0.334806389009993	0.165971275841547	-0.168835113168445	Both mC+hmC DMR	Active_Promoter
Hoxa4	chr6	52189670	52191752	0.0260231415668093	0.0340640637473471	0.00804092218053777	0.422405930196684	FALSE	0.00949178955712908	0.00373152709359606	-0.00576026246353302	0.105242573051329	FALSE	0.267261944673497	0.0987291641847751	-0.168532780488722	Not DMR	Repressed_Promoter
Arf6	chr12	69372149	69373782	0.0431759774157672	0.0821862074596838	0.0390102300439166	0.0146498094996078	TRUE	0.0567668162476421	0.054825775643811	-0.00194104060383106	0.855106125548127	FALSE	0.567993090515593	0.400153142826911	-0.167839947688683	mC DMR only	Active_Promoter
Magea1	chrX	155088685	155089792	0.686818961818962	0.786863653142723	0.100044691323761	0.419189964601784	FALSE	0.189923852423852	0.0406683110171482	-0.149255541406704	0.0504079709085274	FALSE	0.216624361601272	0.0491440968790077	-0.167480264722265	Not DMR	Other
Plekhj1	chr10	80796098	80798625	0.0323712756225631	0.0707566675671942	0.0383853919446311	9.85560750107526e-07	TRUE	0.0671949355182047	0.0753182030172815	0.00812326749907681	0.540801786072309	FALSE	0.674876895970298	0.515613689855879	-0.159263206114419	mC DMR only	Active_Promoter
