gene	chr	start	end	mod_difference	dmr_qvalue	dmr_category	mecp2_nearest_fold	mecp2_nearest_fdr	mecp2_mean_fold	mecp2_n_peaks
Pld5	chr1	175962305	176275311	0.10550339702782	1.7288823880601e-305	Hypermethylated	-0.0131516310228979	0.957869818169209	0.220080886628992	25
Ldlrad3	chr2	101950202	102186384	0.091061600791114	1.7288823880601e-305	Hypermethylated	-0.00660849158581842	0.979948257894915	0.245573960285284	69
Ppm1l	chr3	69316860	69560801	0.084692248285958	1.7288823880601e-305	Hypermethylated	0.0673715330198358	0.766455021988583	0.107106880683331	44
Unc5c	chr3	141465215	141834923	0.107769081437307	1.7288823880601e-305	Hypermethylated	-0.00627093781138793	0.977585439986772	0.222387069228765	28
Maml3	chr3	51685906	52105075	0.0788284197159649	1.7288823880601e-305	Hypermethylated	-0.051761954993924	1	0.324814481023217	104
Ndst3	chr3	123526165	123690852	0.121821941384298	1.7288823880601e-305	Hypermethylated	-0.0338398950617634	0.867851127333733	1.04870015547613	37
Patj	chr4	98395784	98719602	0.120682891482291	1.7288823880601e-305	Hypermethylated	1.76229716203468	3.92581287600702e-06	0.932320093794432	25
Nfib	chr4	82290172	82705749	0.0716689623545693	1.7288823880601e-305	Hypermethylated	-0.0714851047670804	0.7528981866796	0.124086418415999	51
Caln1	chr5	130369454	130847411	0.103425623814467	1.7288823880601e-305	Hypermethylated	0.0167477333129991	0.935764453933887	0.36630868141067	36
Galnt7	chr8	57523827	57653031	0.165189019491331	1.7288823880601e-305	Hypermethylated	-0.0633037360234452	0.764294099960385	0.559356144307431	18
Cdh8	chr8	99024470	99416470	0.0875066627972159	1.7288823880601e-305	Hypermethylated	-0.0271563102858776	0.890402610720044	0.508490708046445	16
Mcu	chr10	59446983	59616691	0.146649914603345	1.7288823880601e-305	Hypermethylated	0.11586127679529	0.591025154541872	0.0982585092657566	31
Tmtc2	chr10	105187662	105574450	0.0931623052254122	1.7288823880601e-305	Hypermethylated	0.00364648546725074	0.988223395371966	0.235350740196057	37
Syt1	chr10	108497649	109010981	0.178584373930707	1.7288823880601e-305	Hypermethylated	-0.0270238717907686	0.851132586517471	0.103015823593182	69
Myt1l	chr12	29528383	29923212	0.0802093036689328	1.7288823880601e-305	Hypermethylated	0.293034300347374	0.269329808868135	0.28576607944634	74
Rps6ka5	chr12	100548438	100726982	0.120552612369526	1.7288823880601e-305	Hypermethylated	0.0031725663394504	0.985734414099003	-0.0336224816601621	15
Pde4d	chr13	108449947	109953460	0.0497414447717939	1.7288823880601e-305	Hypermethylated	-0.0904853311784104	0.666855630831663	0.298546063850862	152
Ncald	chr15	37366174	37792569	0.0916505893417776	1.7288823880601e-305	Hypermethylated	0.536624205182416	0.139479154388632	0.356879204172419	78
Lpp	chr16	24393506	24992577	0.0865650795333238	1.7288823880601e-305	Hypermethylated	0.0202704547940601	0.93256006763192	0.365637237286476	86
Lsamp	chr16	39984360	42181678	0.0384115997626636	1.7288823880601e-305	Hypermethylated	0.10969418445904	0.523616210572065	0.535501666636774	187
