gene	chr	start	end	chromatin_state	ratio_ctrl_bap1	ratio_mut_bap1	delta_ratio_bap1	relative_delta_bap1	ratio_wt_tet	ratio_ko_tet	delta_ratio_tet	relative_delta_tet
Fndc10	chr4	155694341	155696480	Active_Promoter	1	0.457137080469066	-0.542862919530934	-0.542862919530934	0	0	0	0
Fam89b	chr19	5728086	5729652	Active_Promoter	0.885351480126298	0.485439102216781	-0.399912377909517	-0.451698999647539	0	0	0	0
H1f0	chr15	79028449	79030503	Active_Promoter	0.864360483627319	0.501678476488312	-0.362682007139007	-0.419595775152746	0	0	0	0
Naa38	chr11	69395486	69396679	Active_Promoter	0.740385921029666	0.386986702888904	-0.353399218140763	-0.477317582767221	0	0	0	0
Ier3	chr17	35821683	35822922	Active_Promoter	0.70664173083291	0.37864381963894	-0.327997911193969	-0.464164366301098	0	0	0	0
Rraga	chr4	86575667	86577284	Active_Promoter	0.759222600368037	0.45264592354689	-0.306576676821148	-0.403803412428099	0	0	0	0
Cox6b2	chr7	4751791	4753093	Repressed_Promoter	0.537124425813901	0.235324474261386	-0.301799951552515	-0.561880892113963	0	0	0	0
Spry2	chr14	105891946	105896818	Active_Promoter	0.551226960744969	0.293786511577434	-0.257440449167534	-0.467031672071355	0.32443	0	-0.32443	-1
Tlx2	chr6	83068323	83070292	Repressed_Promoter	0.246025639744602	0	-0.246025639744602	-1	0	0	0	0
1700056E22Rik	chr1	184033029	184034300	Active_Promoter	0.680311934613147	0.438468464794079	-0.241843469819068	-0.355489088922995	0	0	0	0
Cited4	chr4	120666571	120667819	Unmarked	0.701787394167451	0.477276908923643	-0.224510485243807	-0.31991239385277	0	0	0	0
Alyref2	chr1	171503477	171504749	Active_Promoter	0.557976609262059	0.338017993037344	-0.219958616224715	-0.394207593245919	0	0	0	0
Fam181b	chr7	93079864	93081866	Active_Enhancer	0.448983165741289	0.235775908987166	-0.213207256754123	-0.474866928255783	0	0	0	0
Gm12184	chr11	48825345	48826654	Unmarked	0.326118041516691	0.120278907611854	-0.205839133904837	-0.631179841960084	0	0	0	0
Cldn3	chr5	134986213	134987471	Repressed_Promoter	0.509994288977727	0.304961179102513	-0.205033109875214	-0.402030207605263	0.605726	0	-0.605726	-1
Frat1	chr19	41829969	41832582	Active_Promoter	0.484749225748854	0.299348337745007	-0.185400888003847	-0.382467631005361	0	0	0	0
Gpr22	chr12	31706866	31713946	Active_Promoter	0.538104352329588	0.355584078549211	-0.182520273780377	-0.339191223765802	0	0	0	0
Zcchc3	chr2	152411954	152415026	Active_Promoter	0.472492854381683	0.292099557663868	-0.180393296717816	-0.381790528777168	0	0	0	0
Prxl2b	chr4	154895503	154899134	Active_Promoter	0.538861887045902	0.359888037368969	-0.178973849676933	-0.332133064110521	0.345857	0	-0.345857	-1
Syt1	chr10	108497649	109010981	Active_Promoter	0.311614602838788	0.132890487237179	-0.178724115601608	-0.573542170275216	0.395177	0	-0.395177	-1
Tmem238	chr7	4784556	4789655	Unmarked	0.385469488744947	0.210353232456196	-0.175116256288751	-0.454293430224305	0.362636	0	-0.362636	-1
Ripply2	chr9	87015536	87019916	Active_Promoter	0.574791804576498	0.4018144743144	-0.172977330262098	-0.300939103315063	0.314943	0	-0.314943	-1
Higd2a	chr13	54590206	54591157	Active_Promoter	1	0.830381531412459	-0.169618468587541	-0.169618468587541	0	0	0	0
Sap30	chr8	57482706	57487859	Active_Promoter	0.334806389009993	0.165971275841547	-0.168835113168445	-0.504276855849981	0	0	0	0
Hoxa4	chr6	52189670	52191752	Repressed_Promoter	0.267261944673497	0.0987291641847751	-0.168532780488722	-0.630590264897652	0	0	0	0
Arf6	chr12	69372149	69373782	Active_Promoter	0.567993090515593	0.400153142826911	-0.167839947688683	-0.295496460240964	0	0	0	0
Magea1	chrX	155088685	155089792	Unmarked	0.216624361601272	0.0491440968790077	-0.167480264722265	-0.773136795345928	0	0	0	0
Plekhj1	chr10	80796098	80798625	Active_Promoter	0.674876895970298	0.515613689855879	-0.159263206114419	-0.2359885292642	0	0	0	0
Bhlhe40	chr6	108660628	108666924	Active_Promoter	0.469845933603667	0.31559130832556	-0.154254625278107	-0.328308950329719	0.410298	0	-0.410298	-1
Mrpl53	chr6	83109039	83109938	Active_Promoter	0.553962895523435	0.400318746567903	-0.153644148955532	-0.277354584931821	0	0	0	0
A330070K13Rik	chr5	130378777	130384630	Unmarked	0.523020791745615	0.369761479720891	-0.153259312024724	-0.293027188294391	0.37955	0	-0.37955	-1
H2-Ke6	chr17	34026032	34028059	Unmarked	0.43625736811407	0.283419180518694	-0.152838187595376	-0.350339498576475	0	0	0	0
C030006K11Rik	chr15	76721464	76723844	Active_Promoter	0.588693207386836	0.436547050561887	-0.152146156824949	-0.25844727765811	0	0	0	0
Ly6g6e	chr17	35076901	35078803	Unmarked	0.415090651296184	0.265096651064114	-0.14999400023207	-0.361352393178914	0.375569	0	-0.375569	-1
Gclm	chr3	122245556	122270731	Active_Promoter	0.310750246720563	0.165843415782529	-0.144906830938034	-0.466312842764495	0.299864	0	-0.299864	-1
Cldn5	chr16	18776846	18778261	Repressed_Promoter	0.393345516405096	0.250352689560682	-0.142992826844414	-0.363529825257114	0	0	0	0
Zic5	chr14	122456794	122465676	Active_Promoter	0.423234027840887	0.280858287015015	-0.142375740825872	-0.33639956019651	0.331214	0	-0.331214	-1
Tnfsf13	chr11	69682845	69685783	Unmarked	0.512415420869086	0.371260596799041	-0.141154824070045	-0.275469508373964	0.394043	0	-0.394043	-1
Rpp25l	chr4	41712032	41713533	Active_Promoter	0.607224684021506	0.467256905265168	-0.139967778756338	-0.230504099124173	0.638296	0	-0.638296	-1
2310033P09Rik	chr11	59208320	59210737	Unmarked	0.500479792522152	0.363560240320291	-0.136919552201861	-0.273576584404855	0	0	0	0
Abtb1	chr6	88835913	88841983	Active_Promoter	0.467328599867968	0.331868980162412	-0.135459619705556	-0.289859468784548	0.472837	0	-0.472837	-1
Bhlha9	chr11	76672469	76673675	Unmarked	0.596909569729612	0.461921771192524	-0.134987798537088	-0.226144470423275	0.538921	0	-0.538921	-1
Lrrc26	chr2	25289914	25291179	Unmarked	0.488867632021638	0.354107648725212	-0.134759983296426	-0.275657405950863	0	0	0	0
Ubc	chr5	125385964	125390201	Unmarked	0.69769843564782	0.564129454324523	-0.133568981323298	-0.191442282938872	0	0	0	0
Cnfn	chr7	25367619	25369723	Unmarked	0.445050333938214	0.31148612232325	-0.133564211614964	-0.300110350290191	0.464613	0	-0.464613	-1
AY074887	chr9	54950229	54950997	Unmarked	0.425700510416701	0.29273300888467	-0.132967501532031	-0.312349875742161	0	0	0	0
Galnt7	chr8	57523827	57653031	Active_Promoter	0.449502466427774	0.316705871554641	-0.132796594873134	-0.295430180680603	0.403952	0	-0.403952	-1
Gm1673	chr5	33983432	33985012	Active_Promoter	0.491731575709155	0.359100729035223	-0.132630846673931	-0.2697220459814	0	0	0	0
Mt2	chr8	94172663	94173567	Repressed_Promoter	0.483666751448304	0.351242835282375	-0.132423916165929	-0.273791646354428	0	0	0	0
Atoh7	chr10	63099650	63101278	Unmarked	0.558201799863244	0.428838096820849	-0.129363703042395	-0.231750780943537	0	0	0	0
Tmem256	chr11	69838513	69839617	Active_Promoter	0.496912114014252	0.367649907188803	-0.129262206825448	-0.260130922913545	0	0	0	0
