chr	start	end	mecp2_class	peak_group	cg_class	Fold	FDR	residual	ecker_ch	ecker_cg	SYMBOL
chr12	39319033	39319433	MeCP2 Up	Non-CG Candidate	CG Unchanged	4.92069178566913	2.07349782004717e-31	4.87561021471631	0.0132220831892437	0	Etv1
chr16	49982211	49982611	MeCP2 Up	CG-Concordant	CG Increase	3.76615339458274	6.16821063182354e-29	3.62757129028327	0.00873683634541576	0.0161412874064838	Cd47
chr12	39336007	39336407	MeCP2 Up	Non-CG Candidate	CG Decrease	4.75919607422771	3.88952377146038e-28	4.71557597363848	0.0113053738030412	0.00981798433603491	Etv1
chr16	24151814	24152214	MeCP2 Up	CG-Concordant	CG Increase	3.81453331293767	5.80086954462892e-27	3.76654308535097	0.0118030919101173	0.032377552213217	Gm46545
chr10	116363727	116364127	MeCP2 Up	CG-Concordant	CG Increase	3.45798075571387	5.80086954462892e-27	3.39713515016128	0.00952186489343049	0.0663855497973816	Kcnmb4os1
chr10	42122084	42122484	MeCP2 Up	CG-Concordant	CG Increase	3.91034725442099	1.37578666993947e-26	3.81338234286771	0.0107728097206934	0.0170581846165835	Armc2
chr6	24103485	24103885	MeCP2 Up	CG-Concordant	CG Increase	4.66992288027564	2.06805321330482e-26	4.60337329885671	0.0105764526976017	0.038423229036783	Slc13a1
chr12	39344241	39344641	MeCP2 Up	CG-Concordant	CG Increase	4.70225051566289	2.30970271657051e-26	4.52033199637277	0.00591004102901925	0.00614034980907107	Etv1
chr4	81575734	81576134	MeCP2 Up	CG-Concordant	CG Increase	3.97920585151414	6.57386170492294e-26	3.92568466461958	0.0188799736803012	0.0234289763871571	Mpdz
chr10	16987953	16988353	MeCP2 Up	CG-Concordant	CG Increase	4.35069192579877	1.40342683875062e-25	4.28923036664346	0.00830477669352011	0.0328317390118454	Gm20125
chr4	75465268	75465668	MeCP2 Up	Non-CG Candidate	CG Unchanged	4.19488682671919	1.4182783520946e-24	4.14980525576638	0.0143990932854631	0	Dmac1
chr16	41743589	41743989	MeCP2 Up	CG-Concordant	CG Increase	4.64839701264745	1.47924261442043e-24	4.50624211576786	0.0115849026420764	0.00366150054551122	Lsamp
chr10	50197966	50198366	MeCP2 Up	CG-Concordant	CG Increase	3.2147192422095	2.04453169616788e-24	2.98804246364872	0.0158660489127523	0.0119087048004988	Ascc3
chr4	98631905	98632305	MeCP2 Up	CG-Concordant	CG Increase	4.06219757852623	4.73904207555413e-24	3.84900529194273	0.00873896724862648	0.00248645963216958	Patj
chr14	122377787	122378187	MeCP2 Up	CG-Concordant	CG Increase	4.00021958616001	5.80014112493937e-24	3.66720519705236	0.0148222202672031	0.0121621300752026	Gm5089
chr13	76309753	76310153	MeCP2 Up	CG-Concordant	CG Increase	4.62965764037404	1.17299364845565e-23	4.55113842812236	0.0102520131708083	0.00476104660224439	Fam81b
chr12	89706119	89706519	MeCP2 Up	CG-Concordant	CG Increase	4.88955469758802	2.64954215958211e-23	4.74133211261179	0.0086018093803577	0.00768708112531172	Nrxn3
chr11	6949464	6949864	MeCP2 Up	CG-Concordant	CG Increase	3.63901825057154	3.99610533542423e-23	3.5458558607499	0.0107544306805009	0.0198161822007481	Adcy1
chr4	64634375	64634775	MeCP2 Up	Non-CG Candidate	CG Decrease	3.84299412728517	4.04618140014188e-23	3.8038735239695	0.0111926166791274	0.0187349010286783	Gm11217
chr7	92265987	92266387	MeCP2 Up	CG-Concordant	CG Increase	3.75701894854293	1.77528273891805e-22	3.52539494834155	0.0096047418075904	0.00428966037055798	Dlg2
chr4	25998215	25998615	MeCP2 Up	CG-Concordant	CG Increase	4.30796772001852	1.78164586837983e-22	4.13612271925235	0.0155169898435065	0.0075129558915212	Fut9
chr18	39044631	39045031	MeCP2 Up	CG-Concordant	CG Increase	3.93585894530977	2.01100038979942e-22	3.78029912725049	0.00626406586378293	0.0110977439214464	Arhgap26
chr2	143219883	143220283	MeCP2 Up	CG-Concordant	CG Increase	3.78062509593826	2.08614170452549e-22	3.71650186899831	0.0159294337703106	0.0144402178148379	Otor
chr8	57960820	57961220	MeCP2 Up	CG-Concordant	CG Increase	3.80051373145205	3.55287546785084e-22	3.7225527350049	0.00816290990967406	0.0138533061876559	Galntl6
chr15	39815647	39816047	MeCP2 Up	CG-Concordant	CG Increase	3.52092644576387	6.89614596124035e-22	3.37117225315577	0.0140874296649733	0.00750564993765586	Gm16291
chr19	21145914	21146314	MeCP2 Up	CG-Concordant	CG Increase	3.70102418532565	6.89614596124035e-22	3.54339789809561	0.0159205391519979	0.00957749668796758	4930554I06Rik
chr16	37455550	37455950	MeCP2 Up	CG-Concordant	CG Increase	4.13700220490092	6.96539225106304e-22	4.03724010142751	0.0163525797779721	0.00683411101153367	Stxbp5l
chr1	137839458	137839858	MeCP2 Up	CG-Concordant	CG Increase	3.62577348693205	8.12798121257848e-22	3.55832021471753	0.0204437997870314	0.0181224185629676	Mir181a-1
chr16	79714175	79714575	MeCP2 Up	CG-Concordant	CG Increase	3.66210370076425	9.63060952674866e-22	3.60310816738458	0.0156899259572017	0.00924081398067332	1700066C05Rik
chr3	123982056	123982456	MeCP2 Up	CG-Concordant	CG Increase	4.08478179138197	1.13711424738506e-21	4.00919571672676	0.011855460759113	0.00476957021508728	Ndst3
chr9	92047433	92047833	MeCP2 Up	Non-CG Candidate	CG Decrease	4.14992787462306	1.88206963317756e-21	4.11610829234314	0.0153674365873646	0.00481584125623441	Plscr5
chr7	132675506	132675906	MeCP2 Up	CG-Concordant	CG Increase	3.66573341382752	1.88206963317756e-21	3.61513206348899	0.014721030903576	0.0192134410068579	Lhpp
chr1	48917549	48917949	MeCP2 Up	CG-Concordant	CG Increase	3.61103213126963	2.96837041589237e-21	3.54059485078557	0.0111753696812656	0.00485724166147132	C230029F24Rik
chr5	117059109	117059509	MeCP2 Up	CG-Concordant	CG Increase	3.80630274541076	2.96837041589237e-21	3.68611689719353	0.0105384674452784	0.0161765995168329	Suds3
chr16	67848067	67848467	MeCP2 Up	CG-Concordant	CG Increase	3.81528724646053	4.94494844503924e-21	3.71662967526642	0.00864877486764047	0.0112219451371571	Cadm2
chr17	50408462	50408862	MeCP2 Up	CG-Concordant	CG Increase	3.53966475447824	5.31341321131158e-21	3.40573009078936	0.00850938145359258	0.0241775702954528	Plcl2
chr13	108163142	108163542	MeCP2 Up	CG-Concordant	CG Increase	3.69855119737642	1.31243965393824e-20	3.35488113453052	0.00463599873302583	0.00154148016189994	Ercc8
chr3	137375443	137375843	MeCP2 Up	CG-Concordant	CG Increase	3.25887670920828	1.32095870031758e-20	3.21276619523056	0.0120292815781591	0.00432634234725686	Emcn
chr16	37446575	37446975	MeCP2 Up	Non-CG Candidate	CG Unchanged	4.74867796074879	1.33710851268114e-20	4.70359638979598	0.0185432529211639	0	Stxbp5l
chr3	137416722	137417122	MeCP2 Up	CG-Concordant	CG Increase	3.94917719748029	1.4541817716487e-20	3.89819000200707	0.0220486267546466	0.0136743103179551	Emcn
chr16	51934876	51935276	MeCP2 Up	CG-Concordant	CG Increase	4.82769729273971	1.4541817716487e-20	4.77284832357106	0.0115853782901146	0.00377474283042394	Gm29686
chr18	39347165	39347565	MeCP2 Up	CG-Concordant	CG Increase	3.8063936176509	1.75198753179078e-20	3.66424459382013	0.00950612094336912	0.0273011319357855	Arhgap26
chr13	20463511	20463911	MeCP2 Up	CG-Concordant	CG Increase	3.64458197299965	2.00596698099758e-20	3.59863805167717	0.0151827424541673	0.0118965282107232	Elmo1
chr11	42757628	42758028	MeCP2 Up	Non-CG Candidate	CG Unchanged	4.36626595662137	2.1014303204023e-20	4.32118438566856	0.0105233894024704	0	Gabrb2
chr10	16992180	16992580	MeCP2 Up	Non-CG Candidate	CG Unchanged	4.52593704523329	2.20445113332606e-20	4.48085547428048	0.00621163042406192	0	Gm20125
chr12	118113757	118114157	MeCP2 Up	CG-Concordant	CG Increase	3.31981972541679	2.65764563144543e-20	3.04757745839482	0.0146374310043982	0.0162125204566708	Dnah11
chr18	38883426	38883826	MeCP2 Up	CG-Concordant	CG Increase	3.72668781203626	2.91562626928753e-20	3.64983252477432	0.0168487377594831	0.00417778795199501	Gm5820
chr12	39328485	39328885	MeCP2 Up	Non-CG Candidate	CG Unchanged	4.28373354461525	3.00128678208926e-20	4.23865197366244	0.0144611938933185	0	Etv1
chr14	105696289	105696689	MeCP2 Up	Non-CG Candidate	CG Unchanged	3.65752881482428	4.16091352351555e-20	3.61244724387147	0.00850119079437636	0	Mir6390
