gene	chromatin_state	mc_diff	hmc_diff	delta_ratio	mc_sig	hmc_sig	atac_fold	atac_fdr	atac_concordant	k27ac_fold	k27ac_fdr	k27ac_concordant	k27me3_fold	k27me3_fdr	k27me3_concordant	k119ub_fold	k119ub_fdr	k119ub_concordant	n_concordant	dmr_group
Fndc10	Active_Promoter	0.030608755129959	0.0174418604651163	-0.542862919530934	FALSE	FALSE	0.0843330413617435	0.650361736074786	FALSE	-1.35255550502648	9.62807704017339e-11	TRUE	NA	NA	FALSE	0.553295238636203	0.00382242104880932	TRUE	2	Non-DMR
H2ac4	Other	0.00217391304347826	-0.0183740321620012	-0.5	FALSE	FALSE	0.000877281233360944	0.997379441145547	FALSE	NA	NA	FALSE	NA	NA	FALSE	1.3122210278361	7.05167561360527e-18	TRUE	1	Non-DMR
Fam89b	Active_Promoter	0.00951402851580577	-0.00357795170805952	-0.399912377909517	FALSE	FALSE	0.194561439852059	0.3115105438565	FALSE	-0.0745157126447347	0.663155318829077	FALSE	NA	NA	FALSE	NA	NA	FALSE	0	Non-DMR
H1f0	Active_Promoter	0.00802950642197629	-0.00027426287861098	-0.362682007139007	TRUE	FALSE	-0.0169787512958319	0.936350200396265	FALSE	-0.367668519151871	0.00827707837389363	TRUE	NA	NA	FALSE	NA	NA	FALSE	1	mC Hyper
Naa38	Active_Promoter	0.00508794750766789	-0.00925798392456816	-0.353399218140763	FALSE	TRUE	0.0215821394717701	0.922811126030498	FALSE	NA	NA	FALSE	NA	NA	FALSE	NA	NA	FALSE	0	Non-DMR
Ier3	Active_Promoter	0.0015518671044234	-0.0186089280527911	-0.327997911193969	FALSE	TRUE	-0.0440460211592452	0.846565353644422	FALSE	NA	NA	FALSE	NA	NA	FALSE	0.227471548104636	0.141682701310013	FALSE	0	Non-DMR
Rraga	Active_Promoter	0.00135315078267768	-0.00621323008760372	-0.306576676821148	FALSE	TRUE	0.038455969257987	0.832505057439975	FALSE	0.0557322635298302	0.702870584602581	FALSE	NA	NA	FALSE	0.469831747921983	0.00782474769044	TRUE	1	Non-DMR
Cox6b2	Repressed_Promoter	-0.0112269856735569	-0.0276168548976562	-0.301799951552515	FALSE	FALSE	0.134585524025501	0.516866701372776	FALSE	NA	NA	FALSE	0.829615304509704	0.00286025254102793	TRUE	-0.290731118033164	0.147733266955266	FALSE	1	Non-DMR
Spry2	Active_Promoter	0.169619652521318	0.0392053725932666	-0.257440449167534	TRUE	TRUE	0.0412890436526127	0.831141712335974	FALSE	-0.693347122354466	1.54782857211005e-05	TRUE	1.98744417092436	3.14009450165692e-19	TRUE	0.47815220605272	1.50143285089461e-09	TRUE	3	mC Hyper
Tlx2	Repressed_Promoter	-0.108391201838782	-0.0545506912442396	-0.246025639744602	TRUE	FALSE	NA	NA	FALSE	NA	NA	FALSE	-0.0362588837790466	0.879111620363276	FALSE	-0.498590412256365	0.00155076153987324	FALSE	0	mC Hypo
1700056E22Rik	Active_Promoter	0.0216226180505799	-0.0203827901599309	-0.241843469819068	FALSE	FALSE	0.0709907170233782	0.682248156098493	FALSE	-0.0399114913154849	0.799781756923387	FALSE	-0.312888635212952	0.0906960416911273	FALSE	0.502689837050593	1.11193134214192e-07	TRUE	1	Non-DMR
Cited4	Other	0.323698669751301	0.170127241179873	-0.224510485243807	TRUE	FALSE	-0.294326893041009	0.0674517698575897	FALSE	-0.667638905020373	9.64332133912166e-05	TRUE	NA	NA	FALSE	-0.0404070605275357	0.854740790418426	FALSE	1	mC Hyper
Alyref2	Active_Promoter	-0.00267827207368808	-0.0156373340991135	-0.219958616224715	FALSE	TRUE	0.0717477985714842	0.697804768152895	FALSE	-0.0847789258249379	0.667650410622202	FALSE	NA	NA	FALSE	NA	NA	FALSE	0	Non-DMR
Fam181b	Active_Enhancer	0.06306989315693	-0.0565588152771245	-0.213207256754123	TRUE	TRUE	NA	NA	FALSE	NA	NA	FALSE	NA	NA	FALSE	NA	NA	FALSE	0	mC Hyper
Gm12184	Other	0.0619438894438895	-0.189058025308025	-0.205839133904837	FALSE	TRUE	NA	NA	FALSE	NA	NA	FALSE	NA	NA	FALSE	NA	NA	FALSE	0	Non-DMR
