anchor_id	anchor_chr	anchor_start	anchor_end	entrez_id	symbol	loop_direction	loop_distance	anchor_type
loop_8162_A1	chr14	105660000	105670000	102465207	Mir6390	down_in_mutant	230000	Active_Enhancer
loop_1329_A1	chr9	60590000	60600000	100504561	9230112J17Rik	down_in_mutant	90000	Active_Enhancer
loop_1329_A1	chr9	60590000	60600000	102747	Lrrc49	down_in_mutant	90000	Active_Enhancer
loop_122_A1	chr9	66735000	66740000	76459	Car12	down_in_mutant	55000	Poised_Enhancer
loop_122_A1	chr9	66735000	66740000	208117	Aph1b	down_in_mutant	55000	Poised_Enhancer
loop_139_A1	chr9	59720000	59725000	546134	Gramd2a	down_in_mutant	265000	Poised_Enhancer
loop_139_A1	chr9	59720000	59725000	71599	Senp8	down_in_mutant	265000	Poised_Enhancer
loop_9622_A1	chr11	71750000	71760000	216881	Wscd1	down_in_mutant	180000	Active_Promoter
loop_251_A1	chr13	21775000	21780000	319187	H2bc15	down_in_mutant	265000	Active_Promoter
loop_251_A1	chr13	21775000	21780000	56702	H1f5	down_in_mutant	265000	Active_Promoter
loop_10275_A1	chr13	38990000	39000000	108652	Slc35b3	down_in_mutant	1760000	Other
loop_10883_A1	chr15	53340000	53350000	14042	Ext1	down_in_mutant	420000	Active_Promoter
loop_323_A1	chr15	81520000	81525000	56438	Rbx1	up_in_mutant	60000	Active_Enhancer
loop_323_A1	chr15	81520000	81525000	328572	Ep300	up_in_mutant	60000	Active_Enhancer
loop_467_A1	chr16	42900000	42925000	56490	Zbtb20	down_in_mutant	6e+05	Active_Promoter
loop_467_A1	chr16	42900000	42925000	100503040	Gm19522	down_in_mutant	6e+05	Active_Promoter
loop_413_A1	chr17	48415000	48420000	106821	Oard1	down_in_mutant	50000	Poised_Enhancer
loop_413_A1	chr17	48415000	48420000	11811	Apobec2	down_in_mutant	50000	Poised_Enhancer
loop_467_A1	chr1	91345000	91350000	227357	Espnl	up_in_mutant	135000	Repressed_Promoter
loop_467_A1	chr1	91345000	91350000	70788	Klhl30	up_in_mutant	135000	Repressed_Promoter
