human_gene	mouse_gene	field_direction	gb_mc_diff	gb_mc_q	gb_hmc_diff	gb_hmc_q	log2FoldChange	padj	expr_concordance
FDFT1	Fdft1	Hypermethylated	0.0108742735418018	0.0146453826535198	-0.0100593061119659	0.0030059956371968	-0.141237389120344	0.512660535025657	Non-significant
RNF122	Rnf122	Hypermethylated	0.127378352321639	2.63299019392094e-122	-0.014688080630282	0.00352277852821678	-0.77131059069262	1.27783682014989e-06	Concordant
ZDHHC2	Zdhhc2	Hypermethylated	0.010709580057672	0.000414187330320391	-0.038030195924688	2.55978358721706e-76	-0.580326657543007	0.000402151755995879	Concordant
ASAP1	Asap1	Hypomethylated	-0.0167834446712587	1.16991037041573e-40	0.0152239438142839	1.58737900061823e-54	-0.00315652523517569	0.991626011844442	Non-significant
BAI1	Adgrb1	Hypomethylated	-0.0367360153622984	6.57334187382497e-23	0.0453318902930888	5.63737879649771e-55	0.644729818082322	4.3781314599474e-08	Concordant
BHLHE22	Bhlhe22	Hypomethylated	-0.0394512450465248	2.70523591519667e-05	-0.0137030045854726	0.0129082333971006	0.0817239017093315	0.755234556391487	Non-significant
CA13	Car13	Hypomethylated	-0.0145103680017137	0.0228612014423059	0.00200267028560332	0.545604893625492	-0.203452734517881	0.752614814222386	Non-significant
DENND3	Dennd3	Hypomethylated	-0.0174628103435808	6.95171176661904e-10	0.00468904927193886	0.0433722309121257	-0.128159601538682	0.829073137961714	Non-significant
EBF2	Ebf2	Hypomethylated	-0.0153465893548035	1.89061951638112e-23	0.00449145635399217	3.25563723267209e-06	0.0926500642548897	0.848026406669044	Non-significant
GEM	Gem	Hypomethylated	-0.018383103056192	0.011324078894499	-0.000651384358161922	0.895451320990424	NA	NA	Non-significant
GFRA2	Gfra2	Hypomethylated	-0.0181633541356993	1.009321405689e-09	0.0256214263983674	1.05358212377984e-26	0.241512293058316	0.384720358647138	Non-significant
IDO1	Ido1	Hypomethylated	-0.0177120157238674	0.00468061586595974	0.0162087095414232	8.92281566437624e-07	NA	NA	Non-significant
KHDRBS3	Khdrbs3	Hypomethylated	-0.0157523476664069	9.11787528716737e-18	0.0332095591024712	1.57556531983824e-139	1.92364923680074	9.37028604608279e-44	Concordant
MMP16	Mmp16	Hypomethylated	-0.00921691658053036	1.09560949752478e-05	0.00695872890229729	0.000132086567630293	0.0183249474668242	0.977331659362847	Non-significant
OSR2	Osr2	Hypomethylated	-0.0271257364034406	9.48352843203246e-12	-0.00433941710686285	0.0165557206785341	NA	NA	Non-significant
PTP4A3	Ptp4a3	Hypomethylated	-0.0275515719246234	1.845056631136e-08	0.0324885240408488	1.51561684776764e-16	0.536694819936134	0.000802150504230702	Concordant
SLA	Sla	Hypomethylated	-0.0102220930596356	0.0303650905988222	0.0164299658175979	6.15936192180705e-07	NA	NA	Non-significant
ST3GAL1	St3gal1	Hypomethylated	-0.0180811659757616	1.09155081290667e-10	0.0102389962349245	2.59553061945744e-09	-0.00350799542210245	0.998068023026077	Non-significant
TNFRSF10C	Tnfrsf22	Hypomethylated	-0.0295880764651389	7.12145241050453e-05	0.00893846914386449	0.0457720540369848	NA	NA	Non-significant
XKR4	Xkr4	Hypomethylated	-0.0335951016190874	1.42275159167712e-119	0.0326823818760755	3.83731814998069e-176	0.573696911286475	0.00522588950563854	Concordant
ZFPM2	Zfpm2	Hypomethylated	-0.0194654273470616	6.41824393231449e-43	0.00673238089239458	8.16088237352788e-08	0.0780067795296006	0.875200351343063	Non-significant
