gene	chr	start	end	mod_difference	dmr_qvalue	direction	n_atac_up	n_atac_down	net_atac
1700025G04Rik	chr1	151852402	152090124	0.0628224610672886	4.8151057076211e-306	Hypermethylated	1	2	-1
Add3	chr19	53140442	53247398	0.0967114447336624	4.8151057076211e-306	Hypermethylated	0	0	0
Afap1l2	chr19	56912360	57008227	0.114974707384786	4.8151057076211e-306	Hypermethylated	1	3	-2
Aig1	chr10	13647053	13868979	0.0808819806409217	4.8151057076211e-306	Hypermethylated	1	0	1
Ank3	chr10	69398772	70027437	0.039501450365357	4.8151057076211e-306	Hypermethylated	0	5	-5
Arhgap26	chr18	38676717	39110533	0.0846430903164772	4.8151057076211e-306	Hypermethylated	0	0	0
Bmp5	chr9	75775363	75900309	0.0963061392566568	4.8151057076211e-306	Hypermethylated	0	5	-5
Boc	chr16	44485048	44558896	0.128611993779712	4.8151057076211e-306	Hypermethylated	0	3	-3
Cadm2	chr16	66655420	67620907	0.0543882332185507	4.8151057076211e-306	Hypermethylated	0	2	-2
Caln1	chr5	130369454	130847411	0.1067487923351	4.8151057076211e-306	Hypermethylated	0	1	-1
Car10	chr11	93098027	93601748	0.0668918157778959	4.8151057076211e-306	Hypermethylated	0	2	-2
Cdh8	chr8	99024470	99416470	0.0851710967214157	4.8151057076211e-306	Hypermethylated	0	3	-3
Cdk17	chr10	93160874	93267070	0.0916117110032357	4.8151057076211e-306	Hypermethylated	0	0	0
Cdyl2	chr8	116574399	116732990	0.0767283679723849	4.8151057076211e-306	Hypermethylated	1	0	1
Cog5	chr12	31654868	31937629	0.0707680919978579	4.8151057076211e-306	Hypermethylated	0	0	0
Csmd2	chr4	127987856	128567655	-0.0545640392960414	4.8151057076211e-306	Hypomethylated	3	0	3
Dclk2	chr3	86786150	86920851	0.0974036510345218	4.8151057076211e-306	Hypermethylated	0	0	0
Dlg1	chr16	31663442	31875128	0.0868102743975991	4.8151057076211e-306	Hypermethylated	0	1	-1
Dlgap1	chr17	69969072	70821412	0.0574751699920202	4.8151057076211e-306	Hypermethylated	1	0	1
E2f3	chr13	29906574	29986062	0.101446419095902	4.8151057076211e-306	Hypermethylated	0	6	-6
Epha3	chr16	63543533	63864174	0.096312037987927	4.8151057076211e-306	Hypermethylated	0	5	-5
Ext1	chr15	53064037	53346158	0.0600504566250591	4.8151057076211e-306	Hypermethylated	0	2	-2
Fam107b	chr2	3570487	3782141	0.0783636379478725	4.8151057076211e-306	Hypermethylated	0	4	-4
Fam78b	chr1	167001416	167091301	0.114355846290295	4.8151057076211e-306	Hypermethylated	0	3	-3
Fat3	chr9	15910188	16501284	-0.0438859892094303	4.8151057076211e-306	Hypomethylated	11	0	11
Galnt7	chr8	57523827	57653031	0.162788287901922	4.8151057076211e-306	Hypermethylated	0	5	-5
Gramd1b	chr9	40293232	40531382	0.0785315494832169	4.8151057076211e-306	Hypermethylated	0	2	-2
Heg1	chr16	33684369	33771575	0.0975534305048875	4.8151057076211e-306	Hypermethylated	0	7	-7
Itgb5	chr16	33829664	33949337	0.112936191470343	4.8151057076211e-306	Hypermethylated	0	8	-8
Itpk1	chr12	102568581	102704929	0.0999405716026295	4.8151057076211e-306	Hypermethylated	0	1	-1
Jph1	chr1	16964559	17097888	0.10751476880553	4.8151057076211e-306	Hypermethylated	0	1	-1
Kcnab1	chr3	64949195	65378222	0.0659912724020263	4.8151057076211e-306	Hypermethylated	1	3	-2
Kcnip4	chr5	48389501	49524906	0.0413041054596456	4.8151057076211e-306	Hypermethylated	2	5	-3
Kctd8	chr5	69109284	69341678	0.0960924138405999	4.8151057076211e-306	Hypermethylated	0	2	-2
