gene	chr	start	end	num_contexts	mean_coverage	chg_hmc_group1	chg_hmc_group2	chg_hmc_difference	chg_hmc_qvalue	chg_hmc_direction
Slc4a4	chr5	88886485	89239652	109539	9.98693045399356	1.97306977241159e-05	8.04883156179492e-06	-1.1681866162321e-05	0.00668405284439128	Hypomethylated
Mtus2	chr5	147957319	148316064	117855	9.0078295362946	9.74247711459585e-05	5.15018982797951e-05	-4.59228728661634e-05	7.08361297873739e-13	Hypomethylated
Fry	chr5	150118644	150497752	120708	9.26806114756271	9.91894727460913e-05	6.58161132270532e-05	-3.33733595190381e-05	4.40750413281349e-06	Hypomethylated
Rasgef1b	chr5	99217425	99729064	164375	10.0701224334601	2.57358752653832e-05	1.49939991464445e-05	-1.07418761189387e-05	0.00886136338142713	Hypomethylated
Me3	chr7	89632391	89854358	70933	9.09172035582874	9.63198708294809e-05	5.58841351918422e-05	-4.04357356376387e-05	0.000441667231253571	Hypomethylated
Dlg2	chr7	90476671	92449246	588655	11.5534213588605	4.02888839943295e-05	2.73758489953238e-05	-1.29130349990057e-05	5.58145524500201e-11	Hypomethylated
Rab30	chr7	92741602	92844534	32253	9.49646544507488	0.000121834933533797	6.1954130904635e-05	-5.98808026291624e-05	0.0016219713167847	Hypomethylated
Ints4	chr7	97480955	97541394	18877	10.0825011919267	0.000198387965257517	0.00011534629327559	-8.30416719819269e-05	0.0459868795109349	Hypomethylated
Rsf1	chr7	97579888	97692777	33363	11.5083288373348	0.000105530860998451	4.66146991979683e-05	-5.89161618004831e-05	3.18343346583085e-05	Hypomethylated
Pak1	chr7	97788540	97912380	37607	10.9068823623262	0.000108801787729791	6.29686326319639e-05	-4.58331550978268e-05	0.0459868795109349	Hypomethylated
Gdpd4	chr7	97919954	98049662	40446	10.3827418038867	5.10751972787593e-05	2.11868626834982e-05	-2.9888334595261e-05	0.00682205247857082	Hypomethylated
Map6	chr7	99267446	99337136	23684	7.60705011822327	0.000284467798365222	0.00015694294158161	-0.000127524856783612	0.00188676416766963	Hypomethylated
Gdpd5	chr7	99381413	99461876	29371	6.22390708522012	0.000274661202428295	0.000137809870134592	-0.000136851332293703	0.00010416879607531	Hypomethylated
Pgm2l1	chr7	100227393	100278867	14864	11.9112200618945	0.000174958372120772	8.06482260593698e-05	-9.4310146061402e-05	0.00188676416766963	Hypomethylated
Fam168a	chr7	100706634	100841655	41827	10.1527930523346	0.000233032441426284	0.000115602164522563	-0.000117430276903721	1.50627757602036e-10	Hypomethylated
Fchsd2	chr7	101092862	101284404	57086	11.1372643905686	8.71631277272979e-05	3.19464648414941e-05	-5.52166628858039e-05	5.46810244713323e-11	Hypomethylated
Clpb	chr7	101663632	101795505	43816	8.96918363155012	7.709137307001e-05	3.38332081071653e-05	-4.32581649628448e-05	0.00136865476336196	Hypomethylated
Numa1	chr7	101934110	102014963	26373	8.84194062108975	0.000166342902483426	8.12467822566889e-05	-8.50961202267372e-05	0.000498186447313808	Hypomethylated
Syt9	chr7	107370727	107548655	56781	9.81895132174495	0.00010917741587999	5.80361366082563e-05	-5.11412792717337e-05	5.71159589413774e-05	Hypomethylated
Mical2	chr7	112225855	112413105	64929	8.21659042954612	0.000124747022824247	6.08905716260329e-05	-6.38564511982143e-05	2.30919950507133e-07	Hypomethylated
Parva	chr7	112427504	112591691	55402	8.44178233637775	0.000110588787431116	5.53468144893868e-05	-5.52419729417288e-05	3.18343346583085e-05	Hypomethylated
Tead1	chr7	112679317	112906806	75271	9.1436160672769	7.97607475793009e-05	4.95950055156017e-05	-3.01657420636993e-05	0.0198976465581797	Hypomethylated
Arntl	chr7	113207464	113314125	36015	8.62119602943218	0.00023985376073763	0.000121875432037617	-0.000117978328700013	5.69155953699226e-08	Hypomethylated
Spon1	chr7	113765997	114043369	90542	9.52951116608867	0.000249642100259653	0.000118524981537214	-0.000131117118722439	1.00576579026219e-28	Hypomethylated
Pde3b	chr7	114415280	114539250	34954	11.9863821021915	9.76521622868297e-05	3.6540610867175e-05	-6.11115514196547e-05	1.8200202217299e-07	Hypomethylated
