symbol	chr	start	end	gb_ctrl_signal	gb_mut_signal	gb_log2fc	pr_ctrl_signal	pr_mut_signal	pr_log2fc	is_neuronal	ctrl_decile
Mrgpra2a	chr7	47426328	47452139	44.998495	42.733827	-0.074126	0.129494	0.112456	NA	FALSE	10
Rn45s	chr17	39843013	39848788	41.758115	22.55401	-0.882242	32.321511	18.141368	-0.8256	FALSE	10
Tmem41a	chr16	21934326	21947552	29.737564	28.309077	-0.070487	2.500865	3.799289	0.562834	FALSE	10
Osr2	chr15	35296098	35303305	20.700337	19.996499	-0.049372	22.045829	20.427758	-0.108845	FALSE	10
Gata3os	chr2	9881252	9883921	20.62105	18.408667	-0.161902	19.816677	17.807759	-0.152421	FALSE	10
Krtap11-1	chr16	89570176	89571183	20.59381	21.956944	0.091519	13.788563	15.651349	0.180113	FALSE	10
Cfap221	chr1	119923341	119997234	19.903821	19.171072	-0.053511	1.463813	1.475851	0.010276	TRUE	10
Atoh1	chr6	64729125	64731245	18.597905	17.672222	-0.072773	17.669969	17.417571	-0.020499	TRUE	10
Hspb3	chr13	113662896	113663676	17.944994	21.747481	0.274205	10.130481	12.91605	0.343827	FALSE	10
Gata3un	chr2	9883041	9889540	17.763523	16.407897	-0.113068	13.226525	11.296145	-0.223571	FALSE	10
Dlx5	chr6	6877805	6882085	17.675579	13.544197	-0.378677	13.042256	10.101072	-0.361726	TRUE	10
AI606473	chr3	154330821	154334254	17.664206	14.145005	-0.316123	18.389912	14.26293	-0.361712	FALSE	10
Dlx6os2	chr6	6863797	6865150	16.771965	14.0301	-0.253877	14.104781	11.915989	-0.239217	FALSE	10
Barx1	chr13	48662998	48666507	16.261629	13.470183	-0.267713	14.95738	12.926144	-0.20728	FALSE	10
Gm9748	chr14	79769908	79772743	16.243769	15.665851	-0.051552	13.824389	12.172154	-0.180564	FALSE	10
Fezf1	chr6	23245044	23248362	16.062401	13.306548	-0.267515	17.168349	14.186684	-0.271379	TRUE	10
Mycn	chr12	12936093	12941914	15.509218	14.296074	-0.115794	12.133974	11.167109	-0.117571	TRUE	10
Shox2	chr3	66971727	66981771	15.140202	15.640458	0.046236	15.19951	14.555418	-0.061557	TRUE	10
Ccno	chr13	112987802	112990777	14.847123	16.507136	0.150784	13.297284	14.881313	0.159866	FALSE	10
Nkx3-2	chr5	41761483	41764501	14.766047	13.778106	-0.098387	15.49039	15.032918	-0.042633	FALSE	10
Hes1	chr16	30065340	30067796	14.664313	12.502486	-0.226408	12.403392	10.854057	-0.188912	TRUE	10
Otp	chr13	94875602	94885130	14.58874	14.847063	0.024949	15.582964	16.132802	0.049342	TRUE	10
5730488B01Rik	chr4	44702800	44705110	14.173592	12.226064	-0.209733	15.131376	12.948784	-0.221242	FALSE	10
Osr1	chr12	9570116	9581500	14.156017	14.783114	0.061597	9.904431	10.164404	0.036577	FALSE	10
Pitx2	chr3	129199878	129219591	13.943153	13.125686	-0.085768	10.382534	9.974583	-0.056605	TRUE	10
Hlx	chr1	184727140	184732619	13.901152	13.445553	-0.047313	16.166541	15.187475	-0.08888	TRUE	10
Six1	chr12	73041827	73053887	13.468072	12.427298	-0.114088	10.980774	10.6423	-0.044268	TRUE	10
Dlx2	chr2	71543408	71546754	13.340824	10.793935	-0.300109	12.113865	9.601557	-0.328594	TRUE	10
Evx1	chr6	52313498	52318378	13.227064	8.588348	-0.610334	12.489944	8.533639	-0.537991	TRUE	10
Gm16136	chr15	37231793	37233309	13.063227	11.76928	-0.147858	9.617915	8.739392	-0.134948	FALSE	10
Lhx9	chr1	138825186	138848577	12.965921	11.382338	-0.184579	18.557398	16.673678	-0.152512	TRUE	10
Fezf2	chr14	12342094	12348189	12.948473	12.954146	0.000621	12.156571	11.264944	-0.107866	TRUE	10
Phox2b	chr5	67094399	67099301	12.921353	11.142424	-0.209839	14.419972	11.528616	-0.317416	TRUE	10
Gm26688	chr13	40727808	40735162	12.871818	10.439492	-0.296521	10.711563	9.789633	-0.127108	FALSE	10
Neurog2	chr3	127633135	127635631	12.863343	10.771248	-0.251371	14.837191	13.089621	-0.17798	TRUE	10
Otx1	chr11	21994764	22002897	12.852209	11.698788	-0.133263	11.701366	10.187384	-0.195938	TRUE	10
Duoxa2	chr2	122298900	122302885	12.719474	12.761959	0.004729	16.411398	15.363446	-0.093894	FALSE	10
Hoxa7	chr6	52214491	52221854	12.665111	10.400546	-0.278841	13.384171	10.985414	-0.279848	FALSE	10
H2bc8	chr13	23571396	23572013	12.660239	10.745145	-0.23223	8.206919	8.087074	-0.020664	FALSE	10
Dlx6	chr6	6863334	6868568	12.633141	10.487174	-0.263538	14.142741	12.619974	-0.161686	FALSE	10
Hottip	chr6	52262775	52267603	12.398563	9.977322	-0.307351	12.429444	9.937537	-0.316517	TRUE	10
Tgif1	chr17	70844205	70853546	12.353522	11.234606	-0.134458	15.836387	13.988526	-0.176388	TRUE	10
Nkx2-6	chr14	69171802	69175518	12.328678	12.389415	0.006966	10.652301	11.040455	0.050607	TRUE	10
Tbr1	chr2	61804453	61814114	12.321315	13.993516	0.180572	13.860531	15.03383	0.115468	TRUE	10
Evx1os	chr6	52308389	52314832	12.280299	8.756497	-0.477727	13.44884	8.716457	-0.613103	FALSE	10
Pcdh8	chr14	79766775	79771312	12.182167	12.154582	-0.003212	16.457196	16.370013	-0.007562	TRUE	10
Gpr6	chr10	41069977	41072285	12.067571	11.263759	-0.097603	9.717516	9.31284	-0.059978	FALSE	10
Hoxd9	chr2	74697727	74700208	11.99116	9.446663	-0.337103	11.191801	8.591562	-0.373048	TRUE	10
Myc	chr15	61985391	61990374	11.826929	9.478493	-0.312826	13.353863	8.670543	-0.610474	TRUE	10
Nkx1-1	chr5	33430734	33433976	11.794573	9.834053	-0.257003	11.904698	10.049287	-0.239608	TRUE	10
Six6	chr12	72939892	72944899	11.74641	9.263728	-0.335457	11.265072	8.780384	-0.351693	FALSE	10
Isl2	chr9	55538672	55546180	11.66027	9.258734	-0.325794	7.160448	6.029507	-0.239958	TRUE	10
Msx1	chr5	37820485	37824583	11.644908	12.68782	0.121542	12.587203	13.1743	0.064663	TRUE	10
Prss16	chr13	22002173	22009742	11.563422	9.562495	-0.268478	7.191865	6.576119	-0.125121	FALSE	10
Dlx1as	chr2	71527839	71537891	11.502436	9.40995	-0.283666	13.122744	11.913506	-0.137056	FALSE	10
Dlx1	chr2	71528113	71533981	11.438507	8.879001	-0.357595	10.051761	7.230632	-0.463236	TRUE	10
Zeb2os	chr2	45110707	45114087	11.420069	11.458186	0.004716	10.697408	10.296427	-0.053984	FALSE	10
Cldn23	chr8	35824712	35826559	11.391338	10.433466	-0.124209	9.318566	8.517497	-0.126549	FALSE	10
Crh	chr3	19693401	19695396	11.258818	13.22282	0.227857	10.296241	11.948383	0.210514	TRUE	10
Tcf21	chr10	22817281	22820174	11.25029	6.776682	-0.71314	11.425812	6.954544	-0.698834	FALSE	10
Hoxa11os	chr6	52244393	52249799	11.241166	9.113289	-0.296289	10.281094	8.541806	-0.261233	FALSE	10
Gm13289	chr4	88773834	88774801	11.238742	11.582738	0.042672	6.022918	6.685101	0.145437	FALSE	10
Gm14207	chr2	119321187	119326194	11.197203	10.860517	-0.043183	11.014412	10.582397	-0.056572	FALSE	10
C130021I20Rik	chr2	33641193	33646354	11.177736	8.333686	-0.414119	10.164719	7.449052	-0.43733	FALSE	10
Mt2	chr8	94172664	94173568	11.128199	11.338566	0.026498	5.945217	6.526832	0.130054	FALSE	10
Gdf7	chr12	8297918	8301954	11.03695	12.211917	0.14323	11.82761	13.048439	0.139249	TRUE	10
Hoxa13	chr6	52257694	52260880	11.023778	9.227686	-0.251088	11.215046	9.092419	-0.296227	FALSE	10
Ankrd63	chr2	118699103	118703963	11.002827	10.374635	-0.0831	10.834738	9.774737	-0.145421	FALSE	10
Lhx2	chr2	38339281	38369733	10.975614	9.658708	-0.180535	14.928706	12.898823	-0.207553	TRUE	10
Hoxd12	chr2	74675013	74677705	10.968126	8.260397	-0.399755	12.413826	9.739917	-0.343079	FALSE	10
2610016A17Rik	chr19	25671134	25672239	10.857966	10.729462	-0.016833	11.409239	11.970132	0.067956	FALSE	10
Fst	chr13	114452290	114458951	10.856387	11.119759	0.033902	11.974218	11.003135	-0.119719	FALSE	10
H3c4	chr13	23575763	23577011	10.820112	11.180328	0.04632	10.461638	9.932061	-0.073358	FALSE	10
Tbx2	chr11	85832551	85841948	10.812055	8.824951	-0.28651	9.547375	7.453025	-0.348166	TRUE	10
Hoxa5	chr6	52201754	52204587	10.810373	7.325981	-0.547687	10.890138	7.664399	-0.494791	FALSE	10
Foxa1	chr12	57540628	57546121	10.809185	10.220255	-0.079167	10.516252	9.752524	-0.106457	TRUE	10
Nkx2-3	chr19	43612325	43615892	10.794857	9.329881	-0.205891	11.03168	10.081306	-0.12731	FALSE	10
Sox21	chr14	118233232	118237030	10.782786	8.107852	-0.401842	9.579331	7.226803	-0.396051	TRUE	10
2810405F15Rik	chr2	116075165	116076096	10.776465	8.376517	-0.355207	7.294569	5.921648	-0.291054	FALSE	10
