gene_name	chr	start	end	compartment	shift	mean_ctrl_pc1	difference	adj_pvalue	dist_to_tss	mc_diff	mc_q	mc_sig	mc_direction	hmc_diff	hmc_q	hmc_sig	hmc_direction
0610010K14Rik	chr11	70225000	70250000	A	Stable	1.33366666666667	-0.0383333333333335	0.074947741688163	414	-0.026362362547755	0.241127280659297	FALSE	Hypomethylated	-0.0150195766661825	0.421356294186243	FALSE	Hypomethylated
0610040J01Rik	chr5	63800000	63825000	B	Stable	-1.206	-0.0663333333333332	0.0529018070563412	5	-0.0147585280320162	2.49760416016166e-10	TRUE	Hypomethylated	0.00513643863186417	0.000392395675907463	TRUE	Hypermethylated
1110002E22Rik	chr3	138050000	138075000	A	Stable	1.59433333333333	0.00299999999999981	0.918106917886916	258	-0.0115823910944359	0.0501263023816687	FALSE	Hypomethylated	0.00118158409637498	0.813612087006317	FALSE	Hypermethylated
1110004F10Rik	chr7	116100000	116125000	A	Stable	0.922333333333333	0.0513333333333332	0.207283158170549	19120	0.00876479388734297	0.0250937122566586	TRUE	Hypermethylated	-0.00288357532489843	0.277599300597241	FALSE	Hypomethylated
1110032F04Rik	chr3	68850000	68875000	B	Stable	-0.103666666666667	0.118666666666667	0.00242339523450608	-7086	-0.0286657822688701	0.272868220398181	FALSE	Hypomethylated	0.0193618785540773	0.287316565719092	FALSE	Hypermethylated
1110038F14Rik	chr15	76925000	76950000	A	Stable	1.45833333333333	-0.0193333333333336	0.595787379943713	-10761	0.0338685892985557	0.177409496792173	FALSE	Hypermethylated	-0.00691498938477153	0.687030979507011	FALSE	Hypomethylated
1110059E24Rik	chr19	21625000	21650000	A	Stable	1.17333333333333	-0.115333333333334	0.00210407986683361	15291	0.0405534839634105	1.31571178356616e-51	TRUE	Hypermethylated	-0.0379783402117584	8.97216116849096e-71	TRUE	Hypomethylated
1110059G10Rik	chr9	122925000	122950000	A	Stable	0.675	-0.205666666666667	0.000520713608055426	13500	0.0202977526326662	0.266570078980478	FALSE	Hypermethylated	-0.00573169973229094	0.476290893352515	FALSE	Hypomethylated
1110065P20Rik	chr4	124825000	124850000	A	Stable	1.375	0.0136666666666665	0.577297809526035	13064	0.0574611125011826	0.0997155301402032	FALSE	Hypermethylated	-0.0170088642412003	0.523837821605948	FALSE	Hypomethylated
1190005I06Rik	chr8	120625000	120650000	A	Stable	1.615	0.0189999999999998	0.45044996090962	-3110	-0.0131913284317379	0.00308241514124849	TRUE	Hypomethylated	0.00672942292290674	0.0729293374176578	FALSE	Hypermethylated
1500009L16Rik	chr10	83700000	83725000	A	Stable	1.20933333333333	0.160333333333333	0.00828411777129601	-10365	-0.00160626803010322	0.70408201345175	FALSE	Hypomethylated	0.012559110825439	3.25222472771033e-06	TRUE	Hypermethylated
1500011B03Rik	chr5	114800000	114825000	A	Stable	1.35266666666667	-0.0190000000000004	0.436651816458634	1476	0.0486209412835271	2.42262199992298e-16	TRUE	Hypermethylated	-0.0231333815003732	3.14338507800904e-06	TRUE	Hypomethylated
1600014C10Rik	chr7	38175000	38200000	A	Stable	1.12133333333333	-0.104	0.0200016582298642	3713	0.0586341861139184	4.56344890577935e-16	TRUE	Hypermethylated	-0.0185889291059423	0.00366825603981588	TRUE	Hypomethylated
