loop_id	chr1	start1	end1	chr2	start2	end2	logFC	FDR	direction	loop_type_extended	anchor1_mecp2_up	anchor1_mecp2_down	anchor2_mecp2_up	anchor2_mecp2_down	any_mecp2_up	any_mecp2_down
loop_32	chr8	11635000	11640000	chr8	11695000	11700000	0.507964758182221	0.0010800226715267	up_in_mutant	Active_Promoter-CTCF_Site	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_8162	chr14	105660000	105670000	chr14	105890000	105900000	-0.399584538766962	0.0006576630843075	down_in_mutant	Active_Promoter-Active_Enhancer	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
loop_1329	chr9	60590000	60600000	chr9	60680000	60690000	-0.385575955751452	1.86261900083425e-05	down_in_mutant	Active_Enhancer-CTCF_Site	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_122	chr9	66735000	66740000	chr9	66790000	66795000	-0.309987134535429	0.0170995086700478	down_in_mutant	Active_Promoter-Poised_Enhancer	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_139	chr9	59720000	59725000	chr9	59985000	59990000	-0.530963634931943	0.0037576297724676	down_in_mutant	Poised_Enhancer-CTCF_Site	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_9622	chr11	71750000	71760000	chr11	71930000	71940000	-0.327231693131887	0.0017252091709439	down_in_mutant	Active_Promoter-Other	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
loop_216	chr11	17765000	17770000	chr11	18750000	18755000	-0.585277781779022	0.0205871830132063	down_in_mutant	Active_Enhancer-Poised_Enhancer	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
loop_291	chr13	84400000	84425000	chr13	84750000	84775000	-0.309596343189563	0.0004684422489338	down_in_mutant	Active_Enhancer-Active_Enhancer	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
loop_251	chr13	21775000	21780000	chr13	22040000	22045000	-0.438108404388366	0.0187774306217553	down_in_mutant	Active_Promoter-Active_Promoter	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_10275	chr13	38990000	39000000	chr13	40750000	40760000	-0.431575816057458	0.0034116165698337	down_in_mutant	CTCF_Site-CTCF_Site	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_294	chr12	56055000	56060000	chr12	56540000	56545000	0.390539107725139	0.0116861621635594	up_in_mutant	Polycomb-Polycomb	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_10883	chr15	53340000	53350000	chr15	53760000	53770000	-0.315993423612167	0.0031180078591711	down_in_mutant	Active_Promoter-Poised_Enhancer	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_318	chr15	29050000	29055000	chr15	29220000	29225000	-0.545875935910879	0.003581033848225	down_in_mutant	Active_Enhancer-Active_Enhancer	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
loop_323	chr15	81520000	81525000	chr15	81580000	81585000	0.323950110606268	0.0130009109326563	up_in_mutant	Active_Promoter-Active_Enhancer	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_1539	chr15	42060000	42070000	chr15	42670000	42680000	-0.824911416210738	3.02875082049036e-06	down_in_mutant	Active_Promoter-Poised_Enhancer	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
loop_467	chr16	42900000	42925000	chr16	43500000	43525000	-0.389209429688525	5.68864062262666e-05	down_in_mutant	Active_Promoter-Active_Enhancer	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
loop_413	chr17	48415000	48420000	chr17	48465000	48470000	-0.393885611332712	0.0099136550477718	down_in_mutant	Poised_Enhancer-Poised_Enhancer	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_467	chr1	91345000	91350000	chr1	91480000	91485000	0.472685798771331	0.0034223313618301	up_in_mutant	Repressed_Promoter-CTCF_Site	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_13236	chr18	49750000	49760000	chr18	50110000	50120000	-0.341616610525246	0.0112145055738813	down_in_mutant	CTCF_Site-CTCF_Site	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_13365	chr19	17150000	17160000	chr19	17210000	17220000	-0.380561952610522	6.71156898012222e-05	down_in_mutant	Active_Enhancer-Active_Enhancer	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
loop_564	chr19	22450000	22455000	chr19	22635000	22640000	-0.608304515067549	0.0056090876456255	down_in_mutant	Active_Enhancer-Active_Enhancer	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
loop_570	chr19	59740000	59745000	chr19	60140000	60145000	-0.507246378783241	0.0124541925204314	down_in_mutant	Repressed_Promoter-CTCF_Site	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_749	chr2	6870000	6880000	chr2	7080000	7090000	-0.394578570668128	0.0015326090365922	down_in_mutant	Active_Enhancer-Active_Enhancer	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
loop_15040	chr3	123690000	123700000	chr3	123830000	123840000	-0.43863070613811	3.14224082486974e-05	down_in_mutant	Active_Promoter-Active_Enhancer	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
loop_720	chr3	86545000	86550000	chr3	86755000	86760000	-0.483819620901568	0.0230187873892694	down_in_mutant	Bivalent_Promoter-Poised_Enhancer	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_17841	chr3	86325000	86350000	chr3	86975000	87000000	-0.348629608286288	0.0009143091278898	down_in_mutant	Repressed_Promoter-CTCF_Site	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_727	chr3	49185000	49190000	chr3	49760000	49765000	0.648903030552877	0.0256698622010734	up_in_mutant	Poised_Enhancer-Poised_Enhancer	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
loop_753	chr4	33520000	33525000	chr4	33735000	33740000	-0.407900527865251	0.0160789924202226	down_in_mutant	Active_Enhancer-Active_Enhancer	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
loop_15943	chr4	45940000	45950000	chr4	46120000	46130000	0.353299532641351	0.000384580681911	up_in_mutant	Poised_Enhancer-CTCF_Site	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_827	chr5	67845000	67850000	chr5	68045000	68050000	-0.460344990434603	0.012276662330146	down_in_mutant	Active_Promoter-Active_Enhancer	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_867	chr6	13835000	13840000	chr6	13900000	13905000	-0.316726841379132	0.0253141522163369	down_in_mutant	Active_Promoter-Poised_Enhancer	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
loop_869	chr6	51765000	51770000	chr6	51845000	51850000	-0.31590110989778	0.0266033656551999	down_in_mutant	Active_Enhancer-Active_Enhancer	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
loop_882	chr6	13830000	13835000	chr6	13980000	13985000	-0.433706220302438	0.0269721261047592	down_in_mutant	Active_Enhancer-Poised_Enhancer	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_17266	chr6	60550000	60560000	chr6	61300000	61310000	-0.600053079545689	0.0006548165469775	down_in_mutant	Poised_Enhancer-CTCF_Site	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
loop_1107	chr6	43660000	43670000	chr6	44290000	44300000	-0.62207260584874	0.0003614764220882	down_in_mutant	Poised_Enhancer-Other	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_15541	chr6	20500000	20525000	chr6	21200000	21225000	-0.452097905259116	0.0002589436056028	down_in_mutant	Active_Promoter-Active_Enhancer	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
loop_936	chr7	90055000	90060000	chr7	90115000	90120000	-0.310295150617931	0.0088678910504422	down_in_mutant	Active_Enhancer-Poised_Enhancer	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
loop_971	chr7	92870000	92875000	chr7	93090000	93095000	-0.404672533324142	0.0206478738780949	down_in_mutant	Active_Promoter-Active_Enhancer	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_17977	chr7	60390000	60400000	chr7	60490000	60500000	-0.374358903730253	0.0020457195262961	down_in_mutant	Other-Other	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_1021	chr10	81625000	81630000	chr10	82175000	82180000	-0.408779181980828	0.017779488281524	down_in_mutant	Active_Enhancer-Other	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_1054	chr8	21990000	21995000	chr8	22045000	22050000	-0.435500809394855	0.0120494355181984	down_in_mutant	Poised_Enhancer-Other	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_8008	chr8	95970000	95980000	chr8	100770000	100780000	-0.907281814173301	2.57709819655521e-05	down_in_mutant	CTCF_Site-Other	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_1100	chr9	120495000	120500000	chr9	120565000	120570000	0.316430794939712	0.0119934694950731	up_in_mutant	Poised_Enhancer-Other	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_1350	chr9	94530000	94540000	chr9	94700000	94710000	-0.693425681985245	1.8502089672842e-05	down_in_mutant	Active_Promoter-Active_Enhancer	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_1127	chr9	99845000	99850000	chr9	100395000	100400000	0.512268586533115	0.0011421711698848	up_in_mutant	Polycomb-CTCF_Site	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_1133	chr9	106900000	106905000	chr9	107290000	107295000	-0.413238809337614	0.0072145797429907	down_in_mutant	CTCF_Site-CTCF_Site	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_1164	chr11	85835000	85840000	chr11	85885000	85890000	-0.443512061434171	0.0031231608696555	down_in_mutant	Repressed_Promoter-Polycomb	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_1231	chr12	100685000	100690000	chr12	100720000	100725000	-0.334345538443171	0.0049474664804606	down_in_mutant	Active_Promoter-Poised_Enhancer	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
