gene	chr	start	end	wt_hmc	hmc_ctrl_M	hmc_ctrl_F	gb_ctrl_signal	dmr_qvalue	mod_difference	significant	chromatin_state	pred_prob_a
Bhlha9	chr11	76672469	76673675	0.537	0.51	0.564	3.715209	0.0180374167243083	-0.132466681733102	TRUE	Unmarked	0.99892859588561
Igip	chr18	36298678	36301516	0.4735	0.483	0.464	0.626466	9.90962270360125e-09	-0.0936378783621946	TRUE	Unmarked	0.997142164471449
AL731706.2	chr2	136885499	136885678	0.4585	0.5	0.417	NA	0.40090249164232	-0.093295739348371	FALSE	Unmarked	0.996397977989143
Rhbdl1	chr17	25834464	25837294	0.424	0.402	0.446	1.138354	0.0456227450830187	-0.0380791691246789	TRUE	Active_Promoter	0.993871411178137
Emilin3	chr2	160906436	160912327	0.424	0.44	0.408	4.210906	0.00669241794800503	-0.0338555695975425	TRUE	Unmarked	0.993871411178137
Arc	chr15	74669082	74672569	0.4215	0.468	0.375	5.263268	0.0288197481584609	-0.104508679704109	TRUE	Active_Promoter	0.993631149613859
Tmem210	chr2	25288144	25289188	0.4215	0.446	0.397	3.073258	0.20183553651684	-0.0410580454216481	FALSE	Unmarked	0.993631149613859
Tusc1	chr4	93334137	93335510	0.415	0.438	0.392	2.896281	0.0134445999827368	-0.107162621109856	TRUE	Active_Promoter	0.992961779905989
Ywhah	chr5	33018815	33027965	0.407	0.414	0.4	0.836952	0.00723165892602187	-0.026072931237462	TRUE	Active_Promoter	0.992041377637931
Yod1	chr1	130717326	130724357	0.3965	0.405	0.388	1.161273	0.000761316013861079	-0.0352990190612692	TRUE	Active_Promoter	0.990649997732376
Ppp3ca	chr3	136670123	136937726	0.394	0.393	0.395	1.424352	2.33633057098119e-49	-0.0229698435273082	TRUE	Active_Promoter	0.990284680301731
Foxn2	chr17	88440710	88490532	0.3925	0.393	0.392	0.543847	2.01535291563148e-26	-0.0408071948520444	TRUE	Active_Promoter	0.99005874220108
Gm13090	chr4	151089569	151091448	0.3915	0.387	0.396	1.807213	0.297934598940151	-0.018446423354496	FALSE	Unmarked	0.989905234864408
1810013L24Rik	chr16	8830099	8858921	0.3905	0.391	0.39	NA	0.00440111436215848	-0.016360394454551	TRUE	Active_Promoter	0.989749381695172
Zranb1	chr7	132931141	132986390	0.3885	0.393	0.384	0.320532	1.70871504910614e-25	-0.0452010998899015	TRUE	Active_Promoter	0.989430497019924
Klf7	chr1	64029446	64122281	0.3855	0.384	0.387	1.784348	3.81396727228115e-13	-0.0198444225990343	TRUE	Active_Promoter	0.9889336827327
Apoa1	chr9	46228579	46230465	0.383	0.375	0.391	2.47318	0.120629080461745	-0.0492252059128066	FALSE	Unmarked	0.988502084831137
Cd300ld3	chr11	115042130	115048408	0.3825	0.408	0.357	1.251601	0.837604936811365	0.00777771050880327	FALSE	Unmarked	0.988413789391765
AC166256.1	chr10	22712084	22731236	0.382	0.385	0.379	NA	0.000393525148529049	-0.0221567476763875	TRUE	Active_Promoter	0.988324823917424
Gm20741	chr16	88811439	88812219	0.381	0.333	0.429	NA	0.780539735341222	0.013124828047376	FALSE	Unmarked	0.988144862984372
Clic3	chr2	25456837	25458775	0.38	0.398	0.362	2.115302	0.00248735808231863	-0.0590500136552022	TRUE	Active_Promoter	0.987962161923453
E030018B13Rik	chr7	63916856	63920538	0.38	0.417	0.343	1.436575	0.898462719560151	-0.00661117428970354	FALSE	Unmarked	0.987962161923453
1700086D15Rik	chr11	65151909	65159890	0.379	0.38	0.378	NA	2.80859627587288e-05	-0.0380686055238199	TRUE	Poised_Enhancer	0.987776680061934
Zfp521	chr18	13687012	13972786	0.379	0.376	0.382	1.566429	2.97851275485844e-66	-0.0249742251618918	TRUE	Active_Promoter	0.987776680061934
Glce	chr9	62057247	62122654	0.377	0.373	0.381	0.680386	0.00764743308709095	-0.012472169421251	TRUE	Active_Promoter	0.9873972083834
Galk1	chr11	116008456	116012718	0.3765	0.412	0.341	4.310649	0.0548790812718194	-0.0323907283961558	FALSE	Unmarked	0.987300537317976
Rcor2	chr19	7267324	7275224	0.3755	0.387	0.364	3.425321	0.130638320989033	-0.0196498330560346	FALSE	Unmarked	0.987104994047243
Fut8	chr12	77238124	77476337	0.375	0.371	0.379	0.384675	2.46467412844874e-73	-0.0429682059239301	TRUE	Active_Promoter	0.987006111017443
