chr	mean_signal	n_bins	n_detected	method
chr1	0.000758133809685951	19548	19197	WGBS
chr10	0	13070	0	WGBS
chr11	0.000240190427503664	12209	6236	WGBS
chr12	0.000510741156317662	12013	11619	WGBS
chr13	0.000461957606008442	12043	11665	WGBS
chr14	0.000497960632840939	12491	11889	WGBS
chr15	0.000639226148924014	10405	10065	WGBS
chr16	0.000720505154908619	9821	9492	WGBS
chr17	0.00065459728401685	9499	9165	WGBS
chr18	0.000707996747125251	9071	8742	WGBS
chr19	0.00063723046142123	6144	5811	WGBS
chr2	0.000804612503871725	18212	17657	WGBS
chr3	0.000703608089323684	16004	15623	WGBS
chr4	0.000787191760580882	15651	15081	WGBS
chr5	0.000783345323496367	15184	14748	WGBS
chr6	0.000802828037980414	14974	14606	WGBS
chr7	0.000708849324236221	14545	13865	WGBS
chr8	0.000756880809512441	12941	12556	WGBS
chr9	0.000880345559257122	12460	12115	WGBS
chrX	0.000260142514864122	17104	15481	WGBS
chr1	0.0015007533686062	19548	19186	EM-seq
chr10	0.00142357209042845	13070	12683	EM-seq
chr11	0.00165701968229916	12209	11855	EM-seq
chr12	0.00146104438247871	12013	11571	EM-seq
chr13	0.00130686279347164	12043	11647	EM-seq
chr14	0.00140787971542531	12491	11778	EM-seq
chr15	0.0015656776288274	10405	10063	EM-seq
chr16	0.00152421421642405	9821	9482	EM-seq
chr17	0.00138549415319001	9499	9149	EM-seq
chr18	0.00151373430296656	9071	8734	EM-seq
chr19	0.00133639359566068	6144	5805	EM-seq
chr2	0.00154591449026814	18212	17618	EM-seq
chr3	0.00135688852275254	16004	15602	EM-seq
chr4	0.00153402293402026	15651	14978	EM-seq
chr5	0.00152285869880438	15184	14593	EM-seq
chr6	0.00154857984236499	14974	14587	EM-seq
chr7	0.00138913651028922	14545	13657	EM-seq
chr8	0.00148562098588431	12941	12527	EM-seq
chr9	0.00170304263068021	12460	12112	EM-seq
chrX	0.000506702924104942	17104	15002	EM-seq
chr1	-7.88194435813246e-08	19548	2973	evoC
chr10	-3.39441471749903e-08	13070	1934	evoC
chr11	-3.96684817896943e-08	12209	1794	evoC
chr12	-1.2112451012181e-07	12013	1890	evoC
chr13	-1.05250976946009e-07	12043	1745	evoC
chr14	-2.93461293543425e-08	12491	1723	evoC
chr15	-4.58944027553018e-08	10405	1495	evoC
chr16	-3.61896698808117e-08	9821	1492	evoC
chr17	-2.93057161205081e-08	9499	1358	evoC
chr18	-2.05193754565834e-08	9071	1328	evoC
chr19	-4.8014323393779e-08	6144	838	evoC
chr2	-7.93679994850039e-08	18212	2579	evoC
chr3	-5.76027869138868e-08	16004	2301	evoC
chr4	-6.24397005778714e-08	15651	2398	evoC
chr5	-1.96509073749813e-07	15184	3145	evoC
chr6	-1.05730767287162e-07	14974	2166	evoC
chr7	-6.53918942624312e-09	14545	2741	evoC
chr8	-2.07669908064468e-07	12941	3155	evoC
chr9	-2.69344401647398e-07	12460	2256	evoC
chrX	-4.46054292015035e-08	17104	1878	evoC
