gene	chr	start	end	mc_diff_pct	mc_direction	mc_ctrl_mean	mc_mut_mean	mc_at_floor	hmc_diff_pct	hmc_direction	hmc_ctrl_mean	hmc_mut_mean	hmc_at_floor	coordinated	num_contexts	mean_coverage
Syt1	chr10	108497649	109010981	17.31	Hypermethylated	0.588435147394397	0.76157342693294	TRUE	-14.97	Hypomethylated	0.266369660814793	0.116716357371678	TRUE	mC_up_hmC_down	3930	23.9700063613232
Galnt7	chr8	57523827	57653031	16.28	Hypermethylated	0.424902606906054	0.587690894807975	TRUE	-7.46	Hypomethylated	0.346949365161512	0.27239390665973	TRUE	mC_up_hmC_down	1612	21.2637251861042
Mcu	chr10	59446983	59616691	14.21	Hypermethylated	0.523486100473727	0.6656233113292	TRUE	-9.44	Hypomethylated	0.298872063344874	0.204454570494806	TRUE	mC_up_hmC_down	1940	20.9783505154639
Mgll	chr6	88724411	88828359	13.5	Hypermethylated	0.425714962550687	0.56072290629419	TRUE	NA	NA	NA	NA	FALSE	single_modality	1177	16.767735768904
Wipf3	chr6	54429602	54503767	13.19	Hypermethylated	0.5342007318225	0.666149497124087	TRUE	NA	NA	NA	NA	FALSE	single_modality	784	19.0811543367347
Syn2	chr6	115134901	115282005	13.03	Hypermethylated	0.464614418613735	0.594943113497721	TRUE	NA	NA	NA	NA	FALSE	single_modality	938	20.9336353944563
Rnf182	chr13	43615709	43670944	12.94	Hypermethylated	0.334272147727722	0.46370185288652	TRUE	NA	NA	NA	NA	FALSE	single_modality	519	20.0712909441233
Zic4	chr9	91362412	91389347	12.91	Hypermethylated	0.0998521122274292	0.228932033577977	TRUE	NA	NA	NA	NA	FALSE	single_modality	389	17.3284061696658
Boc	chr16	44485048	44558896	12.86	Hypermethylated	0.273045132252029	0.401657126031741	TRUE	NA	NA	NA	NA	FALSE	single_modality	759	17.2840909090909
Zfp608	chr18	54888047	54992554	12.39	Hypermethylated	0.444191540921334	0.568138688518125	TRUE	NA	NA	NA	NA	FALSE	single_modality	1123	21.5103517364203
Prag1	chr8	36094827	36147786	12.38	Hypermethylated	0.350580481829427	0.474380938525074	TRUE	NA	NA	NA	NA	FALSE	single_modality	713	18.1712833099579
Sesn1	chr10	41809934	41908423	12.07	Hypermethylated	0.427830100839361	0.548523689819925	TRUE	NA	NA	NA	NA	FALSE	single_modality	753	20.6693227091633
Patj	chr4	98395784	98719602	12.04	Hypermethylated	0.641328038048968	0.761773769508922	TRUE	-6.88	Hypomethylated	0.195169686656128	0.126331614695665	TRUE	mC_up_hmC_down	2829	20.9266083421704
Ndst3	chr3	123526165	123690852	12.04	Hypermethylated	0.414991307782351	0.535396229007651	TRUE	NA	NA	NA	NA	FALSE	single_modality	1298	22.147438366718
Ntn4	chr10	93640680	93747206	11.92	Hypermethylated	0.502389716899405	0.621559939974027	TRUE	NA	NA	NA	NA	FALSE	single_modality	1158	20.0164075993092
