gene	mecp2_mean_fold	mecp2_nearest_fdr	gb_log2fc	mc_diff	hmc_diff	chromatin_state
Micu3	3.31112958006904	1.88407080705142e-13	0.120164	0.0449532342746497	-0.0550125822707343	Active_Promoter
Fam81b	2.37808782728544	7.95490509831512e-08	1.195046	0.0241074300160535	-0.0057434442878339	Other
A330070K13Rik	2.1111518023123	4.27997166975257e-07	0.700541	0.185823966874757	-0.0553867696751865	Other
Emcn	1.64488470222434	0.00127278147483562	1.318834	0.0409062188478198	-0.0107068254862215	Other
Gprin3	1.58364888919615	2.58751492272059e-06	1.034552	0.103938977086807	-0.0528729723410623	Active_Promoter
Ercc8	1.53033270651918	1.31243965393824e-20	1.045569	0.0596715221255155	-0.0274777191779346	Active_Promoter
Fut9	1.50132009407714	1.32719443445416e-07	0.379227	0.0621375397246068	-0.0437461811101068	Active_Promoter
Slc13a1	1.45671691499625	0.0101304954413751	1.514766	0.0616311388579086	-0.0206977442746837	Other
Kbtbd12	1.40625935861403	7.14716517223626e-10	0.738787	0.0302195470514123	-0.0017087677880325	Other
Kera	1.26893466570397	1.76132417372413e-08	1.259103	0.0306906758251526	-0.00575794547788411	Other
Cog5	1.22778484939048	1.20839010330663e-07	1.268975	0.0707680919978579	-0.0257557532476129	Active_Promoter
Lamb3	1.20362536001525	0.0124350868072545	0.873238	0.0329149367253684	0.00307196307652133	Other
Cerkl	1.115286949067	0.000283321465302971	0.983307	0.0541282022520972	-0.00337166250677112	Active_Promoter
Col9a1	1.10811035267613	2.01034498623133e-14	1.308703	0.0504223284797926	-0.00487324977815357	Other
Cntn6	1.05746297748356	1.88438635926685e-08	0.481129	0.0601156302345282	-0.05549487333954	Active_Promoter
Astn2	1.04548469558304	0.000325014000745512	0.048056	0.0175480138813267	-0.0183937401663775	Active_Promoter
Hgd	1.0448130416482	0.0173936715127865	1.263758	0.0807522108117853	-0.011571969056218	Other
Epyc	1.01069128485294	0.0155971497444747	0.754993	0.0228096822270499	-0.0118995831880669	Other
Cnr1	0.982511496368871	0.00494394072279715	0.331502	0.156555408467778	0.0108585009044822	Active_Promoter
Krt24	0.945307962612713	2.10885580970986e-10	1.16442	0.138092706726149	-0.0112052711172921	Other
Patj	0.932320093794432	3.92581287600702e-06	0.829999	0.120445731459954	-0.0688380719604627	Active_Promoter
Fgf1	0.898368596411403	0.00716848450584093	1.215938	0.094244219786531	-0.0335424374916495	Other
Svep1	0.897447937903363	0.0253900691009933	0.948648	0.0749873190799152	-0.0529199355626119	Active_Promoter
Il1rapl1	0.872587391729342	5.16066191780565e-10	0.089699	0.0312117249676287	-0.0390547356191869	Active_Promoter
Bcl2l15	0.856001627275543	0.000163032297516809	0.951993	0.0512895167266098	-0.00638940743334415	Other
Gpr22	0.82430209948478	4.90152842449104e-12	0.958371	0.164985186171975	-0.0121353797916432	Active_Promoter
Ptchd4	0.814911061429204	2.14206796006058e-08	0.43979	0.0844753183471563	-0.0683176386946963	Active_Promoter
Clnk	0.769524845525915	2.23874354430314e-17	0.852219	0.0268288355770543	-0.0107456856839712	Other
Pcdh9	0.764388356766825	2.03830570533515e-13	1.115065	0.0396612621891825	-0.0139019528786236	Active_Promoter
Kif18a	0.758568351564003	0.00797353209816948	1.077868	0.0141810746902884	-0.00365764989047744	Active_Promoter
Il16	0.738853990908019	0.000830251359306477	0.063129	0.0690017153425211	-0.00637885927342219	Active_Promoter
Tdo2	0.731575973336985	0.00401783966033787	1.178865	0.0427743453363998	-0.0118351278016386	Other
Ccdc192	0.716645403080805	2.06372487287673e-05	0.983183	0.0263342314213754	-0.00765872146590091	Other
Snca	0.676482334921322	1.15962971694167e-09	0.413917	0.0845562122509037	-0.055576132475232	Active_Promoter
Ntn4	0.659869936504872	2.79116222854677e-08	0.422471	0.119170223074622	-0.0598824678670815	Active_Promoter
