Chr	Start	End	cluster	mecp2_class	chromatin_state
chr13	84754787	84755187	Cluster 1	MeCP2 Up	Active_Enhancer
chr3	137090739	137091139	Cluster 2	MeCP2 Up	Unmarked
chr10	97154077	97154477	Cluster 1	MeCP2 Up	Unmarked
chrX	166336306	166336706	Cluster 1	MeCP2 Up	Poised_Enhancer
chr1	190557542	190557942	Cluster 3	MeCP2 Down	Unmarked
chr7	48780857	48781257	Cluster 2	MeCP2 Up	Unmarked
chr18	13372165	13372565	Cluster 1	MeCP2 Up	Unmarked
chr3	18726854	18727254	Cluster 2	MeCP2 Up	Unmarked
chr10	21874148	21874548	Cluster 3	MeCP2 Up	Unmarked
chr3	82403073	82403473	Cluster 4	MeCP2 Up	Unmarked
chr18	30529080	30529480	Cluster 1	MeCP2 Up	Active_Enhancer
chr1	159694565	159694965	Cluster 4	MeCP2 Up	Unmarked
chr3	25013075	25013475	Cluster 4	MeCP2 Up	Unmarked
chr1	35586517	35586917	Cluster 1	MeCP2 Up	Poised_Enhancer
chr6	54459861	54460261	Cluster 1	MeCP2 Up	Poised_Enhancer
chr9	29583843	29584243	Cluster 1	MeCP2 Up	Active_Enhancer
chr14	105719127	105719527	Cluster 1	MeCP2 Up	Active_Enhancer
chr7	74387481	74387881	Cluster 2	MeCP2 Up	Unmarked
chr3	47864323	47864723	Cluster 4	MeCP2 Up	Poised_Enhancer
chr4	9183753	9184153	Cluster 2	MeCP2 Up	Active_Enhancer
chr13	45626158	45626558	Cluster 2	MeCP2 Down	Unmarked
chr14	14829966	14830366	Cluster 1	MeCP2 Up	Unmarked
chr1	84491503	84491903	Cluster 3	MeCP2 Up	Unmarked
chr10	25061691	25062091	Cluster 1	MeCP2 Up	Poised_Enhancer
chr1	65543448	65543848	Cluster 2	MeCP2 Up	Unmarked
chr19	20007647	20008047	Cluster 2	MeCP2 Up	Unmarked
chr5	133944231	133944631	Cluster 2	MeCP2 Up	Unmarked
chr11	31851510	31851910	Cluster 1	MeCP2 Up	Active_Enhancer
chr2	97235788	97236188	Cluster 4	MeCP2 Up	Unmarked
chr14	93318615	93319015	Cluster 2	MeCP2 Up	Unmarked
chr1	48737193	48737593	Cluster 4	MeCP2 Up	Unmarked
chr8	57798667	57799067	Cluster 1	MeCP2 Up	Active_Enhancer
chrX	67066967	67067367	Cluster 2	MeCP2 Up	Unmarked
chr1	126680408	126680808	Cluster 3	MeCP2 Up	Unmarked
chr3	140989755	140990155	Cluster 1	MeCP2 Up	Active_Enhancer
chr6	19936607	19937007	Cluster 2	MeCP2 Up	Unmarked
chr12	26186694	26187094	Cluster 1	MeCP2 Up	Unmarked
chr18	51256873	51257273	Cluster 2	MeCP2 Up	Unmarked
chr4	142889401	142889801	Cluster 2	MeCP2 Up	Unmarked
chr3	7575951	7576351	Cluster 2	MeCP2 Up	Unmarked
chr16	79446160	79446560	Cluster 3	MeCP2 Up	Unmarked
chr1	105360024	105360424	Cluster 3	MeCP2 Up	Unmarked
chr3	25913368	25913768	Cluster 2	MeCP2 Up	Unmarked
