stripe_id	chr	anchor_x1	anchor_x2	span_y1	span_y2	direction_type	source	pval_ctrl	pval_mut	n_ctrl_reps	n_mut_reps	in_10kb	confidence	anchor_center	logFC	logCPM	F	PValue	FDR	significant_FDR05	significant_FDR10	direction_edgeR	direction	direction_confidence	direction_consistent	stripe_length	anchor_width	effect_category
stripe_0040	chr12	36250000	36935000	36935000	36995000	3prime	control_only	0.874987909320593	NA	0	0	FALSE	medium	36592500	-0.0701912085011276	11.1596319081873	0.2195747636304	0.64945840839482	0.870187011840902	FALSE	FALSE	unchanged	lost	low	TRUE	60000	685000	minimal
stripe_0048	chr13	48630000	48675000	48795000	49075000	3prime	control_only	2.50014761662409e-8	NA	0	0	TRUE	medium	48652500	0.398569512219779	11.9672056748436	11.3388269910974	0.00720003299515912	0.160000733225758	FALSE	FALSE	unchanged	lost	low	FALSE	280000	45000	weak
stripe_0073	chr16	55910000	56390000	56390000	56450000	3prime	control_only	0.951924030904339	NA	0	0	FALSE	medium	56150000	-0.623870445486656	11.2280887568738	14.2597169711196	0.00365480028019256	0.120596381506651	FALSE	FALSE	unchanged	lost	medium	TRUE	60000	480000	moderate
stripe_0085	chr18	56350000	56395000	56495000	56780000	3prime	control_only	3.14001565202829e-10	NA	0	0	TRUE	medium	56372500	-0.0795320566117272	11.7315868414885	0.378325239379567	0.552302933540954	0.856283617892952	FALSE	FALSE	unchanged	lost	low	TRUE	285000	45000	minimal
stripe_0100	chr2	26890000	27145000	27215000	27260000	3prime	control_only	7.70480229093317e-34	NA	0	0	TRUE	medium	27017500	0.261830500610608	11.4083989838263	3.58159092092772	0.087837164276415	0.533007298688536	FALSE	FALSE	unchanged	lost	low	FALSE	45000	255000	minimal
stripe_0140	chr5	96740000	98440000	98440000	98480000	3prime	control_only	0.202380453111099	NA	0	0	FALSE	medium	97590000	0.0288738441028609	11.6219370705488	0.0533620381112521	0.821992252039714	0.961394446830075	FALSE	FALSE	unchanged	lost	low	FALSE	40000	1700000	minimal
stripe_0176	chr8	57510000	57570000	57570000	57870000	3prime	control_only	0.486150103070393	NA	0	0	TRUE	medium	57540000	-0.281948692731187	12.6039889297162	9.67291407460446	0.0111180604491045	0.185301007485075	FALSE	FALSE	unchanged	lost	medium	TRUE	300000	60000	minimal
stripe_0181	chr8	82840000	82885000	83030000	83370000	3prime	control_only	9.789847425348981e-9	NA	0	0	TRUE	medium	82862500	0.143541940188412	12.2624879529109	2.22370169230381	0.166902599552741	0.647024113948107	FALSE	FALSE	unchanged	lost	low	FALSE	340000	45000	minimal
stripe_0190	chr9	36185000	39100000	39100000	39160000	3prime	control_only	0.0835575603115171	NA	0	0	TRUE	medium	37642500	0.02687266919422	10.4949360249361	0.0101051766636107	0.921924192109252	0.987099705804251	FALSE	FALSE	unchanged	lost	low	FALSE	60000	2915000	minimal
stripe_0193	chr9	57470000	57705000	57735000	57770000	3prime	control_only	1.79836532193852e-17	NA	0	0	TRUE	medium	57587500	-0.00140300337388852	12.3821352757183	2.5142942393392e-4	0.987662190673282	0.993028256771049	FALSE	FALSE	unchanged	lost	low	TRUE	35000	235000	minimal
