loop_id	chr1	start1	end1	chr2	start2	end2	logFC	logCPM	FDR	PValue	significant	resolution_kb	n_overlaps	loop_distance	loop_type	direction	category	anchor1_H3K27ac_overlap	anchor1_H3K27me3_overlap	anchor1_H3K4me1_overlap	anchor1_H3K4me3_overlap	anchor1_Bivalent_Promoter_overlap	anchor1_CTCF_overlap	anchor1_CTCF_motif_overlap	anchor2_H3K27ac_overlap	anchor2_H3K27me3_overlap	anchor2_H3K4me1_overlap	anchor2_H3K4me3_overlap	anchor2_Bivalent_Promoter_overlap	anchor2_CTCF_overlap	anchor2_CTCF_motif_overlap	anchor1_distance_to_tss_ext	anchor2_distance_to_tss_ext	anchor1_type_extended	anchor2_type_extended	loop_type_extended
loop_7955	chr8	57540000	57550000	chr8	57960000	57970000	-0.676079610913446	3.64902466777887	1.395794781755e-4	2.22641355697143e-6	TRUE	10	2	420000	Active_Enhancer-Active_Enhancer	down_in_mutant	moderate_differential	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	28092	306967	Active_Enhancer	Active_Enhancer	Active_Enhancer-Active_Enhancer
loop_5350	chr9	57520000	57525000	chr9	57655000	57660000	-0.309394975159469	5.72214838626185	0.0172595246413794	9.185801357333e-4	TRUE	5	1	135000	Other-Other	down_in_mutant	weak_differential	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	0	1368	CTCF_Site	CTCF_Site	CTCF_Site-CTCF_Site
loop_11006	chr16	56175000	56200000	chr16	56675000	56700000	-0.513380385695289	5.29563969437362	2.99312867375313e-5	9.8657694972288e-8	TRUE	25	2	500000	Poised_Enhancer-Poised_Enhancer	down_in_mutant	moderate_differential	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	4312	17449	Poised_Enhancer	Poised_Enhancer	Poised_Enhancer-Poised_Enhancer
loop_14511	chr2	26440000	26450000	chr2	27020000	27030000	-0.315475631269509	3.55990582169717	0.0251499764127822	0.0032520673734371	TRUE	10	1	580000	Active_Promoter-Active_Promoter	down_in_mutant	weak_differential	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	0	0	Active_Promoter	Active_Promoter	Active_Promoter-Active_Promoter
loop_18738	chr8	82860000	82870000	chr8	83440000	83450000	-0.34919701872984	3.32389027417915	0.0213225423494968	0.002512690899881	TRUE	10	1	580000	Active_Promoter-Poised_Enhancer	down_in_mutant	weak_differential	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0	8390	Active_Promoter	Poised_Enhancer	Active_Promoter-Poised_Enhancer
loop_57	chr8	57475000	57500000	chr8	60625000	60650000	-0.31261549928001	2.68058560291916	0.0150711123659538	0.0021411944130078	TRUE	25	1	3150000	Active_Promoter-Active_Promoter	down_in_mutant	weak_differential	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	0	0	Active_Promoter	Active_Promoter	Active_Promoter-Active_Promoter
loop_3081	chr12	36200000	36225000	chr12	37425000	37450000	-0.314994178278669	3.73103201906185	0.0047872252943838	3.966276471962e-4	TRUE	25	1	1225000	Poised_Enhancer-Other	down_in_mutant	weak_differential	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	28397	183358	CTCF_Site	Poised_Enhancer	Poised_Enhancer-CTCF_Site
loop_6623	chr8	57475000	57500000	chr8	58525000	58550000	-0.467350341409516	3.43425788898392	0.0013877437661877	6.01662318158751e-5	TRUE	25	1	1050000	Active_Promoter-Active_Enhancer	down_in_mutant	weak_differential	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	0	150786	Active_Promoter	Active_Enhancer	Active_Promoter-Active_Enhancer
loop_8256	chr8	57525000	57550000	chr8	57950000	57975000	-0.531810663942664	4.38572990388306	1.892241309875e-4	2.38737867898198e-6	TRUE	25	1	425000	Active_Enhancer-Active_Enhancer	down_in_mutant	moderate_differential	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	13092	296967	Active_Enhancer	Active_Enhancer	Active_Enhancer-Active_Enhancer
loop_9061	chr9	37400000	37425000	chr9	37925000	37950000	-0.308647312806421	4.34606795497179	0.004935794184554	4.147473928215e-4	TRUE	25	1	525000	Repressed_Promoter-Other	down_in_mutant	weak_differential	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	0	6451	Repressed_Promoter	CTCF_Site	Repressed_Promoter-CTCF_Site
loop_10453	chr12	36200000	36225000	chr12	37450000	37475000	-0.371172331177295	3.71980589409214	0.0041463129175636	3.284852277077e-4	TRUE	25	1	1250000	Other-Other	down_in_mutant	weak_differential	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	28397	208358	CTCF_Site	CTCF_Site	CTCF_Site-CTCF_Site
loop_12385	chr18	56350000	56375000	chr18	56725000	56750000	-0.317910766032777	3.93048853682247	0.0027484043966676	1.766427181111e-4	TRUE	25	1	375000	Poised_Enhancer-Other	down_in_mutant	weak_differential	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	25336	17186	CTCF_Site	Poised_Enhancer	Poised_Enhancer-CTCF_Site
