loop_id	chr1	start1	end1	chr2	start2	end2	logFC	logCPM	FDR	PValue	significant	resolution_kb	n_overlaps	loop_distance	loop_type	direction	category	anchor1_H3K27ac_overlap	anchor1_H3K27me3_overlap	anchor1_H3K4me1_overlap	anchor1_H3K4me3_overlap	anchor1_Bivalent_Promoter_overlap	anchor1_CTCF_overlap	anchor1_CTCF_motif_overlap	anchor2_H3K27ac_overlap	anchor2_H3K27me3_overlap	anchor2_H3K4me1_overlap	anchor2_H3K4me3_overlap	anchor2_Bivalent_Promoter_overlap	anchor2_CTCF_overlap	anchor2_CTCF_motif_overlap	anchor1_distance_to_tss_ext	anchor2_distance_to_tss_ext	anchor1_type_extended	anchor2_type_extended	loop_type_extended
loop_8162	chr14	105660000	105670000	chr14	105890000	105900000	-0.399584538766962	4.86375878882028	6.576630843075e-4	1.96438779158683e-5	TRUE	10	2	230000	Active_Promoter-Active_Enhancer	down_in_mutant	weak_differential	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	36229	0	Active_Enhancer	Active_Promoter	Active_Promoter-Active_Enhancer
loop_1329	chr9	60590000	60600000	chr9	60680000	60690000	-0.385575955751452	6.1846099852789	1.86261900083425e-5	1.1192832454642e-7	TRUE	10	3	90000	Active_Enhancer-Other	down_in_mutant	weak_differential	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	44117	0	Active_Enhancer	CTCF_Site	Active_Enhancer-CTCF_Site
loop_139	chr9	59720000	59725000	chr9	59985000	59990000	-0.530963634931943	4.7586549898101	0.0037576297724676	8.26332582962342e-5	TRUE	5	1	265000	Poised_Enhancer-Other	down_in_mutant	moderate_differential	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	25709	24340	Poised_Enhancer	CTCF_Site	Poised_Enhancer-CTCF_Site
loop_9622	chr11	71750000	71760000	chr11	71930000	71940000	-0.327231693131887	4.89707878873842	0.0017252091709439	7.52377806522488e-5	TRUE	10	2	180000	Active_Promoter-Other	down_in_mutant	weak_differential	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	79	121	Active_Promoter	Other	Active_Promoter-Other
loop_291	chr13	84400000	84425000	chr13	84750000	84775000	-0.309596343189563	5.5178809005672	4.684422489338e-4	1.07880875373601e-5	TRUE	25	3	350000	Active_Enhancer-Active_Enhancer	down_in_mutant	weak_differential	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	177703	414407	Active_Enhancer	Active_Enhancer	Active_Enhancer-Active_Enhancer
loop_251	chr13	21775000	21780000	chr13	22040000	22045000	-0.438108404388366	4.68978687701678	0.0187774306217553	0.0010473675293972	TRUE	5	1	265000	Active_Promoter-Active_Promoter	down_in_mutant	weak_differential	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	624	0	Active_Promoter	Active_Promoter	Active_Promoter-Active_Promoter
loop_10275	chr13	38990000	39000000	chr13	40750000	40760000	-0.431575816057458	3.76090203652778	0.0034116165698337	1.973226444818e-4	TRUE	10	2	1760000	Other-Other	down_in_mutant	weak_differential	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	29124	11623	CTCF_Site	CTCF_Site	CTCF_Site-CTCF_Site
loop_10883	chr15	53340000	53350000	chr15	53760000	53770000	-0.315993423612167	4.7583576103365	0.0031180078591711	1.725784974285e-4	TRUE	10	2	420000	Active_Promoter-Poised_Enhancer	down_in_mutant	weak_differential	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	0	132536	Active_Promoter	Poised_Enhancer	Active_Promoter-Poised_Enhancer
loop_1539	chr15	42060000	42070000	chr15	42670000	42680000	-0.824911416210738	4.34626856343477	3.02875082049036e-6	7.761910020698171e-9	TRUE	10	2	610000	Active_Promoter-Poised_Enhancer	down_in_mutant	moderate_differential	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	190279	0	Poised_Enhancer	Active_Promoter	Active_Promoter-Poised_Enhancer
loop_467	chr16	42900000	42925000	chr16	43500000	43525000	-0.389209429688525	5.36527355303863	5.68864062262666e-5	2.84459919358721e-7	TRUE	25	3	600000	Active_Promoter-Active_Enhancer	down_in_mutant	weak_differential	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	0	79803	Active_Promoter	Active_Enhancer	Active_Promoter-Active_Enhancer
