chr	start	end	TargetGene	gene_class	delta_ABC	log2fc_contact	class	is_se	se_source	k27ac_class	k27ac_fold	k27ac_fdr	hic_contact_pl_scaled_adj_WT	hic_contact_pl_scaled_adj_KO
chr1	5019184	5019684	Atp6v1h	invariant	-0.006382	-0.12984903867754805	genic	FALSE	none	stable_k27ac	0.0309646171041146	0.869250540302533	0.024232	0.022144
chr1	5022792	5023292	Atp6v1h	invariant	-0.002869	-0.16607190622219206	genic	FALSE	none	no_diffbind_peak	NA	NA	0.028088	0.025031
chr1	5072263	5072763	Atp6v1h	invariant	7.3e-4	0.027223775445239316	genic	FALSE	none	no_diffbind_peak	NA	NA	0.151948	0.154843
chr1	5082974	5083474	Atp6v1h	invariant	-0.003565	-0.10837187779962949	genic	FALSE	none	stable_k27ac	0.204083042500408	0.225365033197854	0.063277	0.058696
chr1	5082974	5083474	Mrpl15	invariant	0.010203	0.6761098301037736	genic	FALSE	none	stable_k27ac	0.204083042500408	0.225365033197854	0.008757	0.014008
chr1	5082974	5083474	Tcea1	invariant	0.009017	0.22317492290660096	genic	FALSE	none	stable_k27ac	0.204083042500408	0.225365033197854	0.020117	0.023487
chr1	6214488	6214988	Atp6v1h	invariant	0.007348	0.4011901425427974	genic	FALSE	none	stable_k27ac	0.269067869389612	0.0700852498210818	0.002185	0.002894
chr1	6214488	6214988	Mrpl15	invariant	-0.024857	-1.738031140858197	genic	FALSE	none	stable_k27ac	0.269067869389612	0.0700852498210818	0.00652	0.001936
chr1	6729456	6729956	A830018L16Rik	DEG_up	-0.015378	-0.8289135641402936	genic	FALSE	none	no_diffbind_peak	NA	NA	0.001836	0.001022
chr1	6819839	6820339	Tcea1	invariant	-0.015588	-1.4255122928684811	genic	TRUE	P60	no_diffbind_peak	NA	NA	0.003268	0.0012
chr1	9630046	9630546	Arfgef1	invariant	-0.039394	-1.3881403704196955	genic	FALSE	none	stable_k27ac	0.0332620867439042	0.893994107608316	0.006979	0.00265
chr1	9630046	9630546	Atp6v1h	invariant	-0.029058	-4.385875011667216	genic	FALSE	none	stable_k27ac	0.0332620867439042	0.893994107608316	0.001761	5.9e-5
chr1	9630046	9630546	Cops5	invariant	-0.055846	-1.4808002209227809	genic	FALSE	none	stable_k27ac	0.0332620867439042	0.893994107608316	0.012769	0.004558
chr1	9630046	9630546	Cspp1	invariant	-0.055842	-1.4808002209227809	genic	FALSE	none	stable_k27ac	0.0332620867439042	0.893994107608316	0.012769	0.004558
chr1	9630046	9630546	Mrpl15	invariant	-0.010877	-0.39370117456775483	genic	FALSE	none	stable_k27ac	0.0332620867439042	0.893994107608316	0.003005	0.002281
chr1	9630046	9630546	Mybl1	DEG_down	-0.042484	-0.34126357605814417	genic	FALSE	none	stable_k27ac	0.0332620867439042	0.893994107608316	0.027982	0.022082
chr1	9648727	9649664	Mybl1	DEG_down	0.011553	0.29642082257202945	intergenic	FALSE	none	no_diffbind_peak	NA	NA	0.017383	0.021354
chr1	10039673	10040173	Arfgef1	invariant	-0.004523	-0.6494556337477502	genic	FALSE	none	no_diffbind_peak	NA	NA	0.020085	0.012795
chr1	10039673	10040173	Cops5	invariant	0.009753	-0.052856116177846434	genic	FALSE	none	no_diffbind_peak	NA	NA	0.14619	0.14093
chr1	10039673	10040173	Cspp1	invariant	0.009753	-0.052856116177846434	genic	FALSE	none	no_diffbind_peak	NA	NA	0.14619	0.14093
chr1	12990137	12990637	Slco5a1	DEG_up	-0.022466	0.07415179291138706	genic	FALSE	none	no_diffbind_peak	NA	NA	0.139502	0.146861
chr1	13146885	13147385	Lactb2	invariant	0.00842	-0.029144923373567846	genic	FALSE	none	no_diffbind_peak	NA	NA	0.010324	0.010117
chr1	13146885	13147385	Slco5a1	DEG_up	0.011731	0.9878531189556303	genic	FALSE	none	no_diffbind_peak	NA	NA	0.004476	0.008903
chr1	13146885	13147385	Tram1	invariant	-0.003052	-0.8079270884259147	genic	FALSE	none	no_diffbind_peak	NA	NA	0.016051	0.009157
chr1	13196831	13197331	Tram1	invariant	-0.009354	-0.2962671300248148	genic	FALSE	none	stable_k27ac	-0.0117074508415969	0.950869745655117	0.011334	0.009225
chr1	13372200	13373144	Lactb2	invariant	0.028021	1.1122355358497755	genic	FALSE	none	stable_k27ac	0.282859453728492	0.0440745542241437	0.002424	0.005271
chr1	13372200	13373144	Slco5a1	DEG_up	-0.010559	0.5559416893166901	genic	FALSE	none	stable_k27ac	0.282859453728492	0.0440745542241437	0.003296	0.004858
chr1	13372200	13373144	Tram1	invariant	0.010337	0.21507280764342637	genic	FALSE	none	stable_k27ac	0.282859453728492	0.0440745542241437	0.009049	0.010508
chr1	15936292	15936792	Sbspon	invariant	-0.011426	0.3112349033048001	intergenic	FALSE	none	no_diffbind_peak	NA	NA	0.015208	0.018876
chr1	15990956	15991456	Rpl7	invariant	-0.007034	0.011659558915457896	intergenic	FALSE	none	stable_k27ac	-0.471328996471942	0.0130952825011397	0.010695	0.010782
