chr	Boundary	Gap_Score	TAD_Score1	TAD_Score2	Differential	Enriched_In	Type	robust_in_ctrl	robust_in_mut	robustness
chr1	3060000	4.132992780246243	1.8499098358204709	0.3661980131141468	Differential	Matrix 1	Complex	FALSE	FALSE	Neither
chr1	3350000	2.033831833005341	2.227953080139383	1.4927042217486015	Differential	Matrix 1	Complex	FALSE	FALSE	Neither
chr1	3360000	-0.9302980950496588	1.293398808745857	1.6207255205074165	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither
chr1	3510000	-2.5398392360354314	1.336311680588243	2.238485225763546	Differential	Matrix 2	Merge	FALSE	FALSE	Neither
chr1	3670000	0.29105844619727506	2.728003890001167	2.6134234068516435	Non-Differential	Matrix 1	Non-Differential	TRUE	FALSE	Control_only
chr1	3680000	-1.9570653784402907	2.2137406687661345	2.9043074247439473	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither
chr1	3830000	-0.7946596179140195	1.422430631902265	1.7007987577215118	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither
chr1	4120000	-1.6447200237615105	1.536871559795888	2.118481769227857	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither
chr1	4280000	1.3790536122333743	2.2788722706224682	1.77734712731777	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither
chr1	4420000	-0.3945602055373943	1.414236565744311	1.5496997725869708	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither
chr1	4560000	-1.0050790485024883	1.8375116588849791	2.1894400886920553	Non-Differential	Matrix 2	Non-Differential	FALSE	TRUE	Mutant_only
chr1	4580000	1.8578518457050155	1.644960686168435	0.9748462892511144	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither
chr1	4750000	-0.9533578591139996	1.2777983404349291	1.6134238359377695	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither
chr1	4860000	0.8978918351632555	1.979622855889714	1.6511569044203065	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither
chr1	5010000	-0.7701194317258742	2.9478894782601595	3.211563771961004	Non-Differential	Matrix 2	Non-Differential	TRUE	TRUE	Both
chr1	5020000	2.0691253459915213	2.1434975816833663	1.3959681363379253	Differential	Matrix 1	Split	FALSE	FALSE	Neither
chr1	5170000	1.593935494956578	2.302099791740019	1.7237171854523663	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither
chr1	5180000	0.5129605949794671	1.60438400219936	1.4148938223137508	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither
chr1	5190000	-1.5704541336438362	1.3988577307820391	1.954472437759349	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither
chr1	5320000	-3.3260894695191445	0.677703781481184	1.863326509103128	Differential	Matrix 2	Merge	FALSE	FALSE	Neither
chr1	5330000	1.5024015737481835	1.7842674088403387	1.2405974829175304	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither
chr1	5350000	1.565596890568998	1.700834313480318	1.1349118224392032	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither
chr1	5470000	0.06972863641590234	1.6114803118386327	1.580308551761627	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither
chr1	5610000	0.6501759059497146	1.5845079443376349	1.3460743926726584	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither
chr1	5630000	-2.0413777577789647	2.1555565189959403	2.876470193176346	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr1	5770000	2.2420027822457684	1.862578809158122	1.054379801004944	Differential	Matrix 1	Complex	FALSE	FALSE	Neither
chr1	5910000	-0.15201213999155666	1.5361259502567444	1.5844645394996442	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither
chr1	6070000	-0.4506979040182856	1.4402154815507238	1.5956331207975087	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither
chr1	6080000	-1.0076330937563251	1.216656197187734	1.5719092403878516	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither
chr1	6200000	0.601582807274822	1.7441773360122506	1.5224834654344224	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither
chr1	6210000	0.258196405846613	3.1730110768974544	3.068441699530847	Non-Differential	Matrix 1	Non-Differential	TRUE	TRUE	Both
chr1	6370000	-1.193580760125645	1.1132478719669467	1.535333061407545	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither
chr1	6380000	-0.7579502869101398	1.3723852850574048	1.6378333268316896	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither
