chr	Boundary	Gap_Score	TAD_Score1	TAD_Score2	Differential	Enriched_In	Type	robust_in_ctrl	robust_in_mut	robustness
chr1	5630000	-2.0413777577789647	2.1555565189959403	2.876470193176346	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr1	10730000	2.7695065550946443	3.1852704779699743	2.1834801370456938	Differential	Matrix 1	Strength Change	TRUE	FALSE	Control_only
chr1	14000000	2.775528964001576	2.0723947280470307	1.0727766528624654	Differential	Matrix 1	Split	TRUE	FALSE	Control_only
chr1	14480000	2.2375587195146864	2.994684156981546	2.183674302412967	Differential	Matrix 1	Strength Change	TRUE	FALSE	Control_only
chr1	18660000	-2.8522828298811733	1.358010659898963	2.37172134141781	Differential	Matrix 2	Merge	FALSE	TRUE	Mutant_only
chr1	18980000	-2.1893649501381587	2.8010724966822673	3.572347069065654	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr1	19690000	3.520054712475938	1.8147888555861087	0.5501875104119506	Differential	Matrix 1	Complex	TRUE	FALSE	Control_only
chr1	19990000	-2.7833534664921533	0.8618973060167717	1.85291027858429	Differential	Matrix 2	Merge	TRUE	FALSE	Control_only
chr1	23920000	2.3743771882534492	2.9774690291588866	2.1176472375745954	Differential	Matrix 1	Strength Change	TRUE	FALSE	Control_only
chr1	27270000	-3.0628067515525874	1.0798095016833482	2.1698113850074723	Differential	Matrix 2	Complex	FALSE	TRUE	Mutant_only
chr1	27700000	-2.2891749765780163	1.2432498294380472	2.056234358844068	Differential	Matrix 2	Merge	FALSE	TRUE	Mutant_only
chr1	30240000	2.231240986598721	1.6876274780887757	0.8839528827836978	Differential	Matrix 1	Complex	TRUE	FALSE	Control_only
chr1	30870000	-2.468729488560431	2.3814622658411144	3.2541709719487044	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr1	31150000	2.008169380944929	2.9115891937696614	2.182852235154025	Differential	Matrix 1	Strength Change	TRUE	FALSE	Control_only
chr1	32170000	-2.6132349656711344	1.99988003571265	2.925696310061131	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr1	33100000	-3.684319518403683	1.334352607849698	2.6454028918711865	Differential	Matrix 2	Merge	FALSE	TRUE	Mutant_only
chr1	36370000	2.145503909659139	3.1411140572912535	2.362422153416354	Differential	Matrix 1	Strength Change	TRUE	FALSE	Control_only
chr1	39690000	2.2697518840293545	2.8374803158370985	2.015580128223141	Differential	Matrix 1	Strength Change	TRUE	FALSE	Control_only
chr1	42940000	-8.2470835139392	-0.7396350716773934	2.2095347298055708	Differential	Matrix 2	Merge	FALSE	TRUE	Mutant_only
