chr	pos1	pos2	chr2	pos3	pos4	direction_type	source	pval_ctrl	pval_mut	stripiness_ctrl	stripiness_mut	mean_ctrl	mean_mut	stripe_length	stripe_width	anchor_center	stripe_id
chr1	6380001	6420000	chr1	6380001	7210000	3prime	mutant_only	NA	0.082	NA	1.87063498998215	NA	56.9877239126515	830000	40000	6400000.5	stripe_0001
chr1	6820001	6880000	chr1	6220001	6880000	5prime	mutant_only	NA	0.074	NA	0.242438763899981	NA	73.4317107208957	660000	60000	6850000.5	stripe_0002
chr1	9540001	9600000	chr1	9540001	10080000	3prime	mutant_only	NA	0.077	NA	0.755065398428264	NA	70.0904761656794	540000	60000	9570000.5	stripe_0003
chr1	10720001	10780000	chr1	10070001	10780000	5prime	mutant_only	NA	0.045	NA	2.66203346495299	NA	63.8356194674824	710000	60000	10750000.5	stripe_0004
chr1	10810001	10860000	chr1	10810001	11580000	3prime	mutant_only	NA	0.07	NA	2.16428314114443	NA	56.9010789212362	770000	50000	10835000.5	stripe_0005
chr1	12800001	12850000	chr1	10850001	12850000	5prime	control_only	0.0855	NA	1.70049538598772	NA	24.7870712853527	NA	2000000	50000	12825000.5	stripe_0006
chr1	12840001	12880000	chr1	12840001	13770000	3prime	mutant_only	NA	0.071	NA	0.457556164585433	NA	41.1001620661749	930000	40000	12860000.5	stripe_0007
chr1	14970001	15020000	chr1	14970001	16470000	3prime	shared	0.068	0.0665	2.20271918916028	2.19747471018432	32.883913913708	31.7436523606008	1500000	50000	14995000.5	stripe_0008
chr1	16080001	16130000	chr1	16080001	16670000	3prime	shared	0.095	0.092	0.73261731600367	1.21349475697717	52.9649997670182	63.5048209688296	590000	50000	16105000.5	stripe_0009
chr1	16400001	16440000	chr1	15590001	16440000	5prime	control_only	0.072	NA	1.1298900811945	NA	43.7186154065784	NA	850000	40000	16420000.5	stripe_0010
chr1	17100001	17150000	chr1	16350001	17150000	5prime	shared	0.0285	0.0345	1.8469129610888	1.58342757013555	56.0754093903313	64.9819301845652	800000	50000	17125000.5	stripe_0011
chr1	22250001	22290000	chr1	20810001	22290000	5prime	shared	0.072	0.062	2.15118280013196	1.83280155856084	33.9659563851759	37.3619822930842	1480000	40000	22270000.5	stripe_0012
chr1	22370001	22440000	chr1	22370001	23140000	3prime	control_only	0.095	NA	-1.30223439670168	NA	46.5533362063433	NA	770000	70000	22405000.5	stripe_0013
chr1	23240001	23290000	chr1	22290001	23290000	5prime	mutant_only	NA	0.0995	NA	0.487337724370387	NA	42.1074415547306	1000000	50000	23265000.5	stripe_0014
chr1	24230001	24270000	chr1	23680001	24270000	5prime	shared	0.032	0.029	1.84233441114493	2.11032864889104	69.4546063316663	75.527438125626	590000	40000	24250000.5	stripe_0015
chr1	24330001	24380000	chr1	24330001	25860000	3prime	shared	0.082	0.065	1.2365216745825	1.89207726180878	29.8920921327656	35.1981081817369	1530000	50000	24355000.5	stripe_0016
chr1	24870001	24910000	chr1	24870001	25830000	3prime	control_only	0.094	NA	0.71665297018985	NA	46.0503471471456	NA	960000	40000	24890000.5	stripe_0017
chr1	31130001	31200000	chr1	30730001	31200000	5prime	shared	0.068	0.06	0.847542979884751	0.789550610467099	69.6784857767815	80.0246041665917	470000	70000	31165000.5	stripe_0018
chr1	34390001	34430000	chr1	33990001	34430000	5prime	shared	0.0345	0.0505	2.94489697326698	1.8874600175495	103.539382984065	110.120811488365	440000	40000	34410000.5	stripe_0019
chr1	34570001	34610000	chr1	34190001	34610000	5prime	mutant_only	NA	0.0785	NA	0.628878951995815	NA	105.593330992644	420000	40000	34590000.5	stripe_0020
chr1	36030001	36070000	chr1	35370001	36070000	5prime	shared	0.0555	0.0515	2.29532902881601	1.09134908259842	64.506464886138	50.4834384044466	700000	40000	36050000.5	stripe_0021
chr1	37430001	37480000	chr1	37430001	37880000	3prime	control_only	0.094	NA	0.481617537651178	NA	92.9345456883787	NA	450000	50000	37455000.5	stripe_0022
chr1	38750001	38780000	chr1	37850001	38780000	5prime	mutant_only	NA	0.075	NA	-1.96106324877546	NA	69.219262414865	930000	30000	38765000.5	stripe_0023
chr1	39500001	39550000	chr1	38810001	39550000	5prime	mutant_only	NA	0.0375	NA	1.62653265646945	NA	71.9132071566001	740000	50000	39525000.5	stripe_0024
chr1	40360001	40400000	chr1	39560001	40400000	5prime	shared	0.0455	0.048	1.52057386870245	1.4358603069829	47.4377872210805	53.5270183215918	840000	40000	40380000.5	stripe_0025
chr1	43090001	43150000	chr1	43090001	44020000	3prime	shared	0.09	0.099	0.529587945522949	0.7407789246118	40.304236455602	41.5015796010818	930000	60000	43120000.5	stripe_0026
chr1	51300001	51350000	chr1	49240001	51350000	5prime	mutant_only	NA	0.093	NA	0.716268062322485	NA	24.064375044302	2110000	50000	51325000.5	stripe_0027
chr1	51580001	51620000	chr1	50940001	51620000	5prime	shared	0.047	0.0445	1.92175489489023	1.70034095671029	54.934221130019	67.3022028638508	680000	40000	51600000.5	stripe_0028
chr1	53250001	53300000	chr1	52630001	53300000	5prime	control_only	0.068	NA	0.860894655543054	NA	60.7932424458429	NA	670000	50000	53275000.5	stripe_0029
chr1	54940001	55010000	chr1	54400001	55010000	5prime	mutant_only	NA	0.05	NA	0.785579544625293	NA	81.8752496642103	610000	70000	54975000.5	stripe_0030
chr1	55350001	55400000	chr1	55000001	55400000	5prime	control_only	0.089	NA	0.737507552561568	NA	71.7836160529868	NA	400000	50000	55375000.5	stripe_0031
chr1	57400001	57440000	chr1	57400001	58320000	3prime	shared	0.075	0.0495	5.39604197409524	6.54835505902306	51.2788478272127	54.6534359086262	920000	40000	57420000.5	stripe_0032
chr1	57910001	57970000	chr1	57480001	57970000	5prime	mutant_only	NA	0.099	NA	1.24815753410098	NA	82.4881649329727	490000	60000	57940000.5	stripe_0033
chr1	60830001	60880000	chr1	60090001	60880000	5prime	shared	0.026	0.039	4.13409354932425	2.80006421669476	55.8302496518446	65.3476264789464	790000	50000	60855000.5	stripe_0034
chr1	61910001	61960000	chr1	61910001	62980000	3prime	mutant_only	NA	0.097	NA	1.11244192649959	NA	48.3020088366364	1070000	50000	61935000.5	stripe_0035
chr1	62660001	62700000	chr1	61760001	62700000	5prime	shared	0.0565	0.054	1.68232542160672	2.23121188724527	49.4882835746028	45.3077571090893	940000	40000	62680000.5	stripe_0036
chr1	63730001	63780000	chr1	63730001	64420000	3prime	shared	0.034	0.095	2.83779327355398	1.96894636215618	58.5417033930607	40.5994570238069	690000	50000	63755000.5	stripe_0037
chr1	64420001	64460000	chr1	63780001	64460000	5prime	shared	0.059	0.027	2.3921375248587	1.48216956530646	76.7472494131542	83.5758597709855	680000	40000	64440000.5	stripe_0038
chr1	67160001	67230000	chr1	67160001	69100000	3prime	mutant_only	NA	0.063	NA	2.35277387318391	NA	27.2868336165029	1940000	70000	67195000.5	stripe_0039
chr1	67610001	67670000	chr1	67610001	69080000	3prime	shared	0.05	0.05	2.48859140305841	2.43800853561563	30.4062776239837	32.6103860119754	1470000	60000	67640000.5	stripe_0040
chr1	69070001	69140000	chr1	67390001	69140000	5prime	mutant_only	NA	0.043	NA	-2.0297262872167	NA	37.7487245803306	1750000	70000	69105000.5	stripe_0041
chr1	72090001	72160000	chr1	69430001	72160000	5prime	shared	0.044	0.022	3.75629578963919	5.85606322153891	20.6758765210828	22.6263925594288	2730000	70000	72125000.5	stripe_0042
chr1	72820001	72860000	chr1	72210001	72860000	5prime	shared	0.022	0.028	2.28202649977664	2.13574312434155	68.8947771110609	79.8359111949275	650000	40000	72840000.5	stripe_0043
chr1	72860001	72910000	chr1	72860001	73800000	3prime	mutant_only	NA	0.022	NA	7.46262339293183	NA	63.554287643934	940000	50000	72885000.5	stripe_0044
chr1	73580001	73630000	chr1	72930001	73630000	5prime	shared	0.0845	0.088	0.984721194944555	1.6611213028269	61.7221042233401	68.8271985429899	700000	50000	73605000.5	stripe_0045
chr1	73800001	73860000	chr1	72230001	73860000	5prime	shared	0.043	0.055	3.54118792390499	2.53373864788505	35.5435759654553	39.050434507471	1630000	60000	73830000.5	stripe_0046
chr1	73880001	73920000	chr1	73880001	74470000	3prime	shared	0.037	0.036	1.91221131700909	2.23723145113832	73.1299466497908	83.0213493715875	590000	40000	73900000.5	stripe_0047
chr1	75250001	75320000	chr1	74750001	75320000	5prime	shared	0.053	0.061	0.402820105672454	0.288546329093735	94.9605416653992	124.120826796744	570000	70000	75285000.5	stripe_0048
chr1	75620001	75670000	chr1	75620001	77600000	3prime	shared	0.038	0.031	4.88095199854998	6.06896226837403	29.0853297977125	29.5793185862938	1980000	50000	75645000.5	stripe_0049
chr1	77480001	77550000	chr1	75720001	77550000	5prime	shared	0.019	0.013	7.94246940683874	9.79863211478051	30.7529714738537	36.1584119424607	1830000	70000	77515000.5	stripe_0050
chr1	77860001	77910000	chr1	75640001	77910000	5prime	shared	0.036	0.042	3.78070398022071	3.2712971787808	23.5525022252481	26.0256862742561	2270000	50000	77885000.5	stripe_0051
chr1	78400001	78460000	chr1	77980001	78460000	5prime	control_only	0.0345	NA	1.05281083214664	NA	83.113003005711	NA	480000	60000	78430000.5	stripe_0052
chr1	79760001	79800000	chr1	79760001	80530000	3prime	shared	0.069	0.0635	0.708114899062767	1.72555799549689	48.6432071523789	56.9892645476517	770000	40000	79780000.5	stripe_0053
chr1	81260001	81310000	chr1	80160001	81310000	5prime	shared	0.035	0.035	2.78512244082814	3.24855360005257	42.795723248402	62.0227039818093	1150000	50000	81285000.5	stripe_0054
chr1	83720001	83760000	chr1	83720001	84720000	3prime	shared	0.0415	0.0175	5.64076346400524	7.52312174358919	46.975994390758	49.4314753517757	1000000	40000	83740000.5	stripe_0055
chr1	84680001	84720000	chr1	83270001	84720000	5prime	shared	0.07	0.0615	0.817663928323454	1.04706912655381	32.786560630673	37.7508883004144	1450000	40000	84700000.5	stripe_0056
chr1	85570001	85630000	chr1	84970001	85630000	5prime	shared	0.044	0.074	0.990887181234873	0.647537722251838	36.6519995777436	41.8867097567498	660000	60000	85600000.5	stripe_0057
chr1	88710001	88780000	chr1	88710001	89670000	3prime	shared	0.0845	0.06	1.3662346831462	1.36125998385695	49.5830337631031	57.233871313198	960000	70000	88745000.5	stripe_0058
chr1	89160001	89220000	chr1	88320001	89220000	5prime	shared	0.029	0.048	3.51201796604902	4.52312762359846	59.6468791960625	67.36532311081	900000	60000	89190000.5	stripe_0059
chr1	89640001	89680000	chr1	89640001	90500000	3prime	mutant_only	NA	0.0595	NA	1.28284338992541	NA	58.5466166304884	860000	40000	89660000.5	stripe_0060
chr1	89920001	89970000	chr1	89330001	89970000	5prime	shared	0.0865	0.069	1.29211995738069	1.24095023082949	66.7100843324142	66.8043966036187	640000	50000	89945000.5	stripe_0061
chr1	90600001	90670000	chr1	90600001	91360000	3prime	shared	0.0385	0.031	1.57462903366256	1.45437207937321	59.6610130239104	64.8159813284501	760000	70000	90635000.5	stripe_0062
chr1	98150001	98200000	chr1	97790001	98200000	5prime	mutant_only	NA	0.072	NA	1.15094294978494	NA	82.3639655502876	410000	50000	98175000.5	stripe_0063
chr1	98310001	98360000	chr1	97810001	98360000	5prime	shared	0.043	0.03	1.32481851963778	2.12068410180071	59.5600781056601	64.8794905143468	550000	50000	98335000.5	stripe_0064
chr1	103770001	103830000	chr1	103770001	105820000	3prime	shared	0.063	0.057	4.03473010522056	3.16382468305185	20.0452144362278	22.216354025549	2050000	60000	103800000.5	stripe_0065
chr1	104900001	104970000	chr1	103860001	104970000	5prime	control_only	0.061	NA	0.846248365442677	NA	37.3790120798806	NA	1110000	70000	104935000.5	stripe_0066
chr1	106360001	106410000	chr1	105650001	106410000	5prime	shared	0.03	0.0335	2.06088492363844	2.12372953624583	61.7104741289057	68.6164573872161	760000	50000	106385000.5	stripe_0067
chr1	106700001	106740000	chr1	105990001	106740000	5prime	mutant_only	NA	0.099	NA	0.481626450192194	NA	63.0972619853399	750000	40000	106720000.5	stripe_0068
chr1	107610001	107660000	chr1	107610001	110540000	3prime	control_only	0.087	NA	0.25989921270478	NA	20.1284886118623	NA	2930000	50000	107635000.5	stripe_0069
chr1	118750001	118800000	chr1	118750001	119690000	3prime	shared	0.076	0.0965	1.60963559218397	1.34481506456737	45.6244818876036	51.6913593279943	940000	50000	118775000.5	stripe_0070
chr1	119050001	119090000	chr1	118560001	119090000	5prime	mutant_only	NA	0.062	NA	1.89340545036866	NA	87.7365826152852	530000	40000	119070000.5	stripe_0071
chr1	119070001	119110000	chr1	119070001	119690000	3prime	shared	0.042	0.0725	2.27155274449709	1.82372959726311	58.5243323112722	65.7522346292699	620000	40000	119090000.5	stripe_0072
chr1	119900001	119960000	chr1	119440001	119960000	5prime	shared	0.032	0.035	1.81004704570146	1.26483985272609	71.3800731532526	92.3898383225852	520000	60000	119930000.5	stripe_0073
chr1	120510001	120580000	chr1	119990001	120580000	5prime	shared	0.053	0.0575	1.75584397568599	1.73846207588249	58.8460466330672	65.9377052773665	590000	70000	120545000.5	stripe_0074
chr1	121360001	121420000	chr1	120300001	121420000	5prime	control_only	0.067	NA	1.06797478892551	NA	35.4889285963653	NA	1120000	60000	121390000.5	stripe_0075
chr1	121580001	121620000	chr1	121580001	124320000	3prime	mutant_only	NA	0.0825	NA	1.84171549449487	NA	20.2634561028132	2740000	40000	121600000.5	stripe_0076
chr1	127430001	127480000	chr1	126910001	127480000	5prime	shared	0.034	0.033	1.66187594968257	1.02804950989531	66.7297302893628	85.5162253767498	570000	50000	127455000.5	stripe_0077
chr1	127460001	127510000	chr1	127460001	128260000	3prime	shared	0.0365	0.022	0.923050041727919	2.4110755286102	48.2114966422654	56.9404225556773	800000	50000	127485000.5	stripe_0078
chr1	128800001	128850000	chr1	128220001	128850000	5prime	shared	0.026	0.089	3.31108791910643	1.5872473349174	65.6522689613619	54.5214482801737	630000	50000	128825000.5	stripe_0079
