stripe_id	chr	pos1	pos2	chr2	pos3	pos4	direction_type	source	pval_ctrl	pval_mut	stripiness_ctrl	stripiness_mut	mean_ctrl	mean_mut	stripe_length	stripe_width	anchor_center	logFC	logCPM	F	PValue	FDR	significant_FDR05	significant_FDR10	direction_edgeR	direction	direction_confidence	direction_consistent	effect_category
stripe_0001	chr1	6380001	6420000	chr1	6380001	7210000	3prime	mutant_only	NA	0.082	NA	1.87063498998215	NA	56.9877239126515	830000	40000	6400000.5	-0.0223069090251807	8.6315724774256	1.12120494023765	0.312695374115859	0.57705936517346	FALSE	FALSE	unchanged	gained	low	FALSE	minimal
stripe_0002	chr1	6820001	6880000	chr1	6220001	6880000	5prime	mutant_only	NA	0.074	NA	0.242438763899981	NA	73.4317107208957	660000	60000	6850000.5	-0.0455597741394893	9.26388707163554	5.16857411948841	0.0443836698908172	0.214192593502804	FALSE	FALSE	unchanged	gained	low	FALSE	minimal
stripe_0003	chr1	9540001	9600000	chr1	9540001	10080000	3prime	mutant_only	NA	0.077	NA	0.755065398428264	NA	70.0904761656794	540000	60000	9570000.5	-0.00437880759736891	8.88736212835094	0.0309247661064497	0.863651995064338	0.935526345964062	FALSE	FALSE	unchanged	gained	low	FALSE	minimal
stripe_0004	chr1	10720001	10780000	chr1	10070001	10780000	5prime	mutant_only	NA	0.045	NA	2.66203346495299	NA	63.8356194674824	710000	60000	10750000.5	0.0142793319610489	9.13764992608994	0.418820434722556	0.530998535021463	0.743477084430201	FALSE	FALSE	unchanged	gained	low	TRUE	minimal
stripe_0005	chr1	10810001	10860000	chr1	10810001	11580000	3prime	mutant_only	NA	0.07	NA	2.16428314114443	NA	56.9010789212362	770000	50000	10835000.5	0.010399162014969	8.82943997650355	0.317428160411364	0.584629038795221	0.773059791622955	FALSE	FALSE	unchanged	gained	low	TRUE	minimal
stripe_0007	chr1	12840001	12880000	chr1	12840001	13770000	3prime	mutant_only	NA	0.071	NA	0.457556164585433	NA	41.1001620661749	930000	40000	12860000.5	0.0244755521570026	8.30346227464735	0.967357711445765	0.346793990331075	0.607330775153929	FALSE	FALSE	unchanged	gained	low	TRUE	minimal
stripe_0014	chr1	23240001	23290000	chr1	22290001	23290000	5prime	mutant_only	NA	0.0995	NA	0.487337724370387	NA	42.1074415547306	1000000	50000	23265000.5	0.0364700512085783	8.72970961773068	1.94360331478352	0.191208658085466	0.440306625144746	FALSE	FALSE	unchanged	gained	low	TRUE	minimal
stripe_0020	chr1	34570001	34610000	chr1	34190001	34610000	5prime	mutant_only	NA	0.0785	NA	0.628878951995815	NA	105.593330992644	420000	40000	34590000.5	0.00278435837750662	8.52805138212124	0.0135682089836948	0.909401087226509	0.959441124592146	FALSE	FALSE	unchanged	gained	low	TRUE	minimal
stripe_0023	chr1	38750001	38780000	chr1	37850001	38780000	5prime	mutant_only	NA	0.075	NA	-1.96106324877546	NA	69.219262414865	930000	30000	38765000.5	-0.0381071945162222	8.67101274193083	3.37600170735772	0.0937076772345933	0.315983935068731	FALSE	FALSE	unchanged	gained	low	FALSE	minimal
stripe_0024	chr1	39500001	39550000	chr1	38810001	39550000	5prime	mutant_only	NA	0.0375	NA	1.62653265646945	NA	71.9132071566001	740000	50000	39525000.5	-0.0195942923169277	9.123737349261	0.762411385359357	0.401513066464073	0.645374723597941	FALSE	FALSE	unchanged	gained	low	FALSE	minimal
stripe_0027	chr1	51300001	51350000	chr1	49240001	51350000	5prime	mutant_only	NA	0.093	NA	0.716268062322485	NA	24.064375044302	2110000	50000	51325000.5	-0.0413279299890212	9.06734675449378	3.17748817298426	0.102665798811961	0.331458824686726	FALSE	FALSE	unchanged	gained	low	FALSE	minimal
stripe_0030	chr1	54940001	55010000	chr1	54400001	55010000	5prime	mutant_only	NA	0.05	NA	0.785579544625293	NA	81.8752496642103	610000	70000	54975000.5	-0.0350020281885445	9.52659053800771	1.30195622650646	0.278449683632041	0.549587138177106	FALSE	FALSE	unchanged	gained	low	FALSE	minimal
stripe_0033	chr1	57910001	57970000	chr1	57480001	57970000	5prime	mutant_only	NA	0.099	NA	1.24815753410098	NA	82.4881649329727	490000	60000	57940000.5	0.0772805868221336	8.94212610639689	12.3912884248753	0.00490693124872265	0.0788044770628193	FALSE	TRUE	unchanged	gained	high	TRUE	minimal
stripe_0035	chr1	61910001	61960000	chr1	61910001	62980000	3prime	mutant_only	NA	0.097	NA	1.11244192649959	NA	48.3020088366364	1070000	50000	61935000.5	0.0341404637114299	9.05476761132333	2.73138798076406	0.127046218933907	0.366134732173022	FALSE	FALSE	unchanged	gained	low	TRUE	minimal
