chr	start	end	0
chr1	3251831	3252331	1
chr1	3360847	3361347	1
chr1	3369429	3369929	1
chr1	3416058	3416558	1
chr1	3514473	3514973	1
chr1	3517836	3518336	1
chr1	3671248	3671748	1
chr1	3671781	3672281	1
chr1	3985965	3986465	1
chr1	4332350	4332850	2
chr1	4408991	4409491	1
chr1	4496300	4496800	1
chr1	4497104	4497604	1
chr1	4571624	4572124	4
chr1	4586002	4586502	1
chr1	4785476	4785989	1
chr1	4807537	4808141	2
chr1	4857398	4858063	1
chr1	4970532	4971032	2
chr1	5019184	5019684	6
chr1	5022792	5023292	3
chr1	5069767	5070660	2
chr1	5072263	5072763	2
chr1	5082974	5083474	7
chr1	5588215	5588715	1
chr1	5915247	5915747	1
chr1	5917148	5917648	1
chr1	6205946	6206446	1
chr1	6214488	6214988	13
chr1	6306566	6307066	2
chr1	6320499	6320999	1
chr1	6358967	6359643	1
chr1	6382624	6383124	1
chr1	6441028	6441833	3
chr1	6486980	6487480	1
chr1	6510430	6510930	1
chr1	6729456	6729956	4
chr1	6733767	6734267	4
chr1	6734690	6735190	2
chr1	6760481	6760981	3
chr1	6769907	6770407	3
chr1	6819839	6820339	13
chr1	6820863	6821363	4
chr1	6858948	6859448	1
chr1	6866862	6867362	3
chr1	7088622	7089169	1
chr1	7095316	7095816	1
chr1	7397619	7398279	1
chr1	7497717	7498217	1
chr1	9248422	9248922	1
chr1	9299187	9300128	1
chr1	9545068	9545657	1
chr1	9547697	9548197	1
chr1	9600948	9601750	1
chr1	9630046	9630546	22
chr1	9630925	9631425	1
chr1	9631456	9631956	1
chr1	9640332	9640832	1
chr1	9648727	9649664	3
chr1	9699718	9700974	1
chr1	9748132	9748715	1
chr1	9797692	9798356	1
chr1	9908387	9908905	1
chr1	9943826	9944368	1
chr1	9967682	9968182	1
chr1	10008886	10009413	1
chr1	10037736	10038418	2
chr1	10039673	10040173	6
chr1	10232420	10233360	1
chr1	10719695	10720195	1
chr1	10990738	10991238	1
chr1	10993214	10993785	1
chr1	11090744	11091244	1
chr1	11413854	11414524	1
chr1	12571969	12572469	3
chr1	12657407	12657907	3
chr1	12667312	12667812	1
chr1	12670926	12671426	1
chr1	12692026	12692526	1
chr1	12718080	12718580	3
chr1	12990137	12990637	1
chr1	12992229	12992900	1
chr1	13068587	13069087	1
chr1	13126913	13127413	1
chr1	13142306	13142806	2
chr1	13146885	13147385	3
chr1	13196831	13197331	5
chr1	13277439	13277939	2
chr1	13290041	13290541	1
chr1	13328824	13329324	1
chr1	13366531	13367031	2
chr1	13372200	13373144	13
chr1	13373344	13374335	1
chr1	13589624	13590160	1
chr1	13660220	13660796	1
chr1	13668520	13669020	1
chr1	14001404	14001904	1
chr1	14231845	14232782	4
chr1	14309598	14310485	1
chr1	14755191	14756242	1
