stripe_id	direction	logFC	FDR	se_hub_P60	se_hub_ENCODE	body_genes	body_gene_count	gene_symbol	log2FoldChange	padj	baseMean
stripe_89	gained	-0.0626	0.03218	TRUE	FALSE	Becn2,Chml,Exo1,Fh1,Grem2,Kmo,Opn3,Rgs7,Wdr64	9	Becn2	NA	NA	NA
stripe_89	gained	-0.0626	0.03218	TRUE	FALSE	Becn2,Chml,Exo1,Fh1,Grem2,Kmo,Opn3,Rgs7,Wdr64	9	Chml	NA	NA	NA
stripe_89	gained	-0.0626	0.03218	TRUE	FALSE	Becn2,Chml,Exo1,Fh1,Grem2,Kmo,Opn3,Rgs7,Wdr64	9	Exo1	-0.156483849365482	0.908726468801746	6.05983884041481
stripe_89	gained	-0.0626	0.03218	TRUE	FALSE	Becn2,Chml,Exo1,Fh1,Grem2,Kmo,Opn3,Rgs7,Wdr64	9	Fh1	0.0938570128066479	0.625404530098274	226.807799464773
stripe_89	gained	-0.0626	0.03218	TRUE	FALSE	Becn2,Chml,Exo1,Fh1,Grem2,Kmo,Opn3,Rgs7,Wdr64	9	Grem2	-0.0581183283732302	0.968877439643133	7.1407616063921
stripe_89	gained	-0.0626	0.03218	TRUE	FALSE	Becn2,Chml,Exo1,Fh1,Grem2,Kmo,Opn3,Rgs7,Wdr64	9	Kmo	NA	NA	NA
stripe_89	gained	-0.0626	0.03218	TRUE	FALSE	Becn2,Chml,Exo1,Fh1,Grem2,Kmo,Opn3,Rgs7,Wdr64	9	Opn3	-0.19784938676381	0.673171954584207	46.2719239291455
stripe_89	gained	-0.0626	0.03218	TRUE	FALSE	Becn2,Chml,Exo1,Fh1,Grem2,Kmo,Opn3,Rgs7,Wdr64	9	Rgs7	0.118205557563075	0.757772328855369	9500.47621239596
stripe_89	gained	-0.0626	0.03218	TRUE	FALSE	Becn2,Chml,Exo1,Fh1,Grem2,Kmo,Opn3,Rgs7,Wdr64	9	Wdr64	NA	NA	NA
stripe_117	lost	-0.0639	0.04063	TRUE	FALSE	Anapc16,Ascc1,Ddit4,Dnajb12,Mcu,Micu1,Oit3,Spock2	8	Anapc16	0.177759009588032	0.25709612702553297	183.104557210966
stripe_117	lost	-0.0639	0.04063	TRUE	FALSE	Anapc16,Ascc1,Ddit4,Dnajb12,Mcu,Micu1,Oit3,Spock2	8	Ascc1	-0.163721099625053	0.481502299052539	155.392134118591
