stripe_id	chr1	x1	x2	direction	logFC	FDR	body_genes	body_gene_count	se_hub_P60	se_hub_ENCODE	se_hub_any
stripe_1	chr1	3010001	3030000	gained	0.1691	9.716e-5	Xkr4	1	FALSE	FALSE	FALSE
stripe_2	chr1	3200001	3220000	gained	0.1934	4.547e-5	Xkr4	1	FALSE	FALSE	FALSE
stripe_3	chr1	3355001	3375000	gained	0.1647	3.56e-4	Xkr4	1	FALSE	FALSE	FALSE
stripe_4	chr1	3660001	3680000	gained	0.2445	4.682e-6	Xkr4	1	FALSE	FALSE	FALSE
stripe_5	chr1	13130001	13150000	lost	0.0737	0.0251	Lactb2,Ncoa2,Tram1,Xkr9	4	FALSE	FALSE	FALSE
stripe_6	chr1	13520001	13540000	lost	0.1322	0.00104	Ncoa2,Prdm14,Slco5a1	3	FALSE	FALSE	FALSE
stripe_7	chr1	17115001	17135000	lost	-0.0602	0.03547	Eloc,Jph1,Ly96,Stau2,Tmem70,Ube2w	6	FALSE	FALSE	FALSE
stripe_8	chr1	22980001	23000000	lost	-0.0631	0.02502	Rims1	1	FALSE	FALSE	FALSE
stripe_9	chr1	22980001	23000000	gained	-0.0619	0.02812	Rims1	1	FALSE	FALSE	FALSE
stripe_10	chr1	23475001	23505000	lost	-0.0784	0.007285	Ogfrl1	1	FALSE	FALSE	FALSE
stripe_11	chr1	25075001	25095000	lost	-0.1036	0.003459	Col19a1,Lmbrd1	2	FALSE	FALSE	FALSE
stripe_12	chr1	25150001	25175000	lost	0.0896	0.00459	Adgrb3,Gm20172	2	FALSE	FALSE	FALSE
stripe_13	chr1	26035001	26060000	gained	0.2119	7.175e-6	Adgrb3,Col19a1,Gm20172,Lmbrd1	4	FALSE	FALSE	FALSE
stripe_14	chr1	26675001	26695000	lost	0.1066	0.02078	Adgrb3,Spata31e2	2	FALSE	FALSE	FALSE
stripe_15	chr1	35830001	35850000	gained	-0.0819	0.01058	Arid5a,Hs6st1,Kansl3,Neurl3,Uggt1	5	FALSE	FALSE	FALSE
stripe_16	chr1	38185001	38205000	lost	0.072	0.01739	Aff3,Chst10,Lonrf2	3	FALSE	FALSE	FALSE
stripe_17	chr1	50950001	50965000	gained	-0.1389	0.001794	Cavin2	1	FALSE	FALSE	FALSE
stripe_18	chr1	51225001	51250000	gained	-0.1434	1.7e-4	NA	0	FALSE	FALSE	FALSE
stripe_19	chr1	53015001	53040000	lost	0.0762	0.03081	1700019D03Rik,Hibch,Inpp1,Mfsd6,Nemp2	5	FALSE	FALSE	FALSE
stripe_20	chr1	54660001	54680000	lost	0.0918	0.01402	Ankrd44,Coq10b,Hspd1,Hspe1,Mob4,Sf3b1	6	FALSE	FALSE	FALSE
stripe_21	chr1	61370001	61390000	gained	0.1557	4.257e-4	Pard3b	1	FALSE	FALSE	FALSE
stripe_22	chr1	61755001	61775000	gained	0.1769	9.477e-5	Pard3b	1	FALSE	FALSE	FALSE
stripe_23	chr1	61755001	61775000	gained	0.0668	0.04179	Nrp2	1	FALSE	FALSE	FALSE
stripe_24	chr1	61905001	61935000	lost	0.1502	4.832e-5	Nrp2	1	FALSE	FALSE	FALSE
stripe_25	chr1	62570001	62590000	gained	0.0966	0.01355	Pard3b	1	FALSE	FALSE	FALSE
stripe_26	chr1	64275001	64295000	lost	-0.0674	0.031	Adam23,Dytn,Fam237a,Fastkd2,Klf7,Mdh1b	6	FALSE	FALSE	FALSE
stripe_27	chr1	65915001	65935000	gained	0.0913	0.01974	Crygf,Pth2r	2	FALSE	FALSE	FALSE
stripe_28	chr1	72305001	72325000	gained	0.0615	0.04369	Ankar,Marchf4,Rpl37a,Smarcal1,Xrcc5	5	FALSE	FALSE	FALSE
