loop_id	direction	anchor1_annotation	anchor2_annotation	anchor1_gene	anchor2_gene
loop_3909	up	Distal Intergenic	Promoter (<=1kb)	Ccdc85a	Ccdc85a
loop_7340	up	Promoter (<=1kb)	Promoter (<=1kb)	Mtus1	Pcm1
loop_15623	down	Distal Intergenic	Promoter (<=1kb)	Mpdz	Nfib
loop_16094	up	Promoter (1-2kb)	Exon (ENSMUST00000036315.15/14799, exon 14 of 16)	Gria1	Gria1
loop_16964	down	Promoter (<=1kb)	Promoter (<=1kb)	Hdnr	Zfhx3
loop_51	down	Promoter (<=1kb)	3' UTR	Sall1	Irx5
loop_11648	down	Promoter (<=1kb)	Promoter (<=1kb)	Olig2	Sim2
loop_9583	down	Promoter (<=1kb)	Promoter (<=1kb)	Jhy	Mir125b-1
loop_2361	down	Promoter (1-2kb)	Promoter (<=1kb)	Galnt7	Galntl6
loop_4713	up	Exon (ENSMUST00000215363.1/ENSMUST00000215363.1, exon 3 of 5)	Promoter (<=1kb)	Mir6237	Cntn5
loop_8805	up	Distal Intergenic	Promoter (1-2kb)	Wrn	Gtf2e2
loop_12019	up	Promoter (<=1kb)	Distal Intergenic	Cip2a	Myh15
loop_19513	down	Promoter (<=1kb)	Promoter (<=1kb)	Nkx2-3	Pax2
loop_13109	down	Promoter (<=1kb)	Promoter (<=1kb)	Nkx2-3	Lbx1
loop_18042	down	Exon (ENSMUST00000236019.1/ENSMUST00000236019.1, exon 1 of 1)	Promoter (<=1kb)	Vax1	Emx2
loop_14438	down	Promoter (<=1kb)	Exon (ENSMUST00000132070.1/ENSMUST00000132070.1, exon 1 of 5)	Nkx2-4	Foxa2
loop_15566	down	Intron (ENSMUST00000139835.1/102635783, intron 1 of 1)	Promoter (<=1kb)	Gm11266	Nfib
loop_15592	down	Promoter (1-2kb)	Promoter (<=1kb)	Gm11266	Nfib
loop_16029	up	Promoter (<=1kb)	3' UTR	Gm21190	Gm21083
loop_16414	down	Promoter (<=1kb)	Promoter (<=1kb)	Bub3	Ebf3
loop_17706	up	Promoter (<=1kb)	Distal Intergenic	Gja1	4930467K11Rik
loop_20048	up	Intron (ENSMUST00000068911.12/14407, intron 5 of 9)	Promoter (<=1kb)	Gabrg3	Gabrg3
loop_21838	up	Promoter (1-2kb)	Promoter (<=1kb)	Pax9	Slc25a21
loop_58	down	Promoter (<=1kb)	Promoter (<=1kb)	Sox1	Irx5
loop_59	down	Promoter (<=1kb)	Promoter (<=1kb)	Hand2os1	Zfhx3
loop_60	down	Promoter (<=1kb)	Promoter (<=1kb)	Sall1	Zfhx3
loop_62	down	Promoter (<=1kb)	Promoter (<=1kb)	Hand2os1	Sall1
loop_225	down	Promoter (<=1kb)	Promoter (<=1kb)	Tbx2	Hoxb3os
loop_611	down	Promoter (<=1kb)	Promoter (<=1kb)	Lhx9	4930488B22Rik
loop_715	down	Promoter (<=1kb)	Promoter (<=1kb)	Dmrt3	Vax1
loop_964	up	3' UTR	Promoter (<=1kb)	Rars2	Mir3094
loop_966	down	Promoter (<=1kb)	Promoter (<=1kb)	Pax5	Prdm16
loop_1268	down	Promoter (<=1kb)	Exon (ENSMUST00000020071.3/20464, exon 2 of 11)	Ostm1	Sim1
loop_1271	down	Distal Intergenic	Promoter (<=1kb)	Tcf21	Alx1
loop_1314	up	Exon (ENSMUST00000212780.1/ENSMUST00000212780.1, exon 13 of 15)	Promoter (<=1kb)	1700026F02Rik	Or1ab2
loop_1325	down	Promoter (<=1kb)	Promoter (<=1kb)	Hdnr	Sall1
loop_1446	down	Promoter (<=1kb)	Promoter (<=1kb)	Bsx	Onecut1
loop_1512	down	Promoter (<=1kb)	Promoter (<=1kb)	Dlx4	Hoxb3
loop_1516	down	Promoter (<=1kb)	Promoter (<=1kb)	Tbx4	Hoxb3os
loop_2061	down	Promoter (<=1kb)	Promoter (<=1kb)	Gad1	Hoxd10
loop_2070	down	Promoter (<=1kb)	Promoter (<=1kb)	Foxa2	Tfap2c
loop_2167	down	Promoter (<=1kb)	Promoter (<=1kb)	Platr30	Neurog2
loop_2329	down	Promoter (<=1kb)	Intron (ENSMUST00000128112.7/320827, intron 1 of 3)	Mir7025	Cracd
loop_2330	up	Promoter (<=1kb)	Exon (ENSMUST00000080036.2/15194, exon 23 of 67)	Depdc5	Htt
loop_2586	down	Promoter (<=1kb)	Promoter (<=1kb)	Sall1	Irx3
loop_2588	down	Promoter (<=1kb)	Promoter (<=1kb)	Pou4f2	Sall1
loop_2729	down	Promoter (<=1kb)	Promoter (<=1kb)	Tbx2	Hoxb3
loop_3100	down	Promoter (<=1kb)	Promoter (<=1kb)	Nkx2-3	Vax1
loop_3102	down	Promoter (<=1kb)	Exon (ENSMUST00000236019.1/ENSMUST00000236019.1, exon 1 of 1)	Dmrt3	Vax1
loop_3208	down	Promoter (<=1kb)	Promoter (<=1kb)	Pax1	Tfap2c
loop_3291	up	Promoter (<=1kb)	Exon (ENSMUST00000057272.14/229227, exon 45 of 86)	Atp11b	Bltp1
loop_3471	down	Promoter (<=1kb)	Distal Intergenic	Tas2r144	Or6b1
loop_3596	down	Exon (ENSMUST00000217857.1/102640148, exon 2 of 3)	Promoter (<=1kb)	Gm36283	Syt1
loop_3951	up	Promoter (<=1kb)	Promoter (<=1kb)	Scfd1	Ralgapa1
loop_4540	up	Promoter (<=1kb)	Promoter (<=1kb)	Mdn1	Rars2
loop_4884	up	Promoter (<=1kb)	Promoter (<=1kb)	Sgcz	Tusc3
loop_4888	up	5' UTR	Promoter (<=1kb)	Haus8	Fcho1
loop_4905	down	Promoter (<=1kb)	Exon (ENSMUST00000210742.1/ENSMUST00000210742.1, exon 1 of 3)	Tenm3	Gm2516
loop_4911	down	Promoter (<=1kb)	Exon (ENSMUST00000210742.1/ENSMUST00000210742.1, exon 3 of 3)	Tenm3	Gm2516
loop_4914	up	Promoter (<=1kb)	Exon (ENSMUST00000212427.1/ENSMUST00000212427.1, exon 1 of 4)	Map1s	Fcho1
loop_4918	up	Exon (ENSMUST00000210742.1/ENSMUST00000210742.1, exon 1 of 3)	Promoter (<=1kb)	Gm2516	Hand2os1
loop_4921	up	Distal Intergenic	Promoter (<=1kb)	Lonrf1	Terf2ip
loop_5278	up	Promoter (<=1kb)	Promoter (<=1kb)	Acaca	Ints2
loop_5289	up	Exon (ENSMUST00000103201.7/107476, exon 16 of 56)	Promoter (<=1kb)	Acaca	Rps6kb1
loop_5346	up	Promoter (<=1kb)	Distal Intergenic	Ap3b1	Wdr41
loop_5406	up	Promoter (<=1kb)	Promoter (<=1kb)	Tut7	Bdp1
loop_5774	down	Promoter (<=1kb)	Promoter (<=1kb)	Ermard	Chd1
loop_6044	up	3' UTR	Promoter (<=1kb)	Pik3c3	Iws1
loop_6571	up	Promoter (<=1kb)	Promoter (<=1kb)	Mdn1	Rars2
loop_6585	up	Promoter (<=1kb)	Promoter (<=1kb)	Mdn1	Nfx1
loop_6730	up	Exon (ENSMUST00000049453.8/100763, exon 7 of 23)	Promoter (<=1kb)	Ube3c	Depdc5
loop_7111	up	Promoter (<=1kb)	Exon (ENSMUST00000214686.1/ENSMUST00000214686.1, exon 1 of 5)	Hace1	D030045P18Rik
loop_7202	up	Distal Intergenic	Promoter (<=1kb)	Gm2516	Hand2os1
