chr	Boundary	Gap_Score	TAD_Score1	TAD_Score2	Differential	Enriched_In	Type	robustness	shift_distance_kb	anchor_type
chr10	107070000	-2.24798539698123	1.51803851059801	2.28275606385784	Shifted	Matrix 2	Shifted	Neither	0.001	Other
chr10	107080000	2.31486615508146	1.71502801423208	0.904741496378782	Shifted	Matrix 1	Shifted	Neither	0.001	Other
chr10	107090000	-1.55862545180683	1.1937600829579	1.72298875573919	Non-Differential	Matrix 2	Non-Differential	Neither	NA	Poised_Enhancer
chr10	107250000	-0.883359748829305	1.41000861201166	1.70484697596271	Non-Differential	Matrix 2	Non-Differential	Neither	NA	Other
chr10	107260000	0.495400132075468	3.4919008222467	3.29674283471711	Non-Differential	Matrix 1	Non-Differential	Both	NA	Promoter
chr10	107370000	1.76196088274681	1.6171989884656	0.998278964527557	Non-Differential	Matrix 1	Non-Differential	Neither	NA	Active_Enhancer
chr10	107390000	0.919735861992688	3.80261698916538	3.45895171645111	Non-Differential	Matrix 1	Non-Differential	Both	NA	Active_Enhancer
chr10	107660000	0.338278365766698	1.7799423120428	1.65088814492128	Non-Differential	Matrix 1	Non-Differential	Neither	NA	Other
chr10	107680000	0.398623401672978	1.62715063853344	1.47834819774095	Non-Differential	Matrix 1	Non-Differential	Neither	NA	Other
chr10	107820000	-0.508997181518651	1.61324461879885	1.7775585022222	Non-Differential	Matrix 2	Non-Differential	Neither	NA	Other
chr10	107850000	1.23099914980367	2.27687992820103	1.83648601450886	Non-Differential	Matrix 1	Non-Differential	Neither	NA	Other
chr10	107980000	-1.21106519747955	1.27677006610336	1.68555463234864	Non-Differential	Matrix 2	Non-Differential	Neither	NA	Other
chr10	108000000	1.51167639070751	2.65890873898898	2.11905601766335	Non-Differential	Matrix 1	Non-Differential	Both	NA	Other
chr10	108150000	-2.56115099882199	3.17598294399704	4.03716500134102	Differential	Matrix 2	Strength Change	Both	NA	Promoter
chr10	108160000	1.011346627109	1.65645184084252	1.29612990906109	Non-Differential	Matrix 1	Non-Differential	Neither	NA	Promoter
chr10	108280000	0.944643995186542	1.64079151998712	1.30358294476417	Non-Differential	Matrix 1	Non-Differential	Neither	NA	Poised_Enhancer
chr10	108290000	-2.08268609776547	1.16620640694277	1.87636452073678	Differential	Matrix 2	Merge	Neither	NA	Other
chr10	108300000	-0.214149923659849	1.48438703073486	1.54791109397166	Non-Differential	Matrix 2	Non-Differential	Neither	NA	Other
chr10	108430000	-1.74313237807272	1.47186225386928	2.06278786262567	Non-Differential	Matrix 2	Non-Differential	Neither	NA	Other
chr10	108440000	3.10366289476455	2.20975156088721	1.12398195675829	Differential	Matrix 1	Complex	Neither	NA	Polycomb_Domain
chr10	108580000	2.18038744429894	1.62976882155047	0.86645465598447	Differential	Matrix 1	Complex	Neither	NA	Active_Enhancer
chr10	108720000	0.744906156665492	2.22860079513945	1.95618632147414	Non-Differential	Matrix 1	Non-Differential	Neither	NA	Active_Enhancer
chr10	108730000	2.66716348329093	2.76245930822683	1.82338228448875	Differential	Matrix 1	Strength Change	Neither	NA	Active_Enhancer
chr10	108870000	3.51608516510139	2.69303079007451	1.46166151203781	Shifted	Matrix 1	Shifted	Control_only	10.001	Active_Enhancer
chr10	108890000	-2.1539818191992	1.14997989108789	1.88483936374542	Shifted	Matrix 2	Shifted	Neither	10.001	Poised_Enhancer
chr10	109010000	5.59085368908342	3.66913016556077	1.71542224759229	Differential	Matrix 1	Strength Change	Control_only	NA	Promoter
chr10	109020000	3.14907996954538	3.55123850440465	2.44046831410119	Shifted	Matrix 1	Shifted	Control_only	0.001	Promoter
chr10	109030000	-3.20877582826652	0.529343247644646	1.63229914892565	Shifted	Matrix 2	Shifted	Neither	0.001	Other
chr10	109320000	-1.51307125396649	3.24360195649083	3.74285237537247	Non-Differential	Matrix 2	Non-Differential	Both	NA	Poised_Enhancer
chr10	109340000	0.57207185237788	1.549271800431	1.34119264433883	Non-Differential	Matrix 1	Non-Differential	Neither	NA	Poised_Enhancer
chr10	109480000	0.85167415643661	2.20314536595339	1.89408599925317	Non-Differential	Matrix 1	Non-Differential	Neither	NA	Poised_Enhancer
chr10	109490000	0.426837480502291	1.99424115541701	1.83315319603077	Non-Differential	Matrix 1	Non-Differential	Neither	NA	Poised_Enhancer
chr10	109640000	-1.48476517737394	1.36337477172137	1.86594999371324	Non-Differential	Matrix 2	Non-Differential	Neither	NA	Poised_Enhancer
chr10	109650000	-1.76468068629274	2.55449022268333	3.14531195962478	Non-Differential	Matrix 2	Non-Differential	Both	NA	Poised_Enhancer
chr10	109660000	2.3197235906161	3.3801523559393	2.55660081133912	Differential	Matrix 1	Strength Change	Both	NA	Active_Enhancer
chr10	109670000	2.82481942748665	2.06206120002152	1.07348690245133	Differential	Matrix 1	Complex	Neither	NA	Active_Enhancer
chr10	109750000	1.28459312834558	1.79915293346821	1.34360069965281	Non-Differential	Matrix 1	Non-Differential	Neither	NA	Active_Enhancer
chr10	109760000	2.8372809186587	3.84091222437587	2.83565884474272	Differential	Matrix 1	Strength Change	Both	NA	Active_Enhancer
chr10	109770000	-1.60663808573654	1.83748247379131	2.3787891955436	Non-Differential	Matrix 2	Non-Differential	Mutant_only	NA	Active_Enhancer
chr10	109910000	-0.051195823545763	1.54563658355563	1.55253483748604	Non-Differential	Matrix 2	Non-Differential	Neither	NA	Poised_Enhancer
chr10	109920000	0.73054167818544	2.05541740939457	1.78916235847846	Non-Differential	Matrix 1	Non-Differential	Neither	NA	Poised_Enhancer
chr10	110110000	-1.99549429716832	1.92825017317851	2.6030335732093	Non-Differential	Matrix 2	Non-Differential	Neither	NA	Poised_Enhancer
chr10	110230000	-1.88034315152501	2.19423285045323	2.82745168171689	Non-Differential	Matrix 2	Non-Differential	Neither	NA	Poised_Enhancer
chr10	110370000	-0.115339634578695	2.48100226506565	2.50351194616149	Non-Differential	Matrix 2	Non-Differential	Neither	NA	Poised_Enhancer
chr10	110510000	-2.34986422825059	2.63137302328072	3.42347731036809	Differential	Matrix 2	Strength Change	Mutant_only	NA	Other
chr10	110700000	0.730432978586131	2.24688787365019	1.97933761531614	Non-Differential	Matrix 1	Non-Differential	Neither	NA	Other
chr10	110720000	-1.81906032585127	0.9744039950994	1.59497804842287	Non-Differential	Matrix 2	Non-Differential	Neither	NA	Other
chr10	110800000	2.49611929900616	2.57110901133792	1.69235344209667	Differential	Matrix 1	Strength Change	Neither	NA	Polycomb_Domain
chr10	110810000	-0.389461428731538	1.59737025388104	1.72056922352224	Non-Differential	Matrix 2	Non-Differential	Neither	NA	Polycomb_Domain
chr10	110970000	0.704908903627578	2.17769188016264	1.91942597268202	Non-Differential	Matrix 1	Non-Differential	Neither	NA	Poised_Enhancer
chr10	110980000	-1.06210891637308	1.76036318771077	2.11440985610904	Non-Differential	Matrix 2	Non-Differential	Neither	NA	Poised_Enhancer
