stripe_id	chr1	x1	x2	direction	logFC	FDR	body_genes	body_gene_count	se_hub_P60	se_hub_ENCODE	se_hub_any
stripe_1	chr1	6395001	6415000	lost	-0.0075	0.8884	Pcmtd1,St18	2	FALSE	FALSE	FALSE
stripe_2	chr1	12825001	12840000	gained	0.0373	0.5084	Sulf1	1	FALSE	FALSE	FALSE
stripe_3	chr1	34585001	34610000	lost	-0.0137	0.8049	Amer3,Ccdc115,Cfc1,Imp4,Prss39,Prss40,Ptpn18	7	FALSE	FALSE	FALSE
stripe_4	chr1	37445001	37465000	gained	-0.0136	0.8171	Cracdl,Lipt1,Mgat4a,Tsga10	4	FALSE	FALSE	FALSE
stripe_5	chr1	54965001	54985000	lost	-0.0388	0.5954	Ankrd44	1	FALSE	FALSE	FALSE
stripe_6	chr1	106705001	106725000	lost	-0.0126	0.8437	Bcl2	1	FALSE	FALSE	FALSE
stripe_7	chr1	154695001	154725000	gained	-0.0132	0.8247	NA	0	FALSE	FALSE	FALSE
stripe_8	chr1	160725001	160750000	lost	0.0194	0.7569	Cenpl,Dars2,Rabgap1l,Rc3h1,Serpinc1,Zbtb37	6	FALSE	FALSE	FALSE
stripe_9	chr1	169335001	169360000	lost	0.0754	0.1412	Pbx1	1	FALSE	FALSE	FALSE
stripe_10	chr1	175930001	175950000	gained	-0.0465	0.326	Cep170,Pld5,Sdccag8	3	FALSE	FALSE	FALSE
stripe_11	chr1	181875001	181910000	gained	-5e-4	0.9935	Capn2,Degs1,Enah,Fbxo28,Srp9,Trp53bp2,Vmn1r1	7	FALSE	FALSE	FALSE
stripe_12	chr1	183420001	183445000	lost	-0.0014	0.9859	1700056E22Rik,Dusp10	2	FALSE	FALSE	FALSE
stripe_13	chr10	3320001	3355000	gained	-0.0487	0.2741	Iyd,Plekhg1,Ppp1r14c	3	FALSE	FALSE	FALSE
stripe_14	chr10	6020001	6045000	gained	-0.0359	0.4713	Cnksr3,Ipcef1,Oprm1	3	FALSE	FALSE	FALSE
stripe_15	chr10	63565001	63600000	gained	0.0183	0.7295	Lrrtm3	1	FALSE	FALSE	FALSE
stripe_16	chr10	109480001	109505000	gained	-0.0597	0.1871	Brcc3dc,Syt1	2	FALSE	FALSE	FALSE
stripe_17	chr10	119065001	119090000	gained	0.0175	0.7194	Dyrk2,Ifng	2	FALSE	FALSE	FALSE
