chr	pos1	pos2	chr2	pos3	pos4	length	width	Mean	maxpixel	pvalue	Stripiness
chr1	3200001	3240000	chr1	3200001	5080000	1880000	40000	272180.88810754544	95.0%	0.27	-1.195636541796226
chr1	4720001	4750000	chr1	4720001	6410000	1690000	30000	140147.8721534933	95.0%	0.788	-1.6386042951153716
chr1	4650001	4720000	chr1	3540001	4720000	1180000	70000	214073.95048190447	95.0%	0.676	-0.9477557802333401
chr1	4730001	4780000	chr1	3300001	4780000	1480000	50000	189085.3350235325	95.0%	0.454	-0.8878976657371342
chr1	6440001	6470000	chr1	4750001	6470000	1720000	30000	149465.56199417918	95.0%	0.574	-0.47162840359904595
chr1	5050001	5090000	chr1	3320001	5090000	1770000	40000	152470.7864834954	95.0%	0.668	-0.8540203750369225
chr1	6190001	6220000	chr1	3210001	6220000	3010000	30000	142175.7873521915	95.0%	0.389	-0.7609547223323925
chr1	4880001	4920000	chr1	3260001	4920000	1660000	40000	129892.22665080099	95.0%	0.7985	-0.7179532118550551
chr1	6800001	6840000	chr1	3310001	6840000	3530000	40000	238742.60595285593	95.0%	0.749	-1.437362178344779
chr1	4160001	4200000	chr1	3140001	4200000	1060000	40000	122013.8099566784	95.0%	0.875	-0.9646732151900046
chr1	4330001	4370000	chr1	4330001	5640000	1310000	40000	114387.32481753814	95.0%	0.591	-0.3833178751573186
chr1	4380001	4420000	chr1	4380001	5640000	1260000	40000	148283.0979096491	95.0%	0.567	-0.5057872108449115
chr1	4610001	4650000	chr1	4610001	6290000	1680000	40000	87529.652647831	95.0%	0.775	-0.769729013881813
chr1	4600001	4640000	chr1	3230001	4640000	1410000	40000	95613.92015332871	95.0%	0.781	-0.5752239052196353
chr1	4940001	4970000	chr1	3750001	4970000	1220000	30000	221361.50604439768	95.0%	0.6214999999999999	-0.5844172708119774
chr1	6650001	6690000	chr1	3400001	6690000	3290000	40000	123611.07605934504	95.0%	0.661	-0.8380282322787513
chr1	5090001	5130000	chr1	5090001	6870000	1780000	40000	108823.46919923702	95.0%	0.7424999999999999	-0.6273158429965985
chr1	7570001	7610000	chr1	5310001	7610000	2300000	40000	102898.66465857612	95.0%	0.3325	-0.42162444455782927
chr1	5410001	5450000	chr1	5410001	5910000	500000	40000	213096.57997930315	95.0%	0.7075	-0.42978892978375083
chr1	5720001	5770000	chr1	5720001	7910000	2190000	50000	58895.864556616616	95.0%	0.624	-0.3844532896247565
chr1	7340001	7380000	chr1	5100001	7380000	2280000	40000	88733.14291602948	95.0%	0.7545	-1.9371017962194208
chr1	5360001	5400000	chr1	5360001	5910000	550000	40000	249797.6516013883	95.0%	0.438	-0.28151324055700666
chr1	7300001	7360000	chr1	7300001	8110000	810000	60000	176961.83390610517	95.0%	0.531	-0.21000457560932434
chr1	7060001	7090000	chr1	5910001	7090000	1180000	30000	310365.66186725354	95.0%	0.6775	-5.607477135061553
chr1	7050001	7080000	chr1	7050001	7800000	750000	30000	351383.6123482527	95.0%	0.608	-0.8225887271309351
chr1	6080001	6120000	chr1	6080001	7990000	1910000	40000	83357.46698444556	95.0%	0.739	-1.278881347601593
chr1	8000001	8060000	chr1	7430001	8060000	630000	60000	107381.65563093494	95.0%	0.755	-0.23531277278066443
chr1	8070001	8120000	chr1	7430001	8120000	690000	50000	178408.8907435315	95.0%	0.448	-0.09520342017829274
chr1	8850001	8900000	chr1	8850001	9530000	680000	50000	262974.1363253142	95.0%	0.393	-0.21480493839876574
chr1	9560001	9600000	chr1	7080001	9600000	2520000	40000	110481.7313024716	95.0%	0.747	-0.7645231877140843
chr1	10020001	10070000	chr1	7080001	10070000	2990000	50000	94125.60087540562	95.0%	0.58	-0.14744711996847645
