Region_ID	Chr	Start	End	Gene_Name	Annotation	Difference	pvalue	adj_pvalue	ctrl_avg_PC1	mut_avg_PC1	Region_size	direction	direction_label	plot_label
chr13-19250000	chr13	19250000	19275000	Stard3nl	Intergenic	-0.154	0.000934639236536374	0.00380119738893966	0.0783333333333333	-0.0756666666666667	25000	A_to_B_in_Mutant	More Inactive (A->B)	Stard3nl
chr13-63250000	chr13	63250000	63275000	Aopep	intron (NR_110520, intron 2 of 5)	0.0173333333333333	0.535934181064677	0.626096786825715	1.50966666666667	1.527	25000	B_to_A_in_Mutant	More Active (B->A)	Aopep
chr12-43675000	chr12	43675000	43700000	Dnajb9	Intergenic	-0.00866666666666653	0.663920998875715	0.738384626674831	-1.07366666666667	-1.08233333333333	25000	A_to_B_in_Mutant	More Inactive (A->B)	Dnajb9
chr3-33575000	chr3	33575000	33600000	Ttc14	Intergenic	-0.0549999999999999	0.033480020506935	0.0657725193804103	-1.112	-1.167	25000	A_to_B_in_Mutant	More Inactive (A->B)	Ttc14
chr1-108425000	chr1	108425000	108450000	D830032E09Rik	Intergenic	-0.228	6.68922912918361e-05	0.000556612108981585	-0.747666666666667	-0.975666666666667	25000	A_to_B_in_Mutant	More Inactive (A->B)	D830032E09Rik
chrX-3050000	chrX	3050000	3075000	Btbd35f23	Intergenic	-0.0279999999999998	0.180010083384864	0.261025907592952	-0.715666666666667	-0.743666666666667	25000	A_to_B_in_Mutant	More Inactive (A->B)	Btbd35f23
chr16-63350000	chr16	63350000	63375000	Epha3	Intergenic	-0.0943333333333333	0.0233602515532446	0.0490086832116622	-0.549666666666667	-0.644	25000	A_to_B_in_Mutant	More Inactive (A->B)	Epha3
chrX-44650000	chrX	44650000	44675000	Dcaf12l1	Intergenic	0.0796666666666667	0.037396661052457	0.0720154366938586	-0.232	-0.152333333333333	25000	B_to_A_in_Mutant	More Active (B->A)	Dcaf12l1
chr16-19350000	chr16	19350000	19375000	Or2m13	Intergenic	0.0170000000000001	0.325024754348587	0.42136692423404	-1.24733333333333	-1.23033333333333	25000	B_to_A_in_Mutant	More Active (B->A)	Or2m13
chr11-94000000	chr11	94000000	94025000	Spag9	intron (NM_027569, intron 1 of 28)	-0.00766666666666684	0.653747113552935	0.72994641877292	1.199	1.19133333333333	25000	A_to_B_in_Mutant	More Inactive (A->B)	Spag9
chr2-60875000	chr2	60875000	60900000	Rbms1	intron (NM_020296, intron 1 of 13)	0.117666666666667	0.00193574878893287	0.00667180987666231	-0.614666666666667	-0.497	25000	B_to_A_in_Mutant	More Active (B->A)	Rbms1
chr5-115100000	chr5	115100000	115125000	Rpl37rt	intron (NM_007383, intron 4 of 9)	-0.018	0.410587330942012	0.508076313505816	1.31766666666667	1.29966666666667	25000	A_to_B_in_Mutant	More Inactive (A->B)	Rpl37rt
chrX-120425000	chrX	120425000	120450000	H2ab3	intron (NR_073451, intron 3 of 7)	0.372	3.82414013075252e-06	8.61433089929753e-05	-1.002	-0.63	25000	B_to_A_in_Mutant	More Active (B->A)	H2ab3
chr6-79125000	chr6	79125000	79150000	Gm20362	Intergenic	0.0160000000000002	0.382139596861561	0.479608904680112	-1.17733333333333	-1.16133333333333	25000	B_to_A_in_Mutant	More Active (B->A)	Gm20362
chr10-114175000	chr10	114175000	114200000	Gm15723	Intergenic	-0.0789999999999998	0.0137467147957685	0.0318754591041046	-0.968333333333333	-1.04733333333333	25000	A_to_B_in_Mutant	More Inactive (A->B)	Gm15723
chr11-93525000	chr11	93525000	93550000	Utp18	intron (NM_001361708, intron 5 of 9)	-0.244666666666667	0.000144690044743028	0.000963714409372906	0.494333333333333	0.249666666666667	25000	A_to_B_in_Mutant	More Inactive (A->B)	Utp18
chr10-123225000	chr10	123225000	123250000	Tafa2	Intergenic	-0.158	0.000279916705157549	0.00153962324520117	-0.0243333333333333	-0.182333333333333	25000	A_to_B_in_Mutant	More Inactive (A->B)	Tafa2
