Region_ID	Chr	Start	End	Gene_Name	Annotation	Difference	pvalue	adj_pvalue	ctrl_avg_PC1	mut_avg_PC1	Region_size	direction	direction_label	plot_label	significant
chrX-88200000	chrX	88200000	88225000	Il1rapl1	Intergenic	-0.665333333333334	2.36311413800804e-09	9.74750226756007e-06	-0.00166666666666667	-0.667	25000	A_to_B_in_Mutant	More Inactive (A->B)	Il1rapl1	TRUE
chr12-26850000	chr12	26850000	26875000	4933409F18Rik	Intergenic	0.741333333333333	2.67674295420212e-09	9.74750226756007e-06	-0.0923333333333333	0.649	25000	B_to_A_in_Mutant	More Active (B->A)	4933409F18Rik	TRUE
chrX-35825000	chrX	35825000	35850000	Dock11	Intergenic	0.803333333333334	2.1965186578755e-09	9.74750226756007e-06	0.0593333333333333	0.862666666666667	25000	B_to_A_in_Mutant	More Active (B->A)	Dock11	TRUE
chr6-121450000	chr6	121450000	121475000	Iqsec3	intron (NR_110358, intron 1 of 13)	1.07033333333333	3.04754426465989e-09	9.74750226756007e-06	-0.175666666666667	0.894666666666667	25000	B_to_A_in_Mutant	More Active (B->A)	Iqsec3	TRUE
chr8-16850000	chr8	16850000	16875000	Csmd1	intron (NM_053171, intron 3 of 69)	0.895000000000001	4.89988684885787e-10	9.74750226756007e-06	-0.908666666666667	-0.0136666666666667	25000	B_to_A_in_Mutant	More Active (B->A)	Csmd1	TRUE
chr9-41300000	chr9	41300000	41325000	Mir100hg	Intergenic	0.700333333333334	3.87700623096301e-09	9.74750226756007e-06	-0.572666666666667	0.127666666666667	25000	B_to_A_in_Mutant	More Active (B->A)	Mir100hg	TRUE
chr10-108500000	chr10	108500000	108525000	Gm36283	intron (NM_001358504, intron 10 of 11)	-1.592	2.55409383447137e-09	9.74750226756007e-06	0.839	-0.753	25000	A_to_B_in_Mutant	More Inactive (A->B)	Gm36283	TRUE
chr9-75825000	chr9	75825000	75850000	Bmp5	intron (NM_007555, intron 2 of 6)	-0.760666666666667	8.26560617441798e-10	9.74750226756007e-06	-0.141	-0.901666666666667	25000	A_to_B_in_Mutant	More Inactive (A->B)	Bmp5	TRUE
chr2-70300000	chr2	70300000	70325000	Sp5	intron (NM_177376, intron 26 of 34)	0.921666666666667	2.87758015234316e-10	9.74750226756007e-06	-0.841666666666667	0.08	25000	B_to_A_in_Mutant	More Active (B->A)	Sp5	TRUE
chr8-16950000	chr8	16950000	16975000	Csmd1	intron (NM_053171, intron 3 of 69)	1.01066666666667	3.98604327412079e-09	9.74750226756007e-06	-0.828333333333333	0.182333333333333	25000	B_to_A_in_Mutant	More Active (B->A)	Csmd1	TRUE
chrX-35925000	chrX	35925000	35950000	Dock11	intron (NM_001009947, intron 1 of 52)	0.758	1.37014867527502e-09	9.74750226756007e-06	0.595333333333333	1.35333333333333	25000	B_to_A_in_Mutant	More Active (B->A)	Dock11	TRUE
chr12-26875000	chr12	26875000	26900000	4933409F18Rik	Intergenic	0.757	1.77359436349697e-09	9.74750226756007e-06	-0.117	0.64	25000	B_to_A_in_Mutant	More Active (B->A)	4933409F18Rik	TRUE
chr10-108575000	chr10	108575000	108600000	Brcc3dc	intron (NM_001358504, intron 9 of 11)	-1.868	3.0508551752917e-09	9.74750226756007e-06	1.244	-0.624	25000	A_to_B_in_Mutant	More Inactive (A->B)	Brcc3dc	TRUE
chr8-17000000	chr8	17000000	17025000	Csmd1	intron (NM_053171, intron 3 of 69)	1.00966666666667	3.95353329766992e-09	9.74750226756007e-06	-0.702666666666667	0.307	25000	B_to_A_in_Mutant	More Active (B->A)	Csmd1	TRUE
chr8-17325000	chr8	17325000	17350000	Csmd1	intron (NM_053171, intron 1 of 69)	0.799	2.64801493153074e-09	9.74750226756007e-06	-0.473	0.326	25000	B_to_A_in_Mutant	More Active (B->A)	Csmd1	TRUE
chr9-75800000	chr9	75800000	75825000	Bmp5	intron (NM_007555, intron 1 of 6)	-0.974333333333334	1.98798632349396e-09	9.74750226756007e-06	0.187	-0.787333333333333	25000	A_to_B_in_Mutant	More Inactive (A->B)	Bmp5	TRUE
chr10-60575000	chr10	60575000	60600000	Gm51803	intron (NR_045556, intron 7 of 68)	0.631333333333333	2.53286424202553e-09	9.74750226756007e-06	0.27	0.901333333333333	25000	B_to_A_in_Mutant	More Active (B->A)	Gm51803	TRUE
chrX-87125000	chrX	87125000	87150000	Gm41	intron (NM_001160403, intron 5 of 10)	-1.057	2.32341371207194e-09	9.74750226756007e-06	0.537666666666667	-0.519333333333333	25000	A_to_B_in_Mutant	More Inactive (A->B)	Gm41	TRUE
chrX-143750000	chrX	143750000	143775000	Capn6	intron (NM_001195046, intron 9 of 15)	0.656	3.70418132109636e-09	9.74750226756007e-06	0.144666666666667	0.800666666666667	25000	B_to_A_in_Mutant	More Active (B->A)	Capn6	TRUE
chr2-166350000	chr2	166350000	166375000	Gm14268	Intergenic	0.584333333333333	4.12112980342884e-09	9.74750226756007e-06	0.450666666666667	1.035	25000	B_to_A_in_Mutant	More Active (B->A)	Gm14268	TRUE
chrX-86725000	chrX	86725000	86750000	Gm41	Intergenic	-0.850666666666667	4.0865382916957e-09	9.74750226756007e-06	0.0493333333333333	-0.801333333333333	25000	A_to_B_in_Mutant	More Inactive (A->B)	Gm41	TRUE
chr8-17125000	chr8	17125000	17150000	Csmd1	intron (NM_053171, intron 2 of 69)	0.904666666666667	2.33710285014613e-09	9.74750226756007e-06	-0.763	0.141666666666667	25000	B_to_A_in_Mutant	More Active (B->A)	Csmd1	TRUE
chr1-3350000	chr1	3350000	3375000	Xkr4	intron (NM_001011874, intron 2 of 2)	1.025	1.62784636035165e-09	9.74750226756007e-06	-0.609	0.416	25000	B_to_A_in_Mutant	More Active (B->A)	Xkr4	TRUE
chr2-162200000	chr2	162200000	162225000	Ptprtos	intron (NM_021464, intron 6 of 29)	0.796333333333334	2.66470967655062e-09	9.74750226756007e-06	-0.177	0.619333333333333	25000	B_to_A_in_Mutant	More Active (B->A)	Ptprtos	TRUE
chr10-108475000	chr10	108475000	108500000	Gm36283	Intergenic	-1.33466666666667	2.68149907213048e-09	9.74750226756007e-06	0.574	-0.760666666666667	25000	A_to_B_in_Mutant	More Inactive (A->B)	Gm36283	TRUE
chrX-87050000	chrX	87050000	87075000	Gm41	intron (NM_001160403, intron 5 of 10)	-1.029	3.45493258643661e-09	9.74750226756007e-06	0.525666666666667	-0.503333333333333	25000	A_to_B_in_Mutant	More Inactive (A->B)	Gm41	TRUE
chr3-35075000	chr3	35075000	35100000	Mir6378	Intergenic	1.10533333333333	8.5951361967458e-10	9.74750226756007e-06	-0.351666666666667	0.753666666666667	25000	B_to_A_in_Mutant	More Active (B->A)	Mir6378	TRUE
chr13-72700000	chr13	72700000	72725000	Irx2	Intergenic	1.051	3.49123811612186e-09	9.74750226756007e-06	-0.121	0.93	25000	B_to_A_in_Mutant	More Active (B->A)	Irx2	TRUE
