chr	Boundary	Gap_Score	TAD_Score1	TAD_Score2	Differential	Enriched_In	Type	robust_in_ctrl	robust_in_mut	robustness	shift_distance	shift_distance_kb
chr8	30100000	2.465423850930317	2.3989715488204193	1.494727231693006	Differential	Matrix 2	Complex	FALSE	FALSE	Neither	NA	NA
chr8	30220000	-0.4958565661510258	1.6915103694339253	1.8613307777825912	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr8	30230000	1.1429958220426617	3.5290657713717715	3.096458093448465	Non-Differential	Matrix 2	Non-Differential	TRUE	TRUE	Both	NA	NA
chr8	30540000	0.6442052062937433	2.022919165355173	1.77890883454464	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr8	30550000	0.33867726835199413	1.6632749138149263	1.5316686237150965	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr8	30680000	1.0404276287187757	1.6867533038271438	1.3014189749683824	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr8	30830000	-1.832146934662738	1.456555796544561	2.1105854644058697	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr8	30840000	-1.2923357499772352	1.1863162720814802	1.646766690228301	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr8	30940000	-0.5830537205826357	1.3424572603627356	1.5457228337289597	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr8	30950000	-1.3315764118231013	1.801429888571531	2.2726530241298577	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr8	30960000	-1.4696295217891988	1.0540515938752646	1.579305099678454	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr8	31080000	0.5200734595540583	1.502230584102484	1.305963757485716	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr8	31090000	0.8883262753156773	5.281471743642549	4.93118711889838	Non-Differential	Matrix 2	Non-Differential	TRUE	TRUE	Both	NA	NA
chr8	31290000	-0.5954605881540963	2.053989082146982	2.257795993311076	Non-Differential	Matrix 1	Non-Differential	FALSE	TRUE	Mutant_only	NA	NA
chr8	31300000	1.5916303636882885	2.138903738620513	1.5518710859972351	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr8	31730000	-0.9845084829812026	2.006039318810942	2.350705697788309	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr8	31890000	1.588916291470272	1.6014996135012831	1.018425260248577	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr8	32000000	0.00949133949774501	1.6514862535624515	1.638906213451497	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr8	32010000	-1.7780352947669464	2.174076869801506	2.8045762895483093	Non-Differential	Matrix 1	Non-Differential	FALSE	TRUE	Mutant_only	NA	NA
chr8	32200000	0.8772255735552368	2.1527699435657195	1.8238314690019948	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr8	32290000	-2.7180864935781246	3.86549349908968	4.826336530326527	Differential	Matrix 1	Strength Change	TRUE	TRUE	Both	NA	NA
chr8	32630000	-0.9544404481820636	2.0822538089429443	2.4156319599630036	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr8	32780000	-1.0282271226764192	1.5059530619801924	1.8691891766947288	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr8	32790000	1.446320251677774	1.6304493749877131	1.098745862692406	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA
