gene_symbol	gene_class	feature_label	n_features	min_distance	median_distance
0610040B10Rik	invariant	ChromHMM_ActiveEnhancer	21	141653	874253
0610040B10Rik	invariant	K27ac_ChIP	29	35027	840514.5
0610040B10Rik	invariant	P60	2	510760	573297.75
1110004F10Rik	invariant	ChromHMM_ActiveEnhancer	6	612697	1281297
1110004F10Rik	invariant	K27ac_ChIP	14	8483	1549850
1110015O18Rik	invariant	ChromHMM_ActiveEnhancer	3	430792	452892
1110015O18Rik	invariant	K27ac_ChIP	1	777586	777586
1110065P20Rik	invariant	ChromHMM_ActiveEnhancer	15	785904	1399604
1110065P20Rik	invariant	K27ac_ChIP	44	899.5	1337806.25
1110065P20Rik	invariant	P60	3	1180881.5	1268382
1300002E11Rik	invariant	ChromHMM_ActiveEnhancer	38	58182	884332
1300002E11Rik	invariant	K27ac_ChIP	43	137.5	910902
1300002E11Rik	invariant	P60	2	992932	1041793
1500015A07Rik	invariant	ChromHMM_ActiveEnhancer	96	12590	385190
1500015A07Rik	invariant	K27ac_ChIP	38	18896	434813.5
1500015A07Rik	invariant	P60	3	132446.5	216946.5
1600010M07Rik	invariant	ChromHMM_ActiveEnhancer	32	163598	747450
1600010M07Rik	invariant	K27ac_ChIP	34	13494	657405.5
1600010M07Rik	invariant	P60	1	1114735.5	1114735.5
1600012H06Rik	DEG_up	ChromHMM_ActiveEnhancer	27	16716	1238484
1600012H06Rik	DEG_up	ENCODE	1	1391284	1391284
1600012H06Rik	DEG_up	K27ac_ChIP	28	35380.5	1034159.25
1700001K19Rik	invariant	ChromHMM_ActiveEnhancer	34	23881	568431
1700001K19Rik	invariant	K27ac_ChIP	51	13083	892393
1700001K19Rik	invariant	P60	2	988066	1420123.5
1700001L05Rik	invariant	ChromHMM_ActiveEnhancer	31	61182	1160682
1700001L05Rik	invariant	K27ac_ChIP	53	188318.5	1296574.5
1700001L05Rik	invariant	P60	3	1093582.5	1521058
1700008O03Rik	invariant	ChromHMM_ActiveEnhancer	3	6416	67616
1700008O03Rik	invariant	K27ac_ChIP	76	1112.5	709675.5
1700008O03Rik	invariant	P60	6	58214	795065.5
1700019A02Rik	DEG_down	ChromHMM_ActiveEnhancer	148	23864	928750
1700019A02Rik	DEG_down	K27ac_ChIP	39	37795.5	1217700.5
1700019D03Rik	invariant	ChromHMM_ActiveEnhancer	160	17221	1052671
1700019D03Rik	invariant	K27ac_ChIP	35	67520.5	1050243.5
1700020L24Rik	DEG_down	ChromHMM_ActiveEnhancer	17	28623	979577
1700020L24Rik	DEG_down	K27ac_ChIP	35	24776.5	870646.5
1700020L24Rik	DEG_down	P60	2	1086913.5	1306986.25
1700023F02Rik	DEG_down	ChromHMM_ActiveEnhancer	50	25923	757677
1700023F02Rik	DEG_down	K27ac_ChIP	17	103615.5	831161.5
1700023F02Rik	DEG_down	P60	1	809535	809535
1700025G04Rik	invariant	ChromHMM_ActiveEnhancer	95	8125	885175
1700025G04Rik	invariant	K27ac_ChIP	32	947	812732.25
1700025G04Rik	invariant	P60	4	3356.5	494965.75
1700030J22Rik	invariant	ChromHMM_ActiveEnhancer	59	113359	1222659
1700030J22Rik	invariant	K27ac_ChIP	18	97.5	653099.25
1700030J22Rik	invariant	P60	1	128389.5	128389.5
1700048O20Rik	invariant	ChromHMM_ActiveEnhancer	51	10677	635723
1700048O20Rik	invariant	ENCODE	1	99988	99988
1700048O20Rik	invariant	K27ac_ChIP	48	28098	535593.75
1700048O20Rik	invariant	P60	3	104904.5	206667
1700066M21Rik	invariant	ChromHMM_ActiveEnhancer	24	650580	1781280
1700066M21Rik	invariant	K27ac_ChIP	22	29079.5	1271267.5
1700066M21Rik	invariant	P60	2	1839833	1927831.5
1700086O06Rik	invariant	ChromHMM_ActiveEnhancer	131	14335	789435
1700086O06Rik	invariant	K27ac_ChIP	64	489.5	756932.5
1700086O06Rik	invariant	P60	5	53325.5	681486.5
1700102P08Rik	invariant	ChromHMM_ActiveEnhancer	20	191605	966505
