gene_symbol	gene_class	log2FoldChange	padj	baseMean	chr	tss
Xkr4	DEG_up	0.49966638750241	4.15753157335444e-4	18021.6553492442	chr1	3671498
Cpa6	DEG_down	-0.915884653228905	1.13804713741477e-4	68.2851039831459	chr1	10719945
Slco5a1	DEG_up	0.471359902439218	2.45301533007383e-4	989.036769660917	chr1	12992650
Sbspon	DEG_down	-0.636371855233624	0.0406251583610406	46.9519357533162	chr1	15892722
Gm16070	DEG_up	1.42315852664339	5.17593655613782e-4	15.3418730549478	chr1	17727646
Crispld1	DEG_up	1.76509519237609	9.14278486049968e-7	22.2240165430337	chr1	17727045
Kcnq5	DEG_down	-0.676678332046434	0.00228597270112555	14326.9893899396	chr1	21961942
Col9a1	DEG_down	-0.846105630112319	5.02304550240466e-7	215.579002704436	chr1	24177610
Col19a1	DEG_down	-2.23057073525185	1.24170167318706e-43	877.969647802016	chr1	24587472
Mrps9	DEG_down	-0.362908676130045	0.0210468942782067	1238.31722608468	chr1	42851233
9330175M20Rik	DEG_down	-0.578423630854717	8.36469425422126e-5	136.218211453562	chr1	51333779
Nabp1	DEG_down	-0.968597486685696	1.14062055288237e-5	88.0480715688528	chr1	51478425
Myo1b	DEG_down	-0.771371862224454	7.63224155497687e-8	1106.67482328593	chr1	51916071
Hibch	DEG_down	-0.392719558422372	0.00594443088223504	317.291015463229	chr1	52845013
1700019A02Rik	DEG_down	-1.0412344567048	2.12931065023684e-6	66.5842135833009	chr1	53187636
Pms1	DEG_down	-0.907726557304155	4.70232776990852e-11	586.28219723591	chr1	53297018
Ankrd44	DEG_down	-0.507577487061964	0.00194819055255275	1922.88082099679	chr1	54926387
Plcl1	DEG_down	-0.977213464795302	7.92374201841755e-11	3800.07221725104	chr1	55405921
Kctd18	DEG_down	-0.327417398996441	0.0231286444045699	229.170500738565	chr1	58018956
Aox1	DEG_down	-0.94151805628043606	5.82008350530769e-4	96.253972668609	chr1	58029931
Cflar	DEG_down	-0.755060278476742	8.84388517556706e-8	264.210543585046	chr1	58711508
Cdk15	DEG_down	-1.54949837061239	0.00735689447006815	9.223387798546	chr1	59256906
Fzd7	DEG_down	-1.68979984243152	1.58769415892057e-24	561.614813561272	chr1	59482424
Nrp2	DEG_down	-1.18029485423371	7.60022654665965e-18	455.060647565276	chr1	62703285
Zdbf2	DEG_down	-0.809299765406787	5.95167528522549e-5	275.218642588206	chr1	63200313
Plekhm3	DEG_down	-0.31900265505537	0.0380640377309607	1743.12034847177	chr1	64956824
Pth2r	DEG_up	0.996269915567692	0.0110503054147616	40.2836771272537	chr1	65282056
Ikzf2	DEG_down	-0.84543113188368	1.27942093222454e-8	556.211163324651	chr1	69687245
Mreg	DEG_down	-0.864963743023516	1.26544934666086e-7	227.557133921557	chr1	72212307
Xrcc5	DEG_down	-0.394026249340875	0.0249722917403177	621.584568254671	chr1	72307427
Nhej1	DEG_down	-0.702945874935582	0.00270165288700566	103.920434699496	chr1	75046639
Des	DEG_down	-1.36590062389483	5.9902731279545e-5	35.4591995381834	chr1	75360329
Gm15179	DEG_down	-1.94771321020214	0.0167320847234537	10.8907849796025	chr1	75375012
Gmppa	DEG_down	-0.435720110293911	0.0213181884719864	212.251660034479	chr1	75435930
Scg2	DEG_down	-0.956539047796802	2.54540971589321e-8	761.741212930003	chr1	79440120
Ap1s3	DEG_down	-1.71947757367377	1.05027796822529e-22	221.454361506434	chr1	79671972
Dock10	DEG_down	-1.04186823274349	6.33502238332494e-15	2457.54725053795	chr1	80758527
Pid1	DEG_down	-0.413898473446587	0.0470361667237517	2303.6662321086	chr1	84364180
