stripe_id	chr	anchor_x1	anchor_x2	span_y1	span_y2	direction_type	source	pval_ctrl	pval_mut	n_ctrl_reps	n_mut_reps	in_10kb	confidence	anchor_center
stripe_0001	chr1	23200000	23885000	23885000	23945000	3prime	control_only	0.000759499458868399	NA	0	1	TRUE	medium	23542500
stripe_0002	chr1	28070000	28130000	28130000	29655000	3prime	mutant_only	NA	0.987881674847979	0	0	FALSE	medium	28100000
stripe_0003	chr1	51195000	51525000	51570000	51625000	3prime	control_only	2.34527485638648e-15	NA	0	0	TRUE	medium	51360000
stripe_0004	chr1	59245000	59260000	59295000	59660000	3prime	mutant_only	NA	3.23804299112342e-10	0	0	FALSE	low	59252500
stripe_0005	chr1	62410000	62820000	62820000	62875000	3prime	control_only	0.159909039691171	NA	0	0	FALSE	medium	62615000
stripe_0006	chr1	80555000	82010000	82010000	82065000	3prime	mutant_only	NA	0.209274840485244	0	0	TRUE	medium	81282500
stripe_0007	chr1	86660000	86870000	86870000	86925000	3prime	mutant_only	NA	0.99680051020582	0	0	FALSE	medium	86765000
stripe_0008	chr1	99505000	99560000	99560000	102125000	3prime	control_only	0.221292533653144	NA	0	0	FALSE	medium	99532500
stripe_0009	chr1	119535000	119790000	119905000	119950000	3prime	mutant_only	NA	1.14410229480178e-09	0	0	TRUE	medium	119662500
stripe_0010	chr1	121890000	122140000	122140000	122195000	3prime	mutant_only	NA	0.898746376627169	0	0	TRUE	medium	122015000
stripe_0011	chr1	127810000	127875000	127875000	128240000	3prime	mutant_only	NA	0.967111088665285	0	0	FALSE	medium	127842500
stripe_0012	chr1	154980000	155380000	155510000	155565000	3prime	control_only	4.77666972791692e-35	NA	0	0	TRUE	medium	155180000
stripe_0013	chr1	155550000	155595000	155725000	156030000	3prime	shared	5.94127402421496e-20	5.47292876330707e-20	0	1	TRUE	medium	155572500
stripe_0014	chr1	156690000	156955000	157055000	157100000	3prime	shared	8.92416348021402e-15	2.76810539488242e-09	0	0	TRUE	medium	156822500
stripe_0015	chr1	165725000	166040000	166130000	166175000	3prime	control_only	1.55907381246844e-17	NA	0	0	TRUE	medium	165882500
stripe_0016	chr10	24850000	25625000	25625000	25685000	3prime	shared	0.904850446499421	0.000455094042051208	0	1	FALSE	medium	25237500
stripe_0017	chr10	54495000	55010000	55010000	55045000	3prime	control_only	0.56940797573343	NA	0	0	FALSE	medium	54752500
stripe_0018	chr10	54780000	54840000	54840000	56250000	3prime	control_only	0.517287383048513	NA	0	0	FALSE	medium	54810000
stripe_0019	chr10	69430000	69475000	69595000	69905000	3prime	mutant_only	NA	3.47917057601036e-09	0	0	TRUE	medium	69452500
stripe_0020	chr10	72865000	72925000	72925000	73440000	3prime	control_only	0.94311131687104	NA	0	0	FALSE	medium	72895000
stripe_0021	chr10	73215000	73700000	73700000	73760000	3prime	mutant_only	NA	0.808455772666241	0	0	FALSE	medium	73457500
stripe_0022	chr10	79035000	79105000	79105000	79675000	3prime	control_only	0.795081010636169	NA	0	0	FALSE	medium	79070000
stripe_0023	chr10	89265000	89520000	89605000	89650000	3prime	shared	7.81758664200046e-22	1.21298436298909e-20	0	0	TRUE	medium	89392500
stripe_0024	chr10	90710000	90755000	90835000	91120000	3prime	shared	2.61131262974492e-19	4.55697396728262e-22	0	0	TRUE	medium	90732500
stripe_0025	chr10	91045000	91100000	91125000	91570000	3prime	control_only	0.0798129151660502	NA	0	0	FALSE	medium	91072500
stripe_0026	chr10	101120000	101605000	101605000	101660000	3prime	control_only	0.547658474025347	NA	0	0	FALSE	medium	101362500
stripe_0027	chr10	113220000	113275000	113275000	113780000	3prime	control_only	0.796390835469636	NA	0	0	FALSE	medium	113247500
stripe_0028	chr11	6635000	6680000	6780000	7235000	3prime	control_only	5.02512314522649e-28	NA	0	0	TRUE	medium	6657500
stripe_0029	chr11	8390000	9055000	9105000	9150000	3prime	shared	1.74267257361381e-37	2.12622201393932e-35	0	0	TRUE	medium	8722500
stripe_0030	chr11	12160000	12425000	12515000	12570000	3prime	control_only	7.93071556772801e-35	NA	0	1	TRUE	medium	12292500
stripe_0031	chr11	16610000	17330000	17330000	17390000	3prime	control_only	0.82769720302626	NA	0	0	FALSE	medium	16970000
stripe_0032	chr11	19805000	19850000	19995000	20265000	3prime	shared	1.01989711596595e-22	5.91657383047013e-16	0	0	TRUE	medium	19827500
stripe_0033	chr11	35640000	35920000	35975000	36020000	3prime	mutant_only	NA	1.54980862218491e-33	0	0	FALSE	medium	35780000
stripe_0034	chr11	50425000	50470000	50540000	50820000	3prime	control_only	4.17052433509116e-17	NA	0	0	TRUE	medium	50447500
stripe_0035	chr11	53910000	54165000	54235000	54280000	3prime	shared	5.12246294439e-12	9.20514880184649e-17	0	0	TRUE	medium	54037500
stripe_0036	chr11	59505000	59540000	59570000	59830000	3prime	shared	7.86620318308168e-13	2.06654135284025e-10	0	0	FALSE	low	59522500
stripe_0037	chr11	60020000	60325000	60390000	60435000	3prime	control_only	2.56089192861518e-07	NA	0	0	FALSE	low	60172500
stripe_0038	chr11	61885000	62135000	62260000	62305000	3prime	control_only	2.44324333916519e-10	NA	0	0	TRUE	medium	62010000
stripe_0039	chr11	61930000	61975000	62025000	62315000	3prime	shared	1.34037195890223e-21	6.98172637420746e-15	0	0	TRUE	medium	61952500
stripe_0040	chr11	61930000	61975000	62035000	62305000	3prime	mutant_only	NA	2.37842014114338e-15	0	0	TRUE	medium	61952500
stripe_0041	chr11	62390000	62635000	62665000	62700000	3prime	mutant_only	NA	7.35401817505976e-12	0	0	TRUE	medium	62512500
stripe_0042	chr11	62885000	65225000	65225000	65285000	3prime	control_only	0.153392555594891	NA	0	0	FALSE	medium	64055000
stripe_0043	chr11	69825000	70070000	70195000	70240000	3prime	mutant_only	NA	5.51221833662035e-29	0	0	TRUE	medium	69947500
stripe_0044	chr11	75160000	75205000	75260000	75575000	3prime	control_only	5.2566284953992e-19	NA	0	0	TRUE	medium	75182500
stripe_0045	chr11	75755000	75800000	75930000	76205000	3prime	shared	1.94394268245921e-44	2.40822662418537e-35	0	0	TRUE	medium	75777500
