chr	context	strand	Read	Position	nMethylated	nUnmethylated	nMethylated(+dups)	nUnmethylated(+dups)
chr1	CHH	OB	1	1	905	59224	1040	67330
chr1	CHH	OB	1	10	924	59011	1102	67246
chr1	CHH	OB	1	100	851	49638	951	56548
chr1	CHH	OB	1	101	746	54203	833	61423
chr1	CHH	OB	1	11	904	59308	1016	67536
chr1	CHH	OB	1	12	873	59143	1001	67260
chr1	CHH	OB	1	13	806	59342	923	67519
chr1	CHH	OB	1	14	856	59433	981	67568
chr1	CHH	OB	1	15	863	59423	1014	67587
chr1	CHH	OB	1	16	835	59449	961	67771
chr1	CHH	OB	1	17	869	58899	994	66984
chr1	CHH	OB	1	18	917	59357	1050	67616
chr1	CHH	OB	1	19	879	59385	1016	67638
chr1	CHH	OB	1	2	902	59330	1039	67554
chr1	CHH	OB	1	20	833	59302	946	67580
chr1	CHH	OB	1	21	896	59419	1032	67599
chr1	CHH	OB	1	22	825	59431	951	67624
chr1	CHH	OB	1	23	859	59496	994	67610
chr1	CHH	OB	1	24	890	59411	1027	67625
chr1	CHH	OB	1	25	881	59009	1013	67140
chr1	CHH	OB	1	26	852	59594	970	67880
chr1	CHH	OB	1	27	843	59648	950	67843
chr1	CHH	OB	1	28	858	59680	990	67771
chr1	CHH	OB	1	29	800	59328	940	67448
chr1	CHH	OB	1	3	882	59149	1013	67398
chr1	CHH	OB	1	30	830	59530	952	67606
chr1	CHH	OB	1	31	855	59439	978	67637
chr1	CHH	OB	1	32	826	59433	956	67745
chr1	CHH	OB	1	33	796	59453	910	67850
chr1	CHH	OB	1	34	851	59398	985	67577
chr1	CHH	OB	1	35	826	59415	950	67700
chr1	CHH	OB	1	36	844	59709	965	68013
chr1	CHH	OB	1	37	806	59095	923	67318
chr1	CHH	OB	1	38	886	59248	1022	67460
chr1	CHH	OB	1	39	848	59400	963	67605
chr1	CHH	OB	1	4	860	59243	972	67457
chr1	CHH	OB	1	40	777	59429	878	67863
chr1	CHH	OB	1	41	841	59011	974	67246
chr1	CHH	OB	1	42	758	59470	871	67873
chr1	CHH	OB	1	43	817	59155	937	67507
chr1	CHH	OB	1	44	815	59162	929	67248
chr1	CHH	OB	1	45	788	59408	904	67533
chr1	CHH	OB	1	46	782	59373	887	67619
chr1	CHH	OB	1	47	811	59249	911	67486
chr1	CHH	OB	1	48	787	59497	890	68045
chr1	CHH	OB	1	49	823	58882	961	67013
chr1	CHH	OB	1	5	861	59061	967	67275
chr1	CHH	OB	1	50	748	59168	852	67441
