chr	context	strand	Read	Position	nMethylated	nUnmethylated	nMethylated(+dups)	nUnmethylated(+dups)
chr1	CHH	OB	1	1	858	66961	1023	79049
chr1	CHH	OB	1	10	787	67762	920	79931
chr1	CHH	OB	1	100	596	67185	691	79404
chr1	CHH	OB	1	101	547	67024	658	79227
chr1	CHH	OB	1	102	615	66741	731	78922
chr1	CHH	OB	1	103	580	66462	695	78522
chr1	CHH	OB	1	104	560	67132	658	79296
chr1	CHH	OB	1	105	587	66217	695	78219
chr1	CHH	OB	1	106	582	66332	706	78215
chr1	CHH	OB	1	107	565	66033	669	77919
chr1	CHH	OB	1	108	611	66582	705	78569
chr1	CHH	OB	1	109	597	65943	678	77893
chr1	CHH	OB	1	11	748	68008	900	80289
chr1	CHH	OB	1	110	572	66162	660	78280
chr1	CHH	OB	1	111	591	66112	685	78104
chr1	CHH	OB	1	112	591	65698	694	77484
chr1	CHH	OB	1	113	549	65772	651	77706
chr1	CHH	OB	1	114	578	65209	695	77008
chr1	CHH	OB	1	115	571	65352	679	77264
chr1	CHH	OB	1	116	599	65325	712	77164
chr1	CHH	OB	1	117	597	65384	728	77578
chr1	CHH	OB	1	118	610	64919	726	76655
chr1	CHH	OB	1	119	572	64740	666	76853
chr1	CHH	OB	1	12	722	68043	875	80140
chr1	CHH	OB	1	120	613	64359	718	75966
chr1	CHH	OB	1	121	592	64741	687	76425
chr1	CHH	OB	1	122	603	64252	703	75995
chr1	CHH	OB	1	123	584	63930	683	75661
chr1	CHH	OB	1	124	626	64237	755	75978
chr1	CHH	OB	1	125	558	63546	666	75386
chr1	CHH	OB	1	126	584	63771	688	75448
chr1	CHH	OB	1	127	562	63416	671	75343
chr1	CHH	OB	1	128	577	63762	691	75546
chr1	CHH	OB	1	129	535	62908	627	74598
chr1	CHH	OB	1	13	764	67940	895	80322
chr1	CHH	OB	1	130	554	62819	644	74509
chr1	CHH	OB	1	131	591	62428	718	74041
chr1	CHH	OB	1	132	618	62512	721	74114
chr1	CHH	OB	1	133	546	61915	645	73633
chr1	CHH	OB	1	134	562	62353	657	74251
chr1	CHH	OB	1	135	577	61727	664	73417
chr1	CHH	OB	1	136	578	61751	678	73353
chr1	CHH	OB	1	137	602	61027	707	72496
chr1	CHH	OB	1	138	567	61092	665	72506
chr1	CHH	OB	1	139	597	59948	699	71341
chr1	CHH	OB	1	14	719	68057	875	80310
chr1	CHH	OB	1	140	605	60639	711	72100
chr1	CHH	OB	1	141	538	59520	640	70747
chr1	CHH	OB	1	142	611	59478	730	70840
chr1	CHH	OB	1	143	585	59470	681	70774
chr1	CHH	OB	1	144	611	60576	734	72265
chr1	CHH	OB	1	145	595	58919	696	70232
chr1	CHH	OB	1	146	632	59364	735	70782
