Chromosome	Start	End	Annotation	mc_num_contexts	mc_mean_coverage	mc_mean_mod_control	mc_mean_mod_mutant	mc_mod_fold_change	mc_mod_difference	mc_test_statistic	mc_pvalue	mc_qvalue	hmc_num_contexts	hmc_mean_coverage	hmc_mean_mod_control	hmc_mean_mod_mutant	hmc_mod_fold_change	hmc_mod_difference	hmc_test_statistic	hmc_pvalue	hmc_qvalue
1	3531624	3531843	CpG_island	27	14.412037037037036	0.9058806773599627	0.9071761044087928	1.001430019517146	0.0012954270488301223	0.007257199108789376	0.9321109797300561	0.9999994554891766	27	14.412037037037036	0.045052002174907665	0.056308607049920203	1.2498580380803155	0.011256604875012538	1.8245917067334287	0.17676768407247917	0.9999305415330103
1	4491701	4493673	CpG_island	18	12.055555555555555	0.004566304108987037	0.007778521787809713	1.7034611804545925	0.0032122176788226767	0.3489184511135087	0.5547260080582908	0.9999994554891766	18	12.055555555555555	0.003170175989943432	0.007843472317156527	2.474144130180131	0.0046732963272130956	0.792560534497237	0.37332699741476116	0.9999305415330103
1	4496947	4497608	CpG_island	12	10.875	0.007460369639856819	0.010408439599853977	1.3951640605375872	0.0029480699599971584	0.053214513391408175	0.8175613055286447	0.9999994554891766	12	10.875	0.0015432098765432098	0.0038097437081505425	2.468713922881552	0.0022665338316073327	0.2906126528654736	0.5898281951952162	0.9999305415330103
1	4689184	4689397	CpG_island	11	11.806818181818182	0.23345698367883966	0.23630054302284675	1.012180228233904	0.002843559344007096	0.002635072339171239	0.9590602078747404	0.9999994554891766	11	11.806818181818182	0.02278851312193097	0.02547122507687438	1.1177221146719594	0.00268271195494341	0.01571034466104442	0.9002536630707718	0.9999305415330103
1	4785376	4785814	CpG_island	6	17.1875	0.0	0.0		0.0	0.041130484340423705	0.8392862620301486	0.9999994554891766	6	17.1875	0.0	0.0		0.0	0.041130484340423705	0.8392862620301486	0.9999305415330103
1	4857465	4858372	CpG_island	6	10.833333333333334	0.0	0.0		0.0	0.07831577390341912	0.7795929299724289	0.9999994554891766	6	10.833333333333334	0.0	0.0		0.0	0.07831577390341912	0.7795929299724289	0.9999305415330103
1	5018557	5019711	CpG_island	13	11.48076923076923	0.0	0.0		0.0	0.036610387562175925	0.8482604692638993	0.9999994554891766	13	11.48076923076923	0.0	0.0		0.0	0.036610387562175925	0.8482604692638993	0.9999305415330103
1	5083039	5083536	CpG_island	3	11.708333333333334	0.0	0.0		0.0	0.00033083681953666774	0.9854881415425557	0.9999994554891766	3	11.708333333333334	0.0	0.0		0.0	0.00033083681953666774	0.9854881415425557	0.9999305415330103
1	5916428	5917474	CpG_island	17	13.0	0.024640697176056006	0.022120228997456068	0.8977111661820534	-0.0025204681785999383	0.1929096597693487	0.6605058862713569	0.9999994554891766	17	13.0	0.020190009048049906	0.029974261526953948	1.4846086227905417	0.009784252478904042	0.6850153335165393	0.4078650433034008	0.9999305415330103
1	6214430	6215332	CpG_island	4	14.09375	0.0	0.0		0.0	0.0023051197651496593	0.9617069477541368	0.9999994554891766	4	14.09375	0.0	0.0033783783783783786	inf	0.0033783783783783786	0.1004537413656191	0.7512858046695112	0.9999305415330103
1	7088491	7089271	CpG_island	2	10.1875	0.0	0.0		0.0	0.0032207376398027806	0.954743114718495	0.9999994554891766	2	10.1875	0.0	0.0		0.0	0.0032207376398027806	0.954743114718495	0.9999305415330103
1	9299215	9300020	CpG_island	5	10.275	0.0	0.003125	inf	0.003125	0.09186078517204183	0.7618247482628513	0.9999994554891766	5	10.275	0.0	0.0		0.0	0.2831003173487383	0.5946763218318124	0.9999305415330103
1	9545269	9546268	CpG_island	30	11.241666666666667	0.08121552645205143	0.08549264253689572	1.0526637734395459	0.004277116084844282	0.15232574276855265	0.6963226297545615	0.9999994554891766	30	11.241666666666667	0.036469914050846944	0.03283086650751599	0.9002178195907635	-0.003639047543330956	0.3179711230756972	0.5728294842969763	0.9999305415330103
1	9699785	9700881	CpG_island	8	11.65625	0.002717391304347826	0.0023148148148148147	0.8518518518518519	-0.0004025764895330113	0.2144508359563574	0.643301027801792	0.9999994554891766	8	11.65625	0.004464285714285714	0.001953125	0.4375	-0.002511160714285714	0.4015565848395281	0.5262864646792289	0.9999305415330103
1	9747560	9748645	CpG_island	22	12.443181818181818	0.0030713383838383837	0.0	0.0	-0.0030713383838383837	0.9965820482488696	0.3181389679434861	0.9999994554891766	22	12.443181818181818	0.0	0.0008278145695364238	inf	0.0008278145695364238	0.060518707233404904	0.8056779730408423	0.9999305415330103
1	9797821	9798652	CpG_island	14	12.267857142857142	0.0	0.001524390243902439	inf	0.001524390243902439	0.03531387988599324	0.8509394613261841	0.9999994554891766	14	12.267857142857142	0.0	0.002952961672473868	inf	0.002952961672473868	0.20168945328597643	0.6533606100316525	0.9999305415330103
1	9848165	9848530	CpG_island	3	11.708333333333334	0.004901960784313725	0.0	0.0	-0.004901960784313725	0.00214265034587069	0.9630800889441377	0.9999994554891766	3	11.708333333333334	0.0	0.0		0.0	0.0800790095863532	0.7771903680257508	0.9999305415330103
1	9943785	9944196	CpG_island	1	10.375	0.03571428571428571	0.0	0.0	-0.03571428571428571	0.6154447410812107	0.43274510303031577	0.9999994554891766	1	10.375	0.0	0.0		0.0	0.15419095161227833	0.6945620809567103	0.9999305415330103
1	9967118	9968330	CpG_island	2	12.0	0.0	0.0		0.0	0.0252115500602249	0.8738410611765253	0.9999994554891766	2	12.0	0.0	0.017857142857142856	inf	0.017857142857142856	0.057464169581772924	0.8105497690725918	0.9999305415330103
1	10037950	10038215	CpG_island	6	11.625	0.0	0.0		0.0	0.2512735642651002	0.6161797459648818	0.9999994554891766	6	11.625	0.0	0.0		0.0	0.2512735642651002	0.6161797459648818	0.9999305415330103
1	10039745	10040279	CpG_island	3	10.875	0.0	0.0		0.0	0.2653998967771369	0.6064343881825002	0.9999994554891766	3	10.875	0.0	0.0		0.0	0.2653998967771369	0.6064343881825002	0.9999305415330103
1	10232143	10233428	CpG_island	2	11.1875	0.0	0.0		0.0	0.018261451340656903	0.8925051873699869	0.9999994554891766	2	11.1875	0.0	0.0		0.0	0.018261451340656903	0.8925051873699869	0.9999305415330103
1	10805299	10805885	CpG_island	36	14.177083333333334	0.9605453382145283	0.964987856933976	1.0046249963876828	0.0044425187194477855	0.6655251208600038	0.4146161176589761	0.9999994554891766	36	14.177083333333334	0.011014757465534153	0.007875499395418283	0.7149952615898444	-0.0031392580701158704	0.8633149266661801	0.35281269263997683	0.9999305415330103
1	12990718	12991200	CpG_island	1	10.375	0.0	0.0		0.0	0.02630681178880492	0.8711532832333634	0.9999994554891766	1	10.375	0.0	0.0		0.0	0.02630681178880492	0.8711532832333634	0.9999305415330103
1	12991485	12992784	CpG_island	20	16.26875	0.0017243630837903935	0.001445086705202312	0.8380408504372568	-0.0002792763785880814	0.00014224936503946738	0.9904839890417211	0.9999994554891766	20	16.26875	0.003773543411659246	0.0	0.0	-0.003773543411659246	1.8459534677370766	0.17425476441974397	0.9999305415330103
