loop_id	min_distance
loop_10501	15779999
loop_10524	64414999
loop_10591	68064999
loop_10875	3259999
loop_10974	684999
loop_1271	1419999
loop_1298	8799999
loop_1310	7799999
loop_13109	12324999
loop_13141	12324999
loop_13154	27874999
loop_13156	12324999
loop_13214	12324999
loop_13659	5334999
loop_13852	5209999
loop_13925	3659999
loop_13932	3634999
loop_1446	11174999
loop_14489	564999
loop_14494	32239999
loop_14495	30664999
loop_14905	21079999
loop_14987	2509999
loop_15592	9939999
loop_15623	8999999
loop_16414	1699999
loop_16829	3719999
loop_17125	14679999
loop_18042	27899999
loop_18419	564999
loop_18550	6019999
loop_19055	3594999
loop_19406	8924999
loop_19513	12324999
loop_2061	3634999
loop_2070	4844999
loop_2167	564999
loop_2250	21079999
loop_2361	4544999
loop_3100	12324999
loop_3102	1279999
loop_3208	4844999
loop_3471	11809999
loop_3664	7474999
loop_4911	7949999
loop_51	7474999
loop_57	7124999
loop_5774	8924999
loop_58	8769999
loop_611	16129999
loop_6807	7259999
loop_715	1279999
loop_8063	19159999
loop_849	6799999
loop_8758	7494999
loop_8779	7474999
loop_8828	2214999
loop_8834	8769999
loop_9583	14704999
loop_9644	6074999
loop_9656	11174999
loop_9657	7829999
