loop_id	chr1	start1	end1	chr2	start2	end2	logFC	logCPM	FDR	PValue	significant	resolution_kb	n_overlaps	loop_distance	loop_type	direction	category	anchor1_H3K27ac_overlap	anchor1_H3K27me3_overlap	anchor1_H3K4me1_overlap	anchor1_H3K4me3_overlap	anchor1_Bivalent_Promoter_overlap	anchor1_CTCF_overlap	anchor1_CTCF_motif_overlap	anchor2_H3K27ac_overlap	anchor2_H3K27me3_overlap	anchor2_H3K4me1_overlap	anchor2_H3K4me3_overlap	anchor2_Bivalent_Promoter_overlap	anchor2_CTCF_overlap	anchor2_CTCF_motif_overlap	anchor1_distance_to_tss_ext	anchor2_distance_to_tss_ext	anchor1_type_extended	anchor2_type_extended	loop_type_extended
loop_15623	chr4	81570000	81580000	chr4	82700000	82710000	-0.623738072808033	3.50470593065554	0.022620335524039	3.88560143709195e-5	TRUE	10	2	1130000	Active_Promoter-Active_Enhancer	down_in_mutant	moderate_differential	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	127184	0	Active_Enhancer	Active_Promoter	Active_Promoter-Active_Enhancer
loop_1298	chr8	49525000	49550000	chr8	49825000	49850000	-0.531581037913629	5.52012122539831	0.0048740438696912	5.57272416143058e-6	TRUE	25	2	300000	Polycomb-Other	down_in_mutant	moderate_differential	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	681048	518111	CTCF_Site	Polycomb	Polycomb-CTCF_Site
loop_51	chr8	89040000	89050000	chr8	92360000	92370000	-1.12582663455864	1.6404914677075	0.0180706558798058	2.69564977865288e-5	TRUE	10	1	3320000	Repressed_Promoter-Polycomb	down_in_mutant	strong_differential	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	0	2374	Repressed_Promoter	Polycomb	Repressed_Promoter-Polycomb
loop_849	chr5	92720000	92730000	chr5	93320000	93330000	-0.493827442657958	4.0352239217494	0.0224640146024451	3.65565738038163e-5	TRUE	10	1	600000	Other-Other	down_in_mutant	weak_differential	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	36564	52742	CTCF_Site	CTCF_Site	CTCF_Site-CTCF_Site
loop_9583	chr9	40875000	40900000	chr9	41575000	41600000	-0.452292326043221	4.5557855651343	0.0105621375536239	2.26428559817576e-5	TRUE	25	3	700000	Repressed_Promoter-Repressed_Promoter	down_in_mutant	weak_differential	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	872	0	Repressed_Promoter	Repressed_Promoter	Repressed_Promoter-Repressed_Promoter
loop_2361	chr8	57540000	57550000	chr8	57960000	57970000	-0.567636305733043	3.68410420949221	0.0205159221502545	3.15315682627544e-5	TRUE	10	1	420000	Active_Enhancer-Active_Enhancer	down_in_mutant	moderate_differential	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	28092	306967	Active_Enhancer	Active_Enhancer	Active_Enhancer-Active_Enhancer
loop_8758	chr8	48220000	48230000	chr8	49820000	49830000	-0.907636620590362	3.8015301363332	0.0053478346973716	1.20871410753359e-6	TRUE	10	1	1600000	Polycomb-Polycomb	down_in_mutant	moderate_differential	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	120907	538111	Polycomb	Polycomb	Polycomb-Polycomb
loop_10501	chr13	9180000	9190000	chr13	9840000	9850000	-0.404442747798368	4.9919634675987	0.0164014095997052	1.8997817009499e-5	TRUE	10	1	660000	Poised_Enhancer-Other	down_in_mutant	weak_differential	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	86118	74669	Poised_Enhancer	CTCF_Site	Poised_Enhancer-CTCF_Site
loop_19513	chr19	43600000	43625000	chr19	44750000	44775000	-0.347891210837679	4.39547529352291	0.0139417069502811	4.05147026805367e-5	TRUE	25	2	1150000	Repressed_Promoter-Repressed_Promoter	down_in_mutant	weak_differential	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	0	0	Repressed_Promoter	Repressed_Promoter	Repressed_Promoter-Repressed_Promoter
loop_13109	chr19	43600000	43625000	chr19	45225000	45250000	-0.433887422733374	4.05549020846173	0.0072549435388523	1.03686487621156e-5	TRUE	25	2	1625000	Repressed_Promoter-Other	down_in_mutant	weak_differential	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	0	0	Repressed_Promoter	Other	Repressed_Promoter-Other
