cluster_id	n_overlaps	kept_index	kept_resolution	kept_fdr	n_resolutions	resolutions_list	merged_indices	merged_resolutions
1	2	25155	10kb	0.63202713959944	2	5,10	1,25155	5kb,10kb
2	3	25222	10kb	0.226433382672236	2	5,10	2,25222,13041	5kb,10kb,5kb
4	4	4	5kb	0.461320872793998	2	5,10	4,17630,1790,13060	5kb,10kb,5kb,5kb
6	2	16589	10kb	0.256125223707207	2	5,10	6,16589	5kb,10kb
9	2	25358	10kb	0.258414790421932	2	5,10	9,25358	5kb,10kb
11	2	11	5kb	0.184801306224426	2	5,10	11,25283	5kb,10kb
12	3	12	5kb	0.816807558269431	3	5,10,25	12,38109,60539	5kb,10kb,25kb
13	4	13	5kb	0.657387665154903	2	5,10	13,3302,24186,6575	5kb,5kb,10kb,5kb
14	2	16591	10kb	0.223444528678272	2	5,10	14,16591	5kb,10kb
17	2	25310	10kb	0.83269505831541	2	5,10	17,25310	5kb,10kb
19	2	19	5kb	0.854889569443063	2	5,10	19,25261	5kb,10kb
22	3	34812	10kb	0.492019379767198	2	5,10	22,15046,34812	5kb,5kb,10kb
23	2	16605	10kb	0.563689223143962	2	5,10	23,16605	5kb,10kb
24	2	60542	25kb	0.200040141613343	2	5,25	24,60542	5kb,25kb
25	2	25443	10kb	0.440865606762535	2	5,10	25,25443	5kb,10kb
26	2	25454	10kb	0.34660075452301	2	5,10	26,25454	5kb,10kb
29	2	25478	10kb	0.402008067789675	2	5,10	29,25478	5kb,10kb
31	2	25498	10kb	0.0194196443930101	2	5,10	31,25498	5kb,10kb
32	2	25467	10kb	0.0472229504559039	2	5,10	32,25467	5kb,10kb
33	3	33	5kb	0.902861627077928	3	5,10,25	33,25576,44190	5kb,10kb,25kb
34	2	34	5kb	0.254640671956885	2	5,10	34,25495	5kb,10kb
35	2	25564	10kb	0.0148989415760903	2	5,10	35,25564	5kb,10kb
37	3	39217	25kb	0.0785005584382189	3	5,10,25	37,25571,39217	5kb,10kb,25kb
38	3	25553	10kb	0.47570666524731	3	5,10,25	38,25553,48216	5kb,10kb,25kb
39	3	48227	25kb	0.337906518806338	3	5,10,25	39,25599,48227	5kb,10kb,25kb
40	4	2538	5kb	0.928686487635202	3	5,10,25	40,2538,25595,48195	5kb,5kb,10kb,25kb
41	2	41	5kb	0.535285032821088	2	5,10	41,25626	5kb,10kb
43	2	25731	10kb	0.83269505831541	2	5,10	43,25731	5kb,10kb
45	2	24234	10kb	0.856721897711161	2	5,10	45,24234	5kb,10kb
46	4	46	5kb	0.427423604879902	2	5,10	46,25718,21078,3436	5kb,10kb,10kb,5kb
47	3	13143	5kb	0.876365770573	2	5,10	47,13143,25705	5kb,5kb,10kb
51	2	51	5kb	0.664443579983493	2	5,10	51,25792	5kb,10kb
52	2	16646	10kb	0.818372793598877	2	5,10	52,16646	5kb,10kb
53	5	53	5kb	0.807388789491205	3	5,10,25	53,3460,18998,19969,48467	5kb,5kb,10kb,10kb,25kb
56	2	56	5kb	0.62489943684872	2	5,10	56,25827	5kb,10kb
57	2	57	5kb	0.400953291875184	2	5,10	57,16664	5kb,10kb
58	2	58	5kb	0.507279602509749	2	5,10	58,16649	5kb,10kb
59	3	25854	10kb	0.616974718601852	3	5,10,25	59,25854,48514	5kb,10kb,25kb
60	2	16672	10kb	0.850018540328309	2	5,10	60,16672	5kb,10kb
61	2	25953	10kb	0.888886705674485	2	5,10	61,25953	5kb,10kb
62	2	25923	10kb	0.91512725527588	2	5,10	62,25923	5kb,10kb
63	2	25874	10kb	0.751256878728757	2	5,10	63,25874	5kb,10kb
64	3	25942	10kb	0.616012474286798	3	5,10,25	64,25942,48607	5kb,10kb,25kb
67	4	67	5kb	0.465665551013415	3	5,10,25	67,19018,25947,48567	5kb,10kb,10kb,25kb
68	2	68	5kb	0.885327471111431	2	5,25	68,48634	5kb,25kb
74	4	13222	5kb	0.580533001480883	2	5,10	74,13222,26042,13242	5kb,5kb,10kb,5kb
76	3	48776	25kb	0.283268656778568	3	5,10,25	76,26191,48776	5kb,10kb,25kb
77	2	77	5kb	0.685671483073302	2	5,10	77,26068	5kb,10kb
78	3	26077	10kb	0.349056005947479	2	5,10	78,13219,26077	5kb,5kb,10kb
81	4	81	5kb	0.610145648143337	3	5,10,25	81,26113,56777,15116	5kb,10kb,25kb,5kb
82	3	13294	5kb	0.792546623601654	2	5,10	82,26210,13294	5kb,10kb,5kb
83	4	7954	5kb	0.750241785834503	3	5,10,25	83,48740,7954,26116	5kb,25kb,5kb,10kb
84	2	84	5kb	0.683626544513362	2	5,10	84,26263	5kb,10kb
85	3	13284	5kb	0.93312200539209	2	5,10	85,13284,37295	5kb,5kb,10kb
86	3	86	5kb	0.857095434880995	3	5,10,25	86,26299,48832	5kb,10kb,25kb
87	2	48767	25kb	0.464088022307367	2	5,25	87,48767	5kb,25kb
88	3	88	5kb	0.869216085858698	2	5,10	88,3591,21243	5kb,5kb,10kb
92	2	26187	10kb	0.409723379777143	2	5,10	92,26187	5kb,10kb
94	2	94	5kb	0.356551840257243	2	5,10	94,16725	5kb,10kb
95	2	26371	10kb	0.8327387695489	2	5,10	95,26371	5kb,10kb
98	2	26382	10kb	0.733884913636613	2	5,10	98,26382	5kb,10kb
100	4	26325	10kb	0.61522751605337	2	5,10	100,24290,26325,845	5kb,10kb,10kb,5kb
105	2	17809	10kb	0.391790804426963	2	5,10	105,17809	5kb,10kb
106	2	26501	10kb	0.120120022009182	2	5,10	106,26501	5kb,10kb
108	3	108	5kb	0.565050247886222	3	5,10,25	108,26445,48960	5kb,10kb,25kb
111	3	111	5kb	0.686180080498934	3	5,10,25	111,26514,49057	5kb,10kb,25kb
116	2	116	5kb	0.934862479814146	2	5,10	116,24327	5kb,10kb
118	2	118	5kb	0.81655692257635	2	5,10	118,37350	5kb,10kb
119	5	119	5kb	0.701866257789171	2	5,10	119,6687,16750,35137,13362	5kb,5kb,10kb,10kb,5kb
121	2	21413	10kb	0.826227546749551	2	5,10	121,21413	5kb,10kb
126	3	126	5kb	0.800675584270081	2	5,10	126,35168,3767	5kb,10kb,5kb
129	3	129	5kb	0.742718710534734	2	5,10	129,26731,15167	5kb,10kb,5kb
132	3	132	5kb	0.93603887432671	2	5,10	132,1909,38195	5kb,5kb,10kb
134	2	26857	10kb	0.692458927343176	2	5,10	134,26857	5kb,10kb
135	3	3812	5kb	0.539697311022955	2	5,10	135,26806,3812	5kb,10kb,5kb
136	3	26940	10kb	0.283410362100739	3	5,10,25	136,26940,49402	5kb,10kb,25kb
137	5	26746	10kb	0.381036689678215	3	5,10,25	137,13424,15170,26746,49218	5kb,5kb,5kb,10kb,25kb
138	2	138	5kb	0.751511107249611	2	5,10	138,26842	5kb,10kb
139	2	16756	10kb	0.437706061961482	2	5,10	139,16756	5kb,10kb
140	2	16757	10kb	0.712888506615032	2	5,10	140,16757	5kb,10kb
141	4	26962	10kb	0.627303398817611	3	5,10,25	141,15862,58983,26962	5kb,5kb,25kb,10kb
143	4	143	5kb	0.582879378611991	3	5,10,25	143,26835,49299,13419	5kb,10kb,25kb,5kb
144	2	21422	10kb	0.492249555311839	2	5,10	144,21422	5kb,10kb
147	3	39383	25kb	0.557746854963521	3	5,10,25	147,35246,39383	5kb,10kb,25kb
150	3	150	5kb	0.93654310114387	3	5,10,25	150,27052,49418	5kb,10kb,25kb
151	3	151	5kb	0.86894168051224	3	5,10,25	151,27089,41968	5kb,10kb,25kb
152	3	152	5kb	0.522387669482741	3	5,10,25	152,27095,56931	5kb,10kb,25kb
153	2	26934	10kb	0.701926108841729	2	5,10	153,26934	5kb,10kb
154	3	154	5kb	0.610987954138081	2	5,10	154,3873,16786	5kb,5kb,10kb
155	3	27174	10kb	0.563143198147256	3	5,10,25	155,27174,49554	5kb,10kb,25kb
156	3	41971	25kb	0.911585857446616	3	5,10,25	156,27134,41971	5kb,10kb,25kb
157	2	27080	10kb	0.492495707208508	2	5,10	157,27080	5kb,10kb
158	3	27072	10kb	0.375324964708616	3	5,10,25	158,27072,44550	5kb,10kb,25kb
160	2	160	5kb	0.39019840419316	2	5,10	160,27139	5kb,10kb
161	3	41986	25kb	0.196999277076015	3	5,10,25	161,35277,41986	5kb,10kb,25kb
162	3	56965	25kb	0.600826858740729	3	5,10,25	162,27187,56965	5kb,10kb,25kb
163	4	163	5kb	0.507279602509749	2	5,10	163,19149,27211,16332	5kb,10kb,10kb,5kb
164	2	16818	10kb	0.803525090935531	2	5,10	164,16818	5kb,10kb
167	3	960	5kb	0.184801306224426	2	5,10	167,960,17912	5kb,5kb,10kb
168	2	49758	25kb	0.819012067744799	2	5,25	168,49758	5kb,25kb
171	2	171	5kb	0.535285032821088	2	5,10	171,16821	5kb,10kb
173	3	173	5kb	0.388221052692142	2	5,10	173,1968,27454	5kb,5kb,10kb
174	2	27461	10kb	0.655421732786383	2	5,10	174,27461	5kb,10kb
175	3	60605	25kb	0.764751612909087	3	5,10,25	175,27453,60605	5kb,10kb,25kb
176	4	27535	10kb	0.5313850291673	3	5,10,25	176,27535,49906,16836	5kb,10kb,25kb,10kb
177	2	27539	10kb	0.709906314818582	2	5,10	177,27539	5kb,10kb
178	3	50000	25kb	0.201940186904256	3	5,10,25	178,27620,50000	5kb,10kb,25kb
179	2	179	5kb	0.330085031042263	2	5,10	179,16839	5kb,10kb
180	2	27673	10kb	0.852016247153188	2	5,10	180,27673	5kb,10kb
181	5	27559	10kb	0.415808731475485	3	5,10,25	181,27559,4088,21682,49957	5kb,10kb,5kb,10kb,25kb
182	3	182	5kb	0.586604219899218	3	5,10,25	182,27627,44714	5kb,10kb,25kb
183	4	50013	25kb	0.328104870711905	3	5,10,25	183,1978,16849,50013	5kb,5kb,10kb,25kb
185	2	185	5kb	0.782577894769668	2	5,10	185,16859	5kb,10kb
190	4	17977	10kb	0.91107219682657	2	5,10	190,2733,6775,17977	5kb,5kb,5kb,10kb
191	2	191	5kb	0.915666244422845	2	5,10	191,16860	5kb,10kb
195	3	195	5kb	0.461320872793998	2	5,10	195,27795,13588	5kb,10kb,5kb
196	2	27829	10kb	0.895095120128774	2	5,10	196,27829	5kb,10kb
198	4	35418	10kb	0.767994716012122	3	5,10,25	198,35418,50154,40855	5kb,10kb,25kb,25kb
200	3	27822	10kb	0.751392037301336	3	5,10,25	200,27822,44769	5kb,10kb,25kb
201	2	201	5kb	0.844487723418982	2	5,10	201,16864	5kb,10kb
202	2	202	5kb	0.535285032821088	2	5,10	202,27912	5kb,10kb
203	4	203	5kb	0.853607096393923	2	5,10	203,4139,19199,21763	5kb,5kb,10kb,10kb
204	5	16869	10kb	0.237369400907145	3	5,10,25	204,16869,50331,13637,35442	5kb,10kb,25kb,5kb,10kb
209	4	1997	5kb	0.684329383184403	2	5,10	209,1997,1025,27926	5kb,5kb,5kb,10kb
211	2	211	5kb	0.673275834494592	2	5,10	211,27969	5kb,10kb
212	2	16883	10kb	0.856817698268647	2	5,10	212,16883	5kb,10kb
