loop_id	chr1	start1	end1	chr2	start2	end2	coord_string	shift_status	logFC	logCPM	F	PValue	FDR	significant	exploratory	category	direction	plot_color	resolution	resolution_kb	n_resolutions_detected	resolutions_list	is_multi_resolution	FDR_5kb	FDR_10kb	FDR_25kb	logFC_5kb	logFC_10kb	logFC_25kb	kept_from_resolution	n_overlaps	is_merged
loop_8578	chr8	110640000	110650000	chr8	110720000	110730000	chr8:110640000-110650000_chr8:110720000-110730000	FALSE	-0.104133796724872	6.81420719120057	1.97391860344112	0.18571685017882	0.63202713959944	FALSE	FALSE	non_significant	unchanged	NA	10000	10	2	5kb,10kb	TRUE	0.735401521051041	0.63202713959944	NA	-0.0917859815878638	-0.104133796724872	NA	10	2	TRUE
loop_8645	chr8	36450000	36460000	chr8	36510000	36520000	chr8:36450000-36460000_chr8:36510000-36520000	FALSE	0.193910419168568	6.44302873235448	10.7239906159547	0.00675280939399967	0.226433382672236	FALSE	FALSE	non_significant	unchanged	NA	10000	10	2	5kb,10kb	TRUE	0.298994015157874	0.226433382672236	NA	0.255468921376427	0.193910419168568	NA	10	3	TRUE
loop_3	chr8	64620000	64625000	chr8	64655000	64660000	chr8:64620000-64625000_chr8:64655000-64660000	FALSE	-0.0226274016284194	6.63056669437606	0.122132106832622	0.732240855438838	0.943453445292734	FALSE	FALSE	non_significant	unchanged	NA	5000	5	1	5kb	FALSE	0.943453445292734	NA	NA	-0.0226274016284194	NA	NA	5	1	FALSE
loop_4	chr8	106140000	106145000	chr8	106195000	106200000	chr8:106140000-106145000_chr8:106195000-106200000	TRUE	-0.159290188424824	6.32390849069292	5.03919808286638	0.0425091170091404	0.461320872793998	FALSE	FALSE	non_significant	unchanged	NA	5000	5	2	5kb,10kb	TRUE	0.70459125832964	0.568969212183293	NA	-0.0842713295030383	-0.100886275601124	NA	5	4	TRUE
loop_5	chr8	84970000	84975000	chr8	85025000	85030000	chr8:84970000-84975000_chr8:85025000-85030000	TRUE	-0.158508889099291	6.19421589307195	4.12337577306779	0.0629232451179278	0.507279602509749	FALSE	FALSE	non_significant	unchanged	NA	5000	5	1	5kb	FALSE	0.507279602509749	NA	NA	-0.158508889099291	NA	NA	5	1	FALSE
loop_5	chr8	120410000	120420000	chr8	120530000	120540000	chr8:120410000-120420000_chr8:120530000-120540000	TRUE	-0.250322604619377	6.06176250122423	9.6307520306735	0.00926381468838414	0.256125223707207	FALSE	FALSE	non_significant	unchanged	NA	10000	10	2	5kb,10kb	TRUE	0.303919091589447	0.256125223707207	NA	-0.33613518299334	-0.250322604619377	NA	10	2	TRUE
loop_7	chr8	84595000	84600000	chr8	84635000	84640000	chr8:84595000-84600000_chr8:84635000-84640000	FALSE	-0.270650642521638	6.60184320343361	9.34466772619249	0.00903035709236107	0.310753281526522	FALSE	FALSE	non_significant	unchanged	NA	5000	5	1	5kb	FALSE	0.310753281526522	NA	NA	-0.270650642521638	NA	NA	5	1	FALSE
loop_8	chr8	121610000	121615000	chr8	121645000	121650000	chr8:121610000-121615000_chr8:121645000-121650000	FALSE	-0.0571936057496844	6.92449279826292	0.463510279387298	0.507744747654544	0.86941179081045	FALSE	FALSE	non_significant	unchanged	NA	5000	5	1	5kb	FALSE	0.86941179081045	NA	NA	-0.0571936057496844	NA	NA	5	1	FALSE
loop_8781	chr8	90820000	90830000	chr8	91010000	91020000	chr8:90820000-90830000_chr8:91010000-91020000	FALSE	-0.181880293207271	5.68166740981373	9.32571743091397	0.010151496742475	0.258414790421932	FALSE	FALSE	non_significant	unchanged	NA	10000	10	2	5kb,10kb	TRUE	0.392290090692943	0.258414790421932	NA	-0.215443724938128	-0.181880293207271	NA	10	2	TRUE
loop_10	chr8	70440000	70445000	chr8	70485000	70490000	chr8:70440000-70445000_chr8:70485000-70490000	TRUE	-0.0479908172094494	6.76900914913134	0.275187033922178	0.608562947377584	0.909509890500654	FALSE	FALSE	non_significant	unchanged	NA	5000	5	1	5kb	FALSE	0.909509890500654	NA	NA	-0.0479908172094494	NA	NA	5	1	FALSE
