loop_id	anchor_num	type_10kb	direction	n_motifs	type_motif_consensus	n_chip_bound	is_concordant
loop_32	1	Active_Promoter	up_in_mutant	1	Active_Promoter	0	TRUE
loop_8162	1	Active_Enhancer	down_in_mutant	0	NA	0	NA
loop_1329	1	Active_Enhancer	down_in_mutant	1	CTCF_Site	1	FALSE
loop_122	1	Poised_Enhancer	down_in_mutant	0	NA	0	NA
loop_139	1	Poised_Enhancer	down_in_mutant	1	Poised_Enhancer	1	TRUE
loop_9622	1	Active_Promoter	down_in_mutant	1	Active_Enhancer	1	FALSE
loop_216	1	Poised_Enhancer	down_in_mutant	0	NA	0	NA
loop_291	1	Active_Enhancer	down_in_mutant	0	NA	0	NA
loop_251	1	Active_Promoter	down_in_mutant	0	NA	0	NA
loop_10275	1	CTCF_Site	down_in_mutant	4	Polycomb	3	FALSE
loop_294	1	Polycomb	up_in_mutant	2	Polycomb	1	TRUE
loop_10883	1	Active_Promoter	down_in_mutant	0	NA	0	NA
loop_318	1	Active_Enhancer	down_in_mutant	0	NA	0	NA
loop_323	1	Active_Enhancer	up_in_mutant	0	NA	0	NA
loop_1539	1	Poised_Enhancer	down_in_mutant	1	CTCF_Site	0	FALSE
loop_467	1	Active_Promoter	down_in_mutant	4	Active_Promoter	3	TRUE
loop_413	1	Poised_Enhancer	down_in_mutant	1	Poised_Enhancer	1	TRUE
loop_467	1	Repressed_Promoter	up_in_mutant	4	Active_Promoter	3	FALSE
loop_13236	1	CTCF_Site	down_in_mutant	2	CTCF_Site	2	TRUE
loop_13365	1	Active_Enhancer	down_in_mutant	0	NA	0	NA
loop_564	1	Active_Enhancer	down_in_mutant	0	NA	0	NA
loop_570	1	CTCF_Site	down_in_mutant	2	CTCF_Site	1	TRUE
loop_749	1	Active_Enhancer	down_in_mutant	0	NA	0	NA
loop_15040	1	Active_Promoter	down_in_mutant	0	NA	0	NA
loop_720	1	Bivalent_Promoter	down_in_mutant	0	NA	0	NA
loop_17841	1	CTCF_Site	down_in_mutant	1	CTCF_Site	0	TRUE
loop_727	1	Poised_Enhancer	up_in_mutant	0	NA	0	NA
loop_753	1	Active_Enhancer	down_in_mutant	0	NA	0	NA
loop_15943	1	CTCF_Site	up_in_mutant	1	CTCF_Site	1	TRUE
loop_827	1	Active_Promoter	down_in_mutant	1	Active_Promoter	0	TRUE
loop_867	1	Active_Promoter	down_in_mutant	1	Active_Promoter	0	TRUE
loop_869	1	Active_Enhancer	down_in_mutant	0	NA	0	NA
loop_882	1	Active_Enhancer	down_in_mutant	0	NA	0	NA
loop_17266	1	CTCF_Site	down_in_mutant	1	CTCF_Site	0	TRUE
loop_1107	1	Other	down_in_mutant	0	NA	0	NA
loop_15541	1	Active_Enhancer	down_in_mutant	0	NA	0	NA
loop_936	1	Active_Enhancer	down_in_mutant	0	NA	0	NA
loop_971	1	Active_Promoter	down_in_mutant	7	Active_Promoter	3	TRUE
loop_17977	1	Other	down_in_mutant	0	NA	0	NA
loop_1021	1	Other	down_in_mutant	0	NA	0	NA
loop_1054	1	Other	down_in_mutant	0	NA	0	NA
loop_8008	1	Other	down_in_mutant	1	CTCF_Site	1	FALSE
loop_1100	1	Poised_Enhancer	up_in_mutant	2	Poised_Enhancer	1	TRUE
loop_1350	1	Active_Promoter	down_in_mutant	1	Active_Enhancer	0	FALSE
loop_1127	1	Polycomb	up_in_mutant	1	Polycomb	1	TRUE
loop_1133	1	CTCF_Site	down_in_mutant	1	CTCF_Site	0	TRUE
loop_1164	1	Polycomb	down_in_mutant	1	CTCF_Site	0	FALSE
loop_1231	1	Poised_Enhancer	down_in_mutant	0	NA	0	NA
loop_1262	1	Active_Promoter	down_in_mutant	0	NA	0	NA
loop_1280	1	Polycomb	up_in_mutant	1	Poised_Enhancer	1	FALSE
loop_11108	1	Poised_Enhancer	up_in_mutant	2	CTCF_Site	0	FALSE
loop_1327	1	Active_Promoter	down_in_mutant	1	Active_Promoter	1	TRUE
loop_1403	1	CTCF_Site	up_in_mutant	1	CTCF_Site	1	TRUE
loop_13443	1	Poised_Enhancer	down_in_mutant	0	NA	0	NA
loop_1475	1	Active_Enhancer	down_in_mutant	0	NA	0	NA
loop_13840	1	Poised_Enhancer	down_in_mutant	2	Poised_Enhancer	1	TRUE
loop_14500	1	Polycomb	down_in_mutant	0	NA	0	NA
loop_1541	1	Active_Enhancer	down_in_mutant	0	NA	0	NA
loop_1566	1	Active_Promoter	down_in_mutant	0	NA	0	NA
loop_1591	1	Active_Enhancer	down_in_mutant	0	NA	0	NA
loop_1610	1	Poised_Enhancer	down_in_mutant	1	Poised_Enhancer	1	TRUE
loop_20087	1	CTCF_Site	up_in_mutant	2	CTCF_Site	1	TRUE
loop_1638	1	Active_Enhancer	down_in_mutant	2	Active_Enhancer	0	TRUE
loop_1662	1	Active_Enhancer	down_in_mutant	4	Polycomb	3	FALSE
loop_1715	1	Other	down_in_mutant	5	Poised_Enhancer	1	FALSE
loop_1720	1	CTCF_Site	down_in_mutant	1	CTCF_Site	1	TRUE
loop_1844	1	Active_Enhancer	down_in_mutant	0	NA	0	NA
loop_2207	1	Active_Enhancer	down_in_mutant	0	NA	0	NA
loop_18710	1	Active_Enhancer	down_in_mutant	0	NA	0	NA
loop_7955	1	Active_Enhancer	down_in_mutant	1	Active_Enhancer	1	TRUE
loop_7987	1	Poised_Enhancer	down_in_mutant	4	Poised_Enhancer	4	TRUE
loop_1882	1	CTCF_Site	up_in_mutant	3	CTCF_Site	0	TRUE
loop_1955	1	Active_Enhancer	down_in_mutant	0	NA	0	NA
loop_1965	1	Polycomb	up_in_mutant	0	NA	0	NA
loop_1986	1	Poised_Enhancer	down_in_mutant	0	NA	0	NA
loop_2010	1	Active_Promoter	down_in_mutant	0	NA	0	NA
loop_8889	1	Active_Enhancer	down_in_mutant	0	NA	0	NA
loop_2084	1	Other	down_in_mutant	0	NA	0	NA
loop_2107	1	Active_Enhancer	down_in_mutant	1	Active_Promoter	0	FALSE
loop_2108	1	Active_Enhancer	down_in_mutant	2	CTCF_Site	0	FALSE
loop_2134	1	Other	down_in_mutant	0	NA	0	NA
loop_2207	1	Active_Promoter	down_in_mutant	0	NA	0	NA
loop_10324	1	Active_Enhancer	down_in_mutant	0	NA	0	NA
loop_10216	1	Active_Enhancer	down_in_mutant	0	NA	0	NA
loop_2243	1	Active_Enhancer	up_in_mutant	0	NA	0	NA
loop_2308	1	Active_Promoter	down_in_mutant	0	NA	0	NA
loop_11180	1	Poised_Enhancer	down_in_mutant	3	Poised_Enhancer	2	TRUE
