loop_id	anchor_num	direction	motif_start	motif_end	window_chr	window_start	window_end	H3K27ac_overlap	H3K27me3_overlap	H3K4me1_overlap	H3K4me3_overlap	Bivalent_overlap	CTCF_chip_overlap	distance_to_tss	type_motif_window
loop_32	1	up_in_mutant	11637086	11637105	chr8	11636595	11637595	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	837	Active_Promoter
loop_1329	1	down_in_mutant	60599717	60599736	chr9	60599226	60600226	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	53343	CTCF_Site
loop_139	1	down_in_mutant	59723263	59723282	chr9	59722772	59723772	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	26937	Poised_Enhancer
loop_9622	1	down_in_mutant	71752744	71752763	chr11	71752253	71753253	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	2332	Active_Enhancer
loop_10275	1	down_in_mutant	38992679	38992698	chr13	38992188	38993188	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	31312	CTCF_Site
loop_294	1	up_in_mutant	56057742	56057761	chr12	56057251	56058251	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	194991	Polycomb
loop_294	1	up_in_mutant	56058662	56058681	chr12	56058171	56059171	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	194071	Polycomb
loop_1539	1	down_in_mutant	42061727	42061746	chr15	42061236	42062236	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	191515	CTCF_Site
loop_467	1	down_in_mutant	42910050	42910069	chr16	42909559	42910559	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	1505	Active_Promoter
loop_467	1	down_in_mutant	42914599	42914618	chr16	42914108	42915108	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	2042	Active_Enhancer
loop_467	1	down_in_mutant	42914936	42914955	chr16	42914445	42915445	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	2379	Active_Enhancer
loop_413	1	down_in_mutant	48417045	48417064	chr17	48416554	48417554	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	6539	Poised_Enhancer
loop_467	1	up_in_mutant	91347109	91347128	chr1	91346618	91347618	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	3397	Polycomb
loop_13236	1	down_in_mutant	49755270	49755289	chr18	49754779	49755779	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	0	CTCF_Site
loop_13236	1	down_in_mutant	49755580	49755599	chr18	49755089	49756089	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	0	CTCF_Site
loop_570	1	down_in_mutant	59740174	59740193	chr19	59739683	59740683	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	202970	CTCF_Site
loop_570	1	down_in_mutant	59743112	59743131	chr19	59742621	59743621	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	200032	CTCF_Site
loop_17841	1	down_in_mutant	86328668	86328687	chr3	86328177	86329177	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	103496	CTCF_Site
loop_15943	1	up_in_mutant	45941945	45941964	chr4	45941454	45942454	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	22879	CTCF_Site
loop_827	1	down_in_mutant	67847711	67847730	chr5	67847220	67848220	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	0	Active_Promoter
loop_867	1	down_in_mutant	13839663	13839682	chr6	13839172	13840172	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	0	Active_Promoter
loop_17266	1	down_in_mutant	60555983	60556002	chr6	60555492	60556492	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	151784	CTCF_Site
loop_971	1	down_in_mutant	92870339	92870358	chr7	92869848	92870848	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	3398	CTCF_Site
loop_971	1	down_in_mutant	92874518	92874537	chr7	92874027	92875027	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	0	Active_Promoter
loop_1100	1	up_in_mutant	120496867	120496886	chr9	120496376	120497376	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	4143	Poised_Enhancer
loop_1100	1	up_in_mutant	120499776	120499795	chr9	120499285	120500285	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	7052	CTCF_Site
loop_1350	1	down_in_mutant	94534951	94534970	chr9	94534460	94535460	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	2620	Active_Enhancer
loop_1127	1	up_in_mutant	99846992	99847011	chr9	99846501	99847501	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	28668	Polycomb
loop_1133	1	down_in_mutant	106903913	106903932	chr9	106903422	106904422	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	11442	CTCF_Site
loop_1280	1	up_in_mutant	73833384	73833403	chr15	73832893	73833893	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	5805	Poised_Enhancer
loop_11108	1	up_in_mutant	72215914	72215933	chr16	72215423	72216423	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	17903	CTCF_Site
loop_11108	1	up_in_mutant	72218209	72218228	chr16	72217718	72218718	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	15608	CTCF_Site
loop_1327	1	down_in_mutant	30601559	30601578	chr16	30601068	30602068	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	1344	Active_Promoter
loop_1403	1	up_in_mutant	91574385	91574404	chr1	91573894	91574894	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	33349	CTCF_Site
loop_13840	1	down_in_mutant	73925241	73925260	chr2	73924750	73925750	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	13423	Poised_Enhancer
loop_13840	1	down_in_mutant	73925942	73925961	chr2	73925451	73926451	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	14124	Poised_Enhancer
loop_1610	1	down_in_mutant	105986590	105986609	chr5	105986099	105987099	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	109533	Poised_Enhancer
loop_20087	1	up_in_mutant	118781750	118781769	chr5	118781259	118782259	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	170079	CTCF_Site
loop_20087	1	up_in_mutant	118788469	118788488	chr5	118787978	118788978	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	163360	CTCF_Site
loop_1638	1	down_in_mutant	49816043	49816062	chr5	49815552	49816552	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	242453	Active_Enhancer
loop_1720	1	down_in_mutant	90280663	90280682	chr7	90280172	90281172	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	14739	CTCF_Site
loop_7955	1	down_in_mutant	57540360	57540379	chr8	57539869	57540869	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	27961	Active_Enhancer
loop_7987	1	down_in_mutant	27677313	27677332	chr8	27676822	27677822	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	229721	Poised_Enhancer
loop_7987	1	down_in_mutant	27677415	27677434	chr8	27676924	27677924	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	229823	Poised_Enhancer
loop_7987	1	down_in_mutant	27677899	27677918	chr8	27677408	27678408	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	230307	Poised_Enhancer
loop_7987	1	down_in_mutant	27679352	27679371	chr8	27678861	27679861	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	231760	CTCF_Site
loop_1882	1	up_in_mutant	19705104	19705123	chr8	19704613	19705613	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	23962	CTCF_Site
loop_1882	1	up_in_mutant	19707180	19707199	chr8	19706689	19707689	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	21886	CTCF_Site
loop_1882	1	up_in_mutant	19707407	19707426	chr8	19706916	19707916	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	21659	CTCF_Site
loop_11180	1	down_in_mutant	44832752	44832771	chr15	44832261	44833261	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	44197	CTCF_Site
loop_11180	1	down_in_mutant	44832994	44833013	chr15	44832503	44833503	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	44439	CTCF_Site
loop_11180	1	down_in_mutant	44836384	44836403	chr15	44835893	44836893	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	44525	Poised_Enhancer
loop_11631	1	down_in_mutant	49278660	49278679	chr16	49278169	49279169	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	220682	CTCF_Site
loop_2824	1	down_in_mutant	88330324	88330343	chr17	88329833	88330833	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	109877	Poised_Enhancer
loop_2824	1	down_in_mutant	88336607	88336626	chr17	88336116	88337116	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	103594	Active_Enhancer
loop_2824	1	down_in_mutant	88338760	88338779	chr17	88338269	88339269	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	101441	CTCF_Site
loop_2524	1	up_in_mutant	135753085	135753104	chr1	135752594	135753594	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	12524	CTCF_Site
loop_2524	1	up_in_mutant	135753215	135753234	chr1	135752724	135753724	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	12394	CTCF_Site
loop_2573	1	down_in_mutant	80966137	80966156	chr1	80965646	80966646	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	110303	Poised_Enhancer
loop_2573	1	down_in_mutant	80969247	80969266	chr1	80968756	80969756	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	107193	CTCF_Site
loop_22500	1	up_in_mutant	182552670	182552689	chr1	182552179	182553179	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	11827	CTCF_Site
loop_22500	1	up_in_mutant	182553802	182553821	chr1	182553311	182554311	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	10695	CTCF_Site
loop_22500	1	up_in_mutant	182554161	182554180	chr1	182553670	182554670	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	10336	CTCF_Site
loop_22500	1	up_in_mutant	182555965	182555984	chr1	182555474	182556474	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	8532	CTCF_Site
loop_19480	1	down_in_mutant	150780102	150780121	chr1	150779611	150780611	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	212823	CTCF_Site
