#Name (cmd = mergePeaks /expanse/lustre/projects/csd940/zalibhai/mariner_hi-c/biomodal/downstream/results/homer_motif_enrichment/A5_coordinated_vs_discordant/bg.clean.pos /expanse/lustre/projects/csd940/zalibhai/mariner_hi-c/biomodal/downstream/results/homer_motif_enrichment/A5_coordinated_vs_discordant/target.clean..pos -d given -cobound 1 -prefix /expanse/lustre/projects/csd940/zalibhai/mariner_hi-c/biomodal/downstream/results/homer_motif_enrichment/A5_coordinated_vs_discordant/0.533499409052641.2.tmp)	chr	start	end	strand	stat	stat2	/expanse/lustre/projects/csd940/zalibhai/mariner_hi-c/biomodal/downstream/results/homer_motif_enrichment/A5_coordinated_vs_discordant/target.clean..pos
BG46	chr1	181576559	181815773	+	0.000	0.000	418
BG120	chr2	93642384	93681338	+	0.000	0.000	830
BG129	chr2	145934784	146215038	+	0.000	0.000	904
BG134	chr2	155611212	155634306	+	0.000	0.000	927
BG173	chr2	103966943	104028360	+	0.000	0.000	559
BG192	chr2	166073089	166155662	+	0.000	0.000	684
BG212	chr3	84666192	84704574	+	0.000	0.000	1202
BG235	chr3	154596711	154623181	+	0.000	0.000	1300
BG255	chr3	103643954	103646067	+	0.000	0.000	1088
BG264	chr3	152462815	152668359	+	0.000	0.000	1141
BG336	chr4	152390742	152477909	+	0.000	0.000	1491
BG435	chr6	38875404	39084584	+	0.000	0.000	2374
BG533	chr7	131966460	131994404	+	0.000	0.000	2930
BG534	chr7	133776861	133881531	+	0.000	0.000	2940
BG553	chr7	64756091	65156569	+	0.000	0.000	2836
BG610	chr8	119992438	120052792	+	0.000	0.000	3102
BG611	chr8	120736358	120756693	+	0.000	0.000	3102
BG633	chr8	95099828	95202811	+	0.000	0.000	3066
BG635	chr8	105984944	105991758	+	0.000	0.000	3075
BG636	chr8	105984945	105996422	+	0.000	0.000	3075
BG709	chr9	105162156	105395523	+	0.000	0.000	3446
BG771	chr11	21572235	21898988	+	0.000	0.000	4296
BG864	chr12	108893631	109028451	+	0.000	0.000	4806
BG934	chr14	19751265	19811786	+	0.000	0.000	5195
BG964	chr14	16430839	16819155	+	0.000	0.000	5080
BG1092	chr17	30624354	30877364	+	0.000	0.000	5978
BG1208	chr19	42268287	42431784	+	0.000	0.000	6369
