chr	start	end	log2FC_K27ac	FDR_K27ac	Conc_mut.x	Conc_K27ac	log2FC_K119ub	FDR_K119ub	Conc_mut.y	Conc_K119ub	log2FC_ATAC	FDR_ATAC	Conc_mut	Conc_ATAC	K27ac_up	K27ac_down	K119ub_up	K119ub_down	ATAC_up	ATAC_down
chrX	155658063	155658261	-0.598753204964518	0.0500212566744188	5.0914127794219	5.92513822068473	0.434935290267836	0.0533516555153177	5.86445009056656	5.28014494435748	0.0786164899074357	0.713086082009553	6.37746954804441	6.20103642106624	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr6	119085998	119086089	-0.540483156402458	0.050055114981887	5.47233079241959	6.189678997709	-0.424630418618869	0.13864250472813	3.69744258458829	4.41690448784512	-0.324984084337254	0.20183499302168	4.77718030477974	5.56607053918359	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr6	94659874	94660259	-0.477822141855996	0.0500763279128704	6.70960433709197	7.34206026068085	-0.0225343034598283	0.949973611129253	5.76593755505116	5.79035212203751	0.0436412425485788	0.835433423558474	7.53794527881015	7.43534397118002	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr2	52578947	52579097	-0.683476109808307	0.0500911902152187	4.06801874040609	5.07652752656638	0.0219152941432812	0.959400113791074	4.27937491443857	4.25701049324351	-0.00576834179288799	0.981946190384108	4.99628982875209	4.97724770263985	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr2	123312143	123312529	0.72250624792052	0.0500998385769224	4.57328535340126	3.50739207555145	-0.0837685735145749	0.79665929145817	6.26797566663253	6.39640809253079	0.0281216908371172	0.90123574092607	6.34656697427269	6.2757823311472	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr2	49662010	49662179	-0.442898477893289	0.0501343203738024	6.1562517788127	6.7384088187857	0.236581839737215	0.38516374189097	5.15404577012291	4.76617139855996	0.0705164605393967	0.750782807165728	5.90877987190822	5.72300773642553	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr14	55438380	55438816	-0.765299168116698	0.0501364365485538	3.00780080971975	4.15614301260547	-0.101474232142442	0.751618885679771	5.69943806569122	5.85459696896998	-0.09816892690718	0.61131133791447	6.0154452229152	6.21518094063364	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr2	77816492	77817212	-0.383996402547881	0.0501547054671111	7.88184883471625	8.38341034425321	0.00800481640267326	0.985104874603042	5.72626983059988	5.73331063881678	0.165879858117778	0.310071388760058	9.488607057612	9.22246128425476	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr6	85510626	85510801	-0.461298670769762	0.0501620980763464	5.55515277521812	6.15319710040663	0.362246899997655	0.107255503942696	6.55984509468835	6.09163937409599	0.0267922909535129	0.901414885701211	6.68029849982089	6.6138264809347	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr1	193336215	193336426	-0.608728870177819	0.05016827384357	5.08935070067282	5.93896631795455	0.253425636500403	0.285265908910283	6.6515331728825	6.31535275080268	-0.0161839280983741	0.944756381032189	6.50443107824337	6.53636032198302	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr6	88116402	88116888	-0.587040105285932	0.0501785700945667	5.82093113597269	6.61918296037644	0.0955182214983422	0.750763728750823	6.45445672135031	6.31433080118929	-0.337416793404228	0.0531749135953265	8.2695850142185	8.72617497102179	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr2	94479942	94480498	-0.41725949968674	0.0501820282912697	7.36526832573891	7.9130848001879	0.145120344755354	0.415019853585844	8.26863126256973	8.09537911950251	-0.02961177620795	0.879295342163525	8.81573820711965	8.86547517176562	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr14	79293571	79293703	-0.825615583921473	0.0501820282912697	1.99114572093002	3.5090149489918	0.173629295093936	0.601959151470457	3.94383678306047	3.53786633166407	-0.00139980234040689	0.995995865993541	5.57184347965598	5.5926356909385	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr5	52051814	52051962	0.834986121454843	0.0502018069279078	5.87713189210879	4.29432842829007	0.180359255364485	0.556570104353837	5.70241590913009	5.38491673135973	0.326763797616682	0.162206984853202	5.96558752946249	5.3389186140815	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr16	31276764	31276964	-0.539904600345444	0.0502169722906522	5.67291533070592	6.38664938710967	0.439840457842634	0.0853428721823238	5.58459452245587	4.93016882659159	-0.182418164914093	0.343004433301743	5.94723184138714	6.25504725126294	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr11	61068915	61069068	0.52644644221935	0.0502243251409497	6.43564264182536	5.7273879657269	-0.371780472270813	0.215089253884567	3.4652312250184	4.27077383186089	-0.0109125269005778	0.964820617512439	5.45121769290651	5.45637318983183	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr4	85404901	85405074	0.563225103512376	0.0502363054539663	5.50793566578673	4.73411538063923	-0.387871096801021	0.162101465009746	4.12681103571702	4.74710799642255	-0.126130937442597	0.566867783830447	5.04670247241984	5.36925525385384	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr1	75423799	75423913	0.507728178619546	0.050244760948704	6.76955415866846	6.08782135712714	0.0385477326935224	0.920814386666095	4.45746317518877	4.44429758553668	0.121724431518742	0.526686699463034	6.15451070975127	5.8963172152887	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr18	34624444	34624964	0.396517149194444	0.050244760948704	6.96337079490863	6.43801887178713	0.31487601757571	0.277526016988693	5.30335277151498	4.72833044679736	0.163549295924547	0.454986117831059	8.8188666594688	8.43845055304112	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr4	58897544	58897664	0.645747832362537	0.0502615314849021	5.66159842195967	4.73633912505835	0.156217347248938	0.643941150221945	3.67024346820483	3.37963320335252	0.0366552368830041	0.879886234771921	5.24402901817807	5.08678508573142	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr3	138761634	138761776	-0.467892024425262	0.0502834515971067	6.06881396217591	6.67167029094617	0.111263846419731	0.751698414851698	5.0475917857164	4.84934077617964	-0.0239821085215042	0.918024377789099	5.88284341818966	5.90692676221046	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr6	115897133	115897277	-0.648550854818437	0.0503224290829773	4.23373730398388	5.15536236952088	-0.131470412554773	0.69144455811403	4.53651814460592	4.82401307343609	-0.0616620382850978	0.788327658794909	5.35509846450854	5.50563985659681	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr6	88490716	88490902	-0.534895645380474	0.0503813893750584	6.25515412516513	6.9794201240599	0.307675297398516	0.220440128013045	6.24698784830094	5.80845513706733	0.0330627999643505	0.866776955333903	9.5214489685546	9.45826744819689	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr1	134405725	134406415	-0.562171317406313	0.0503824063278158	5.35128441089125	6.12190903160701	0.0901700603318366	0.783883643203535	6.04969006591539	5.91851800122539	0.0102952878586332	0.963449172073726	7.80460369381865	7.77223269962822	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr16	33517413	33517684	-0.679641331718709	0.0504322777524215	4.0437245947859	5.0282384876279	0.109151781192191	0.744239381208253	4.77592524207818	4.63130468637049	-0.104331895475585	0.614875608367139	5.15791355153867	5.36748642351219	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr16	6502356	6502475	0.736724922667978	0.050453478595484	4.39521484161323	3.2614073719304	-0.543275281336911	0.0656396805155602	2.68198361376566	4.05530347970847	0.00480889950701028	0.98544972881157	4.60284589858326	4.57276240629313	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr8	4325049	4325525	0.420180571946007	0.0504808466366393	6.99954303552579	6.43326798200152	0.033639083894758	0.933361881349829	5.33875376273476	5.25640209979571	0.103132916060845	0.541548717018547	10.4966581908854	10.3213244061302	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr14	54527691	54527944	-0.526399824436017	0.0506328363691475	5.25575660554817	5.95976735967642	0.395651021547713	0.145386704818019	4.98126605791109	4.33087430176851	-0.13341308945264	0.488495940825584	6.15353337445015	6.40035627517432	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr15	73988054	73988231	-0.826515611637575	0.050677608626475	1.85936348013865	3.28803341342456	-0.165632203056866	0.576531215545505	5.05437933271025	5.35461698533075	0.0486447598085772	0.830794994573845	5.50684928978406	5.40001447967427	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr11	114934057	114934537	-0.56643684136651	0.050677608626475	5.2223990509407	5.98051304520036	0.117698788913963	0.720588860269073	5.66740727526577	5.47429046058052	-0.0333181422069166	0.877647329743344	7.28866940393984	7.35420543017098	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr17	5536945	5537453	0.459609338374823	0.0506809522408369	6.42312213634414	5.80743692144387	-0.10573427204842	0.727373364302757	5.39576016483903	5.55567278588478	0.120112996457427	0.573935720481689	6.61427086169583	6.32719975044582	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr9	49640863	49641078	0.453736220555088	0.0507063620896564	6.48941043494025	5.89139870955586	0.126536410317714	0.713859335890468	4.38508395608403	4.09025234177093	0.176214646526062	0.395224788624092	6.00610201649836	5.61264899484087	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr18	37143469	37144386	0.364996248581479	0.0507137786325752	8.42221677534344	7.93759228780294	-0.191227737380775	0.488732906905365	6.65206195321855	6.95954858934891	0.0984474312712565	0.585932877496375	8.67371615614431	8.4894901483938	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr2	156626225	156626438	0.594517316995218	0.050770585723893	5.92663761047779	5.10324568466245	-0.0147319873542088	0.973318093351472	4.93701768137576	4.97420708966827	0.244007723939413	0.223896041904398	6.39522084036777	5.94715658801751	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr1	89751033	89751184	0.701769169180037	0.050770585723893	4.95057404359322	3.92030926150981	0.194682005050398	0.552494156811896	3.34285040118188	2.9293934874941	0.0437559334751206	0.851004274307025	4.66092054763081	4.56601989289865	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr7	90351546	90351757	-0.739193631935774	0.050770585723893	3.97350895804119	5.12359479167737	-0.413627008130209	0.161365161163826	4.2385998872943	5.0490467648484	-0.419255562180021	0.103852525593989	3.55878592190754	5.29264709989829	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr11	78887125	78887498	0.712885547089501	0.0507769179552443	4.29394920023811	3.24539823470814	-0.281398777641949	0.267498403914387	6.10266181288541	6.51103823238716	0.132841117097034	0.455770397271997	8.06433301757875	7.82774786255783	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr18	64763924	64764039	-0.784715490716249	0.050779864881298	3.28876845596968	4.57342488369859	0.476593866386545	0.100920010196001	4.45098390371157	3.55531346176862	-0.223309265272784	0.25078329173045	5.2634123241889	5.64907969699501	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr7	145243052	145243415	-0.592328652237411	0.0508010961658906	5.08098596868927	5.89389709763617	0.267945655188704	0.286471920377888	6.39904170432995	6.01637005074741	0.0879949156175306	0.606178913255201	8.53204631176154	8.37819622476574	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr11	101131341	101131474	-0.654423337936506	0.050814304423036	4.62020264872027	5.57300485405935	0.0993813975238753	0.785938554115882	3.57832171639565	3.35564231906025	-0.0393342203876681	0.860178688893183	6.66761599461366	6.74225879679408	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr11	118507828	118508216	0.530290441878049	0.0508309651546744	6.20998029961672	5.47879772118995	-0.416440888370811	0.155429037585045	5.15923179150116	5.96533040270943	0.0690578755309576	0.721922328013065	7.95929546011962	7.82124151530601	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr2	103045270	103045597	0.493150850666932	0.0509026450183655	6.56262186786941	5.91349797618193	0.245700198988377	0.246756152276562	6.32653095387274	5.99096283381256	0.244802656285717	0.240897320933018	6.59437646604884	6.11756638832672	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr16	44300730	44300802	-0.749339353089145	0.0509165210428413	3.00791997671194	4.16320383506954	0.135324136855652	0.696697947797298	3.24994141270638	2.92670367560422	-0.266871978434071	0.275409575062367	2.73339606014742	3.89329770865274	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr2	32174249	32174792	0.366784868617817	0.0510743314766561	8.55609054525424	8.06793153781815	-0.3891915546009	0.140313070841831	5.41959471630914	6.00706614981146	0.174943062139416	0.305193450478879	8.29835649006952	8.01036457893982	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr2	93957070	93957277	-0.542735968271708	0.0510835324247359	5.58377511823761	6.29996366751985	0.0712995883700792	0.850396716115312	5.02892379014233	4.89062897295931	-0.0848015753629365	0.646058060184504	6.99767577243393	7.14896534119881	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr9	45637068	45637174	-0.770889257910348	0.0510887323413489	3.07664144521884	4.3287194229745	-0.11902752570617	0.738626534356922	3.80817926550823	4.12297598529215	-0.4780010229212	0.0575341294816532	4.3325098718964	5.08333646279725	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr17	23829190	23829339	0.501898696910134	0.0510887323413489	6.07738890025305	5.40208016600766	-0.352668372412011	0.219241543137982	2.07755570750218	3.31023083737988	0.12705910748344	0.462716320675313	8.32234580164372	8.10103495462623	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr1	195016886	195016981	0.678499396563764	0.0511101053996292	5.26381424059099	4.28803842669935	-0.480159850299125	0.105709269942787	3.13521116452807	4.33163600346838	0.315319351879491	0.118949272296316	7.30324048545245	6.79982769323342	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
