chr	start	end	enhancer_class	n_loops	mean_loop_distance	n_promoter_loops
chr16	31570320	31571071	Activity_Lost	1	90000	1
chr3	137415388	137415954	Activity_Lost	9	685000	2
chr4	98546599	98547167	Activity_Lost	9	192222.222222222	1
chr18	64791173	64791489	Activity_Lost	0	NA	0
chr17	88335969	88336501	Activity_Lost	3	110000	2
chr17	88400210	88400777	Activity_Lost	0	NA	0
chr10	108868029	108868639	Activity_Lost	3	605000	0
chr17	88421322	88421763	Activity_Lost	1	35000	1
chr4	98549580	98549779	Activity_Lost	9	192222.222222222	1
chr10	108867273	108867562	Activity_Lost	3	605000	0
chr10	108831926	108832525	Activity_Lost	0	NA	0
chr18	39039128	39039846	Activity_Lost	0	NA	0
chr9	66733146	66733664	Activity_Lost	0	NA	0
chr1	22987497	22987869	Activity_Lost	1	55000	0
chr19	17214754	17215178	Activity_Lost	1	60000	0
chr17	88401118	88401385	Activity_Lost	0	NA	0
chr16	37433493	37433876	Activity_Lost	0	NA	0
chr6	51849575	51849895	Activity_Lost	1	1175000	1
chr16	33940220	33940643	Activity_Lost	1	1e+05	1
chr4	3692233	3692423	Activity_Lost	2	1500000	1
chr14	105730841	105731003	Activity_Lost	6	117500	3
chr4	104455717	104456168	Activity_Lost	7	527142.857142857	0
chr17	10807313	10807898	Activity_Lost	0	NA	0
chr4	98578225	98578752	Activity_Lost	0	NA	0
chr4	98628373	98628563	Activity_Lost	1	80000	0
chr18	33606526	33606815	Activity_Lost	3	113333.333333333	1
chr18	39050768	39051455	Activity_Lost	0	NA	0
chr3	123967255	123967694	Activity_Lost	5	240000	2
chr2	139362260	139362743	Activity_Lost	4	807500	1
chr4	62515621	62515721	Activity_Lost	0	NA	0
chr8	57842982	57843382	Activity_Lost	2	1625000	1
chr18	64873433	64873800	Activity_Lost	0	NA	0
chr4	142077924	142078137	Activity_Lost	2	1362500	1
chr11	99280073	99280281	Activity_Lost	0	NA	0
chr18	33562192	33562589	Activity_Lost	3	115000	0
chr8	57565169	57565334	Activity_Lost	2	162500	1
chr12	29533127	29533529	Activity_Lost	12	991250	5
chr9	75789940	75790247	Activity_Lost	3	818333.333333333	2
chr8	57498920	57499544	Activity_Lost	2	2100000	1
chr14	16195734	16196476	Activity_Lost	10	491000	3
chr3	136994326	136995003	Activity_Lost	0	NA	0
chr14	27243560	27243911	Activity_Lost	0	NA	0
chr16	24412984	24413378	Activity_Lost	0	NA	0
chr15	37734069	37734265	Activity_Lost	2	225000	0
chr4	131159678	131160412	Activity_Lost	0	NA	0
chr4	98594053	98594274	Activity_Lost	0	NA	0
chr18	31316059	31316429	Activity_Lost	4	317500	1
chr4	66556999	66557263	Activity_Lost	4	451250	0
chr14	27237759	27238239	Activity_Lost	0	NA	0
chr2	57960735	57961413	Activity_Lost	0	NA	0
chr8	57560703	57561390	Activity_Lost	2	162500	1
chr15	95005215	95005754	Activity_Lost	2	117500	0
chr8	114503232	114503565	Activity_Lost	0	NA	0
chr16	41957917	41958152	Activity_Lost	1	7e+05	0
chr4	67529631	67529978	Activity_Lost	5	582000	1
chr18	38882195	38882347	Activity_Lost	0	NA	0
chr2	79378432	79378692	Activity_Lost	4	452500	2
chr18	31316786	31317186	Activity_Lost	4	317500	1
chr6	72000292	72000395	Activity_Lost	0	NA	0
chr18	64790018	64790388	Activity_Lost	0	NA	0
chr18	39068939	39069192	Activity_Lost	0	NA	0
chr7	130552740	130553115	Activity_Lost	1	2e+05	1
chr12	31905647	31905963	Activity_Lost	5	5535000	3
chr14	55337999	55338485	Activity_Lost	1	175000	0
chr2	154491949	154492283	Activity_Lost	1	60000	1
chr5	49660641	49660883	Activity_Lost	0	NA	0
chr11	3507194	3507805	Activity_Lost	0	NA	0
chr18	64789398	64789682	Activity_Lost	0	NA	0
chr13	84065515	84065791	Activity_Lost	11	7212272.72727273	7
chr2	3739397	3740181	Activity_Lost	1	140000	0
chr11	31850044	31850541	Activity_Lost	1	135000	0
chr4	82589450	82589899	Activity_Lost	5	389000	0
chr16	37617769	37618061	Activity_Lost	2	97500	1
chr4	62516150	62516353	Activity_Lost	0	NA	0
chrX	61435681	61436048	Activity_Lost	5	8e+05	2
chr15	88565169	88565658	Activity_Lost	1	2325000	0
chr4	62518634	62519007	Activity_Lost	0	NA	0
chr17	48543387	48543743	Activity_Lost	1	50000	0
chr7	44645868	44646288	Activity_Lost	5	171000	4
chr16	33704329	33704668	Activity_Lost	0	NA	0
chr18	33652845	33652970	Activity_Lost	4	105000	0
chr15	36891852	36892068	Activity_Lost	3	85000	3
chr2	78036533	78036935	Activity_Lost	10	1100000	4
chr4	98619225	98619555	Activity_Lost	1	35000	0
chr18	33605057	33605281	Activity_Lost	3	113333.333333333	1
chr8	57792329	57792590	Activity_Lost	8	201250	2
chr13	84758408	84758811	Activity_Lost	22	1776590.90909091	12
chr18	64782281	64782533	Activity_Lost	0	NA	0
chr4	137041246	137041655	Activity_Lost	1	50000	0
chr9	75430942	75431551	Activity_Lost	3	120000	1
chr2	136699851	136700192	Activity_Lost	3	343333.333333333	0
chr3	65117372	65117578	Activity_Lost	5	512000	2
chr6	54440765	54440944	Activity_Lost	0	NA	0
chr2	141834156	141834861	Activity_Lost	1	220000	0
chr12	29533650	29533701	Activity_Lost	12	991250	5
chr13	83869079	83869211	Activity_Lost	6	784166.666666667	3
chr5	49662132	49662464	Activity_Lost	0	NA	0
chr10	64118764	64119206	Activity_Lost	0	NA	0
