chr	start	end	tertile	log2FC_K119ub
chr15	64830037	64830643	T1_low	0.422722642736901
chr16	41551849	41552320	T2_mid	0.655594265768619
chr2	136674111	136674371	T3_high	1.28708664621952
chr2	113327307	113328001	T1_low	0.43324402581191
chr12	32854913	32855175	T3_high	0.697069374643838
chr12	3761004	3761154	T3_high	0.805114035986561
chr19	21742079	21742582	T2_mid	0.585957102457051
chr2	145860060	145860853	T1_low	0.455123300569941
chr2	106384915	106385162	T3_high	0.731308183603846
chr10	20006451	20006629	T2_mid	0.564692847783551
chr8	31148921	31149031	T3_high	1.39275380317182
chr9	113432519	113433004	T2_mid	0.65942711839118
chr15	72678436	72678602	T2_mid	0.623566195769032
chr12	25871127	25871536	T1_low	0.419403472582837
chr13	109822212	109822754	T1_low	0.458792919731097
chr6	33507201	33507617	T3_high	0.756315242218814
chr6	56336042	56336397	T1_low	0.507167153990378
chr12	86798927	86799017	T3_high	0.762335254794449
chr10	18863185	18863714	T2_mid	0.619379691700727
chr6	115313255	115313666	T3_high	0.807636873570326
chr14	61327706	61328236	T1_low	0.465153205452399
chr6	51757184	51757390	T1_low	0.473314442053439
chr1	63994686	63994865	T2_mid	0.644843341210996
chr7	114402208	114402401	T3_high	0.694623502441486
chr12	51117877	51118475	T1_low	0.349560118354475
chr15	36333357	36333555	T1_low	0.495143626879876
chr13	52690433	52690626	T2_mid	0.567131121947569
chr6	24586983	24587203	T1_low	0.521089597880035
chr15	27358537	27358758	T1_low	0.506558927626704
chr8	53780587	53780777	T2_mid	0.677509458824368
chrX	157202778	157203045	T3_high	0.782184320619522
chr13	67060809	67061329	T2_mid	0.589266450634008
chr2	59438096	59438409	T1_low	0.497765349270098
chr16	76301949	76301990	T1_low	0.537531855089601
chr6	30469307	30469980	T1_low	0.431230740938902
chr8	81870510	81870821	T1_low	0.468704831001402
chr13	34162731	34163507	T1_low	0.514985847153363
chr15	4498044	4498361	T1_low	0.455636106725774
chr3	141476686	141476876	T2_mid	0.557837613024901
chr6	47333080	47333416	T1_low	0.537855110608501
chr2	105673793	105674214	T1_low	0.531638025865282
chr10	98349496	98349820	T1_low	0.510497474104709
chr2	132738724	132739303	T3_high	1.02789850992164
chr1	105489568	105489729	T2_mid	0.585349000186401
chr19	27066745	27067170	T1_low	0.48577359066927
chr14	58114344	58114475	T2_mid	0.663389274270091
chr5	30095776	30096289	T3_high	0.807979338692069
chr18	33770621	33770863	T3_high	0.779442015190162
chr2	143217444	143218415	T2_mid	0.656329399857864
chr14	64070871	64071193	T1_low	0.546944439924898
chr19	24536405	24536537	T3_high	0.774029953453471
chr13	111926808	111927082	T3_high	0.692969988866348
chr3	17896830	17897133	T1_low	0.515887655233864
chr19	21747490	21747657	T3_high	0.93917054677127
chr13	36695875	36696671	T1_low	0.542593218704052
chr6	73913740	73914187	T1_low	0.504360019274248
chrX	166170247	166170627	T1_low	0.537547171172646
chr2	142902862	142903365	T2_mid	0.602995180450772
chr12	47162595	47163020	T3_high	0.957881032627273
chr10	67024316	67024601	T1_low	0.38050587977386
chr3	101562518	101562849	T3_high	0.920821309715158
chr6	62199579	62199742	T2_mid	0.632378718143965
chr1	72872576	72872801	T2_mid	0.664228160443714
chr13	32146034	32146284	T3_high	0.755912125647045
chr10	66574784	66575124	T2_mid	0.664106822850519
chr1	6729233	6730177	T3_high	0.816042821906275
chr1	152368442	152368948	T1_low	0.360959309986711
chr10	93519751	93520073	T1_low	0.406051977283583
chr6	75602575	75603153	T2_mid	0.674333911352163
chr13	93399691	93400209	T3_high	0.910571849357815
chr15	44747756	44748178	T3_high	0.690291963843622
chr2	17501085	17501394	T3_high	0.710136369794988
chr16	45376316	45376426	T2_mid	0.58533968395875
chr16	86516167	86516487	T1_low	0.512637142347559
chr2	59407527	59408325	T1_low	0.363498968702467
chr1	83218327	83218465	T3_high	0.792077945035287
chr1	64196308	64196474	T2_mid	0.670445930960845
chr3	157924829	157925400	T1_low	0.474458658714092
chr12	41436664	41436882	T1_low	0.52298063256575
chr16	31477198	31477555	T3_high	1.08010785614771
chr10	106509537	106509648	T3_high	0.947772706681096
chr15	23457426	23457787	T2_mid	0.62109559184729
chr14	124561646	124561897	T3_high	0.902392407286121
chr6	88831447	88831816	T1_low	0.523989070230599
chr5	76974408	76975244	T2_mid	0.655533919524086
chr19	29367350	29367468	T3_high	0.795675663121774
chr14	58111654	58111854	T2_mid	0.553104856321181
chr7	126214875	126215082	T3_high	0.753446127138499
chr2	96876018	96876274	T1_low	0.463772035897964
chr7	93095396	93095893	T2_mid	0.630584366749805
chr12	70403851	70404593	T1_low	0.545027544189646
chr12	32982722	32982883	T2_mid	0.557571426755795
chr13	46841819	46841960	T3_high	0.773925671236171
chr1	51075967	51076101	T3_high	0.709257397457469
chr10	41832346	41832439	T3_high	1.13072468279777
chr3	133165139	133165453	T1_low	0.503077439169593
chr13	39350581	39351023	T2_mid	0.578983790232709
chr15	37321154	37321909	T1_low	0.397531327214037
chr10	116645224	116646085	T3_high	1.0691993372668
chr4	76260801	76261065	T3_high	0.733927222351478
chr2	143701179	143701498	T1_low	0.446193027031034
chr4	9096982	9097528	T1_low	0.52483334914146
chr8	81840437	81840743	T3_high	1.18350605077035
chr5	49247100	49247401	T1_low	0.462344231779533
chr6	38381194	38381728	T2_mid	0.599784869916102
chr5	22486588	22487246	T3_high	0.752492834948251
chr13	114838472	114838971	T2_mid	0.554106290783906
chr10	116768786	116768900	T3_high	0.891020039498731
chr2	110985580	110986253	T3_high	0.822877597419992
chr6	140857345	140857776	T2_mid	0.651204664949447
chr2	101462454	101462807	T2_mid	0.609088691303452
chr14	48908029	48908301	T2_mid	0.580821051485744
